"Vehicle.AwardTask","Vehicle.sum7","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Award","Definitive",146161000,155034000,54014000,61145000,227723000,180833000,98010000,2174256568,586215222,827188281,2929244709,3593094023,4246686735.64,4748712477.71,5371395489.22,5785723606.15,7380482191.94,7551341401.82,8654047870.41,9613301540.6,8187094151.1456,9708516553.0017,9479517076.3262,7023508896.28,7666227374.0876,5622559130.2197,5664429347.2168,5601672367.335,5328483089.25,6462278914.15,5967795072.31,2660782693.18,3134292153.39,3194372041.98,2588657842.81,1144262610.82
"Award","Pur. Order",,-284000,1622000,4764000,,-369000,163000,295588,449843,1133898,2746911,3941884,3749025,16809462,16266497,16471041,11620145,13220806.78,14159994.04,14903232.19,18135284.5837,15028409.0642,30299449.7448,25531725.7,34552124.64,21511607.58,20119128.4358,19009075.8597,8026539.13,22724990.49,1540197.4,1416485.91,1238514.38,2728083.78,3037684,137306
"Task Order","BOA or BPA",,,,,,,,,,,,,,,,-8990,,,,,0,,3801.12,631424.1,18016.7902,936877.2,13076623.2109,3171330.6616,1557946.2404,7339874.5,1339871,245418,3697414.52,6565850.625,6811893.33,62415
"Task Order","FSS or GWAC",,,,,,,,,,452242,5387765,3484273,13430151,11924872,27711504,29715201,23051849,28381830.2364,48133935.8389,25681037.0773,45161554.1091,18708592.6554,18721760.7503,22354229.1009,903081.3687,-171183.4481,-219671.1015,-344970.4034,-77013.6016,1495616.3311,4762040.8001,,,0,-42858.8,
"Task Order","Multi-Awd.",,,,,,,,6474318,8253909,19140890,114826157,417793085,10274049,180840769,642827161.9375,472444461,142571387.6797,100777326.2937,196008740.809,335542401.417,364760431.2007,316707870.6605,269018571.0573,446865176.8734,139835359.545,162124959.532,165592358.392,187149456.8762,291981928.9384,409219408.2338,473398285.7045,136913607.9734,140460649.3837,136315112.0383,105633019.35,277141908.72
"Task Order","Single-Awd.",,,,,,,,10916144,14549558,120631242,132875413,130947353,216574576,331066499,220497864,217950512,452759365,516687037.568,665157508.1462,391607301.0968,588321932.6932,372190223.0874,309754413.0051,216276254.57,163087962.4881,174761835.8814,150854224.8692,220463113.7037,228497197.2158,309862951.4077,874189038.4866,826989223.8702,1358299503.3081,1791414834.5943,3222834186.4,141313098.96
"Task Order","Unlbd. IDV",,,,,,,,11801,2e+05,-761336,-2328832,5055100,3061000,130068,,,,,,,,,,,,,,,,,,,,,,
,,5109318000,4536041000,3207056007,3775896266,3704627729,3449312820,2950138142,3180065599,3551481726,3510240138,,,,,,,,,,,,,,,,,,,,,,,,0,,0
