"Project.Name","ProjectID","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"SICBM SM INT BALL MSL",1545,946070,,,,,,,,,,,,,,,,,,,,,,,
"SPACE DEF SYSTEM 64406F",1541,,,71338,14782994,,,,,,-22525.7305,-188491.1392,,,,,,,,,,,,,
"SPACE SHUTTLE 64411F",1542,,,,385000,,,,,,,-154.9,-44256.4414,,,,,,,,,,,,
"SPS",1961,,,,,,364927,,278111,,,,11961.4199,,,,,-7053.6201,,,,,,,
"TELEPORT",1978,,,,,246718.9375,-62910,935122,1123253.0469,4523652.3048,5185224.1095,1488116.2188,1004177.1563,847429.0938,141042.17,-4267.15,,,,0,-148342.9609,,,,
"TITAN IV",675,,,,-1530000,57579906,988992,3229502,229574364,,,,,-38309.8789,,,-6931258.05,,,,,,,,
"TITAN IV LAUNCH VEH PROGR",1550,264915250,272968677,263552182,103756010,,,,,,,-7179128.375,-1372634.2539,,,,,,,,,,,,
"TSAT",1376,,,,,,,,0,,,,,,,,,,,,,,,,
"UHF FOLLOW-ON",1809,,,,,,,,,-1132207,186185.4375,233246.1021,,13312,70666.42,63166.3,0,,,,,,,,
"WIDEBAND GAPFILLER",1325,,,,,45000,1838805,120210352,415437403,297617737.422,299061547.922,227813103.0294,540385344.8359,1150879770.9279,49833426.4784,-32168503.2,25211031.2571,80607495.6761,60609532.0195,43317370.8417,329727761.087,322305904.5508,79077877.2734,9410550.8594,46719363.75
"ZBL",2015,,,,,,,,,,,,,,18612611.5701,18878984,42032653,25142090.3739,24623082.2364,33384414.1875,28290021.1875,23563384.7227,23617114.5625,31203622.9963,30142281
,,2130433426,2659129293,3405005709,4472557060.6601,5437867806.2227,5097905534.2656,5437549282.9578,5264059810.3561,5365526514.9974,4644002770.7245,4872688462.0791,5312403121.4869,3699834291.2262,2853711040.31,2106920908.7069,2171900634.7106,2018138674.6137,2137412725.7423,2803575698.5768,3846487222.5523,4997451673.6407,2320433498.4623,3318700267.4031,2027265328.7437
