"Project.Name","ProjectID","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"ALCM",12,,,,,,,,3025522,1355607.6563,77692,0,794401,779492.8,3998926.03,8577391.02,-22533.1297,-40955,90824.75,,0,,,,
"AMDR",2033,,,,,,,,,,,,,,,,66046.5234,,,,,,,,
"AMRAAM",81,227158719,265222633,371688688,188449669,186159216,255100461,347472459.2969,230606014.3621,581567515.0464,962381659.9123,748428572.9377,662723704.4264,654626478.19,625044233.64,243596966.58,1144772118.1946,875497924.5194,177770491.9688,1339765634.5811,252389239.457,1013621442.1734,1379120590.5593,1189113499.5687,86900526.8785
"AMRAAM (NAVY)",80,,,,,731000,6447642,122490,279861910,0,,,60190,217768.4844,-24294,8940,9074,,,,,,,,
"AN/AFQ-137",1605,-1391723,,,,,,,,,,,,,,,,,,,,,,,
"AN/ALE-40 COUNTERMEASURES",1621,18469720,6296031,13170099,13359902,,,,,,,,,,,,,,,,,,,,
"AN/ALE-50",968,163446277,60942021,36147590,30897816,,,,,-53802.6494,,,,,,,,,,,,,,,
"AN/ALQ-101 ECM",1624,27000,,,,,,,,,,,,,,,,,,,,,,,
"AN/ALQ-119",1619,8167850,2978604,-657403,357377,,,,,,,,,,,,,,,,,,,,
"AN/ALQ-122 ECM SYS",1609,4494039,9482687,1002221,99000,,,,,,,,,,,,,,,,,,,,
"AN/ALQ-131",1612,68413260,27016527,12510057,17701749,,,,,,,,,,,,,,,,,,,,
"AN/ALQ-135",1608,27016588,15564575,7374998,7022216,,,,,,,,,,,,,,,,,,,,
"AN/ALQ-155",1610,1180501,538988,1078191,485794,,,,,,,,,,,,,,,,,,,,
"AN/ALR-31 ELEC COUNTERMEA",1617,,,2538,,,,,,,,,,,,,,,,,,,,,
"AN/ALR-46",1611,,,,33600,,,,,,,,,,,,,,,,,,,,
"AN/ALR-56 WARNING RECVR",1654,38113282,20662868,10722083,30716034,,,,,,,,,,,,,,,,,,,,
"AN/ALR-62 COUNTERMEASURES",1616,1043183,3016491,-741692,107000,,,,,,,,,,,,,,,,,,,,
"AN/ALR-69",1677,763998,-6548249,1296920,6304939,,,,,-4390.77,,,,,,,,,,,,,,,
"AN/APN-159 BOMB NAV & FR",1666,33716,0,,,,,,,,,,,,,,,,,,,,,,
"AN/APN-169 STATION KEEPIN",1667,33023,34200,29400,30570,,,,,,,,,,,,,,,,,,,,
"AN/APN-221 DOPPLER",1680,,,84247,,,,,,,,,,,,,,,,,,,,,
"AN/APN-59 WEATHER RADAR",1674,236271,133964,120655,35460,,,,,,,,,,,,,,,,,,,,
"AN/APR-38",1656,,,,556746,,,,,,,,,,,,,,,,,,,,
"AN/ARC-164 (V)",1700,,,3021718,-556580,,,,,,,,,,,,,,,,,,,,
"AN/ARC-186 RADIO",1695,,,,29872,,,,,,,,,,,,,,,,,,,,
"AN/BQS-13",6,,,,,,,,,,2190,-840,,,,,,,,,,,,,
"AN/BSY-1",646,,,,,,,,,90110,,,,,,,,,,,,,,,
"AN/FPQ-16",1704,1131804,4089507,0,89337,,,,,,,,,,,,,,,,,,,,
"AN/FPS-108 PHASED ARRAY R",1653,78192,1921846,453812,956641,,,,,,,,,,,,,,,,,,,,
"AN/FPS-117 RADAR SEEK IGL",1682,9424770,1222403,29485564,16362727,,,,,,0,,,,,,,,,,,,,,
"AN/FSD JOINT STARS",1676,440598490,201230217,225651948,229437727,,,,,0,-447943.6563,,0,,,,,,,,,,,,
"AN/GRC-171",1689,,,94500,14792705,,,,,,,,,,,,,,,,,,,,
"AN/GRC-206",1698,,,75540,106164,,,,,,,,,,,,,,,,,,,,
"AN/GRC-212",1696,-98506,21720,,,,,,,,,,,,,,,,,,,,,,
"AN/MPS-T1 RADAR CONTROL V",1655,434125,,1865509,578654,,,,,,,,,,,,,,,,,,,,
"AN/PRC-90 RADIO",1694,15711417,57087,,,,,,,,,,,,,,,,,,,,,,
"AN/TPS-43",1702,,,,1224601,,,,,,,,,,,,,,,,,,,,
"AN/TRC-170 RADIO",1691,,,,3174080,,,,,,,,,,,,,,,,,,,,
"ANTENNA TEST STATION",1764,,,2073244,53715,,,,,,,,,,,,,,,,,,,,
"AOC-WS",1363,,,,,3734633,4451133,27195509.5938,44958244.9855,77891630.4527,62654181.2362,40700674.8486,47441653.6169,103901820.3018,103638430.9919,95533365.5795,81757178.299,55456663.8451,26677343.754,2061807.3696,,-3120142.1195,-342299.625,-101188.4399,
"APS",20,,,,,,,,,,,,,,,,,,4900000,71675934,174905038.3906,188119137.8672,93421044.25,96711367.8722,13051979.0625
"ARE",1907,,,1345294,2063387,31659,,,,,,,,,,,,,,,,,,,
"ASMS ADV STRATEGIC MSL SY",1543,16568699,9588544,4609655,390539,,,,,,,,,,,,,,,,,,,,
"ATARS",1867,,,,,,,,,4138599,,,,,,,,,,,,,,,
"ATIRCMS/CMWS",630,,,,,,,,81160000,19840000,2247087.4922,4479577.8594,8702087.7344,1388494.5625,1446949.35,-224811.29,-189887.8672,-615685,,,,,,,
"ATS",2058,,,,,,,1644,20080493.5545,24493368.7187,13018968.2194,1709738.3887,3384672.4077,763377.6978,890393.78,481156.94,-1090,,,3400,,,,,
"AUJ",2059,,1999623,6930000,12953944,2214429,3384630,4952072,,5153691.5,0,,,,,,,,,,,,,,
"AWACS RSIP (E-3)",1815,,,,,10819645,10301209,12268260,129639435.8652,71958788.1055,63807154.6143,513696440.0783,436570243.2875,359692029.0343,446715217.5,305013885.83,244134068.2278,111972552.6208,263831392.8419,60651197.0834,84661525.0072,13361646.2031,-7553921.047,-483953.125,3759363.8125
"AWACS UPGRADE",682,,,,,,,,,,,,,,,,254232596.0625,266505846.5305,134522308.0366,478575158.3438,77904124.5464,104448306.1797,93982567.9066,444496819.5356,68513949.5786
"Advanced Engine Development",2260,,,,,,,,,,5421329,7550092,10617418,27413621,178182751,119104789,104906530,251753705,286420110,575177178.5,692930676.5566,649365861.3398,537726490.3125,461089913.875,211848090
"Advanced Pilot Training (APT)",2232,,,,,,,,,,,,,,,,,,,,,,881365.3125,0,90777.793
"Air Force Integrated Personnel and Pay System Increment 1 (AFIPPS Inc 1)",2253,,,,,,,,,,,,,,,,,,,,275676.3701,416016.5312,0,0,
