"SimpleArea","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Products (All)",21620140000,22318279000,19110875990,19956110422,21277307464,16708979498,19419403377.51,18837064716,17870495032,19838125342,17151377382.6992,19205004577.0208,23544692836.8901,25239193661.3674,25661725173.371,22233466945.1078,26289356436.8076,30484326137.6154,25243812924.8714,25617315092.14,24944862862.6416,25919666670.2088,29600496447.3077,21533612882.859,19811931270.5604,18006204040.7923,28056832409.8293,21069573143.644,29754547516.4304,28369426485.2625,29530215757.8594,28549146162.2693,24789031878.2057,29814959336.5524,32872273309.93,14946710950.29
"R&D",11899926000,9986174000,9298265544,10465205950,10595802786,9884507608,8565160850,11926689938,9814357434,10366294268,8049678190,8786823435,9411945977,9687811424.1094,10201648828.83,10762607262.08,10887104077.3613,12428512700.7664,12974301053.6137,14258410646.05,14160206006.9908,14190594635.6199,12941484429.78,9773120856.7203,9714656010.1125,8903177983.4576,9360737973.0624,9553474586.0319,10289404204.8008,12085623539.1074,12722309482.9282,13462257521.9656,13971058809.5355,18770598780.5451,19928759738.85,7557073105.98
"Services (Non-R&D)",8591609000,11511129000,11136743521,9536655042,12153373575,11195773263,11409247485,12307459739,13593197807,15028732578.67,12757866104.28,12641218607.5438,14457220910.8868,20629121280.5441,19193329170.6348,22583994888.293,25962983099.6374,26964298243.1152,25432726601.4255,27931932783.4954,25802547844.2824,25365964464.3345,28952793128.4364,23860677759.0031,26276503790.8506,25946439347.3859,27632265277.0444,30795956310.6042,31824213708.4286,35359423816.2496,35704509294.3849,37158363390.2545,40041149224.3399,44167545612.2176,47058321745.7736,21313238651.88
"Unlabeled",,,,,,,,0,,189052,0,0,25000,1008658.1,-7400,,0,0,-8083,-4570.1802,,,,,,,,,,,,0,,0,,
