"Vehicle.AwardTask","Vehicle.sum7","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Award","Definitive",,,,,,,,,,,25037791820.28,25987627628.125,30299261383.9775,32207058151.3866,30328711951.8153,27829791611.4059,32177683976.4133,34883515514.1267,31027929889.2513,32875058064.4656,30416463887.6224,32442032021.952,36243285201.6863,28738866549.7774,29224642112.3227,26728714114.7883,35382047605.571,28839227430.4421,32185609526.1376,32232730048.8324,27888874191.2234,32293940253.82,29109738531.2029,19266830668.5575
"Award","Pur. Order",,,,,,,,,,,429991936,462457544,580716042.8604,814693170.4201,699659535.1131,905201048.2908,1009097304.2691,1104709717.6857,1031110140.2592,1048622648.7144,993249631.0746,974754574.7314,754192638.8197,585889371.8041,708079176.1999,654096032.3745,718615400.6798,770474048.8266,836529128.8416,970251135.2166,1059955437.244,1378269878.9255,1586761989.3851,605325076.8962
"Task Order","BOA or BPA",,,,,,,,,,,794993,5766024,18457363,21048810,8333396,7380604,8035145,2593749.5782,3037136.4004,-191.57,80526041.4074,1205687097.1125,3785228474.7754,3588830488.7816,3547464959.5712,4158248013.9978,4079140178.3866,4331574462.2964,4814361963.939,5165041167.6537,4039210682.0812,4181022951.238,4135689645.2253,2810193207.7628
"Task Order","FSS or GWAC",,,,,,,,,,,1167331912,1676747428.4924,2117718162.5801,2882510310.7922,3000071367.2545,3143873186.8138,3315801109.2555,2786606127.6962,2397916048.7393,2312431378.2869,1879357769.5313,1578069327.0811,1462436345.3911,964787397.5667,1259044409.1743,993691370.6567,1221989460.6681,1064078503.0135,1342936841.4755,1389286463.4796,2176356701.8175,1985876952.3088,2086575759.0228,881360650.0195
"Task Order","Multi-Awd.",,,,,,,,,,,2320173951,2729937455,3526006911.2676,5790650834.9219,6758654015.125,7666611064.2898,8427156969.5412,9399128455.1433,6830206594.959,7451026417.8535,6948176906.6676,6777124492.4024,5403440476.1178,4355883264.0082,4557892835.049,5546452743.2363,6844533124.3459,8572838086.3563,9431813502.821,11043379299.655,11792177479.1521,11743892048.6738,14075110863.4924,6224661006.7286
"Task Order","Single-Awd.",,,,,,,,,,,7854698435,9522931884.9922,10700806025.8984,13663611137.4668,14163933177.4563,15901650491.4803,18167649663.3896,21677474869.1647,22352495458.8577,24122206299.4763,24344266986.4574,22300905029.3058,23583134638.5674,16718271014.0538,16399652239.6038,14788790206.1206,16841532236.8939,17399545625.617,22729246769.6889,25045714764.7329,31061800889.3761,27470707824.7053,27976052355.6285,15915777194.386
"Task Order","Unlbd. IDV",,,,,,,,,,,1148119396.6992,247578587,170918844.5508,177562642,97332309,125448697.2969,34019384,23108672.0863,7962497.2337,874136.2752,243644521.7326,192890355.3557,261626622.9468,109962590.1993,111679969.1173,90863531.3495,255428.6954,26106440.6765,1930135.2498,29285,88463,,,
,,41032316000,43625084000,38602723036,39452449414,43554730825,37076749369,39081089944,34943056076,33653688998,35246060466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,0
