"PlatformPortfolio","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Aircraft",17064264000,17667678000,17944234932,17777094009,19811262698,16094975307,18215014727.51,16129354114,15732102477,19018630742.67,17363817617,18760776896,21403163399.8175,25629544184.2319,22537651864.4548,20274951935.0225,24943309247.5247,29692705334.816,26233268754.1232,26298821117.5024,26752967890.4285,27570840340.4537,32259572463.8008,24261158312.255,22938365695.4206,21867812329.7966,29523616295.8853,25123636585.1946,29642668190.9748,29873703558.71,30582710956.7207,28761439624.9618,25156790253.6548,27926752026.1659,25646714021.43,12299374893.11
"Electronics, Comms, & Sensors",6904544000,6858530000,5812264395,6051983904,6929069201,6001570027,5166630656,6250999483,6091863889,7505970542,6220862677.6992,6231182308.3724,6897133017.4434,8170110392.4493,9417999634.0743,9796014469.0519,9979829660.4647,11645743793.9818,10767607919.356,10808043100.9871,9973698680.9733,9724850771.7809,10507984427.1079,8371518958.5057,8946404179.8855,8413480848.5642,9780085091.272,10876128700.6579,12046878516.2695,12831869079.6119,12456304633.7211,12128043781.693,13378147135.7025,13670616316.6985,13460184011.4925,5489970876.55
"Facilities and Construction",3316082000,4363274000,4452553494,3866317331,4615162948,4685524807,4566837966,4509646594,4710846623,5418018722,4105935540.28,3936262679.5313,4496416502.6259,6361775495.3044,6568857900.9579,7146031366.0226,7755593010.3825,7762482771.9264,7470428609.8583,8248430328.9917,7372846183.7068,6780768863.6914,6049658104.1339,4799210106.3539,5899630453.3596,5450747529.045,5506613943.8793,5338345265.0776,5387276146.8303,5925322052.269,6378944763.0077,6520806251.1334,7654003502.7021,7379601101.0017,8016250936.4418,2940425145.22
"Land Vehicles",342933000,159735000,192066344,145208659,1265040231,179400474,127505321,118638031,171231096,248227020,238117034,177784077.4609,196249384.8101,219867374,225814987.9,289011539.31,240105396.1712,285461942.847,160960417.1094,134836446.6877,123907481.4749,148021360.2119,144739721.9563,534486152.3765,154956406.1867,218981837.1948,251143638.2402,294312871.8701,903900179.011,967445568.1,752363764.4293,819054116.4404,730465272.6062,1882861193.0243,2059537121.1401,964786487.07
"Missile Defense",1115655000,1856254000,1174474880,1568028954,1363717424,996995349,1013765798,1066163633,856496514,615289977,365671303,372557428,493699839,385294281,284076604,406527737,514368923.2969,597273208.8856,626681983.8943,995195105.7429,776620018.2946,692588786.6646,669537970.6962,634651794.3,248363932.03,1156908715.17,1048003514.4983,199326729.9779,1465823877.6687,442464629.1049,1278036656.8173,1495956974.8826,1308585792.3237,1360798527.3256,1478977209.95,108744592.04
"Ordnance and Missiles",2356963000,1742190000,1325270171,1491540518,1486161430,1040583142,1195993018,1426201586,1684257834,1677664082,2091692827,2154241489,3349622011,3232481046.1094,3332080973,3311358158.1991,2848597036.84,4105287928.1176,2553129517.3246,2358299067.5504,2721075248.832,2503370066.6091,2595587631.3433,2494564491.2242,2246170353.9146,1752215301.9876,3761259967.6649,3100231070.9865,4325005925.2884,4473848089.8961,4545163880.8258,4266354381.935,3585758648.9183,5363870476.7603,8361561368.09,4729264263.86
"Other Products",1889258000,2225149000,2347957913,2333598353,1317076899,2543025943,3026058467,5255865604,4313544034,2546500585,934362095,1229718858,1613606856,256256382.2,965003610.14,491944855.9605,432108874.0882,341197386.9354,407518458.1017,479236674.9987,333341094.7269,379786063.4448,222564038.018,210870788.1549,230213218.617,220831830.4614,325233749.0453,290240855.8889,313041400.8759,318394882.0074,590258971.2845,1464676541.1155,747409332.8744,241324739.722,476730258.21,148572838.12
"Other R&D and Knowledge Based",3249201000,2362010000,2525247221,2480737819,2643255465,2376684748,2508277777,2598898896,2970128882,3119194273,2687151780,2941857275.2,3230578440.44,3933227555.3884,4053316596.0544,5457658284.3542,6531652813.8371,5708352280.4122,6904883687.4233,8957635027.8719,8226652739.3145,8026250869.4554,9089230187.2105,6663407085.8258,6892289077.947,7107241516.7858,7681351241.303,8647612926.0749,10450123996.8928,12511164872.5053,12842111111.6714,17836641852.6198,19646224184.3784,27636253263.2176,32269413837.01,14866355613.04
"Other Services",978067000,2278830000,955534803,748618235,1030339101,874995499,985507927,891747286,947950806,1116737744,1000021460,972021925,1690451082,2842159455.3375,2506793634.2544,3325521119.56,3474823462.191,3646942571.1923,1030827611.7022,1085829396.1984,1139874459.0974,1410571056.3293,1356695255.0365,1072793604.4092,1291779802.7566,1381432122.3518,1751440291.8325,2180944651.5329,2362352905.3037,2326396637.8051,2514654037.2568,2390351911.2255,2260673802.8923,2268663004.364,2347677470.8392,821936235.52
"Ships & Submarines",17828000,8164000,8028480,8852351,10847718,8960308,4793648,2306089,7701599,3025558,4027864,17858716,16735278,141113735,62486459,87201065,41866388.63,7983287.809,19071299.4846,16126535.0308,12870923.2601,13858081.4868,15737768.1748,11142180.3772,12929291.4684,16943747.3337,26690886.2672,21273496.7347,19979049.5782,23093847.7484,18575963.4375,17490848.1324,18381735.499,83984992.019,94133040.52,38356750.77
"Space Systems",4876880000,4293768000,2808252422,3485991281,3554550710,2986544765,2583426407,4821393077,3791926519,3963892943,2947261479,3838784967,4026203913.64,4384296465,5102620909,4993848566,6377188800.38,6083706574.5737,7476462321.533,8425205720.1234,7473761993.8058,8225319510.0353,8583466438.0459,6113608024.8,6941988659.9375,5269225592.9449,5394397040.0481,5346950886.2841,4951115240.9665,6120770622.8614,5997909796.0004,3468950790.35,4314285919.5994,4938290602.7362,5647974083.39,1409212633.81
"Unlabeled",,,,,,,,,,189052,0,0,25000,1008658.1,-7400,,0,0,-8083,-4570.1802,,,,,,,,,,,,0,514330.93,87486.28,201436.04,22379.04
