"EntitySmall","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Always Small",40187,39516,40925,41089,40944,40196,38962,37066,34152,33848,32527,31793,31146,28180,29587,26626
"Sometimes Small",10529,11017,12823,13054,12713,12501,11429,10911,10134,9541,9925,9689,9562,8502,7950,7149
"Other Than Small",11109,9857,10103,10594,11290,11489,12092,11321,10404,9925,9602,9510,8941,8640,8672,7806
"Unlabeled",5,5,6,6,5,6,1,2,1,2,27,16,4,3,2,6
