"SubCustomer.platform","Competition.effective.only","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Army","Not Effective Comp.",0.431557033829709,0.442078128745054,0.463034967889493,0.502195511520935,0.42947557951436,0.462823448899035,0.475149264188295,0.517953978528831,0.542326541916025,0.478730777203203,0.467590939655891,0.477328418842246,0.451326418200989,0.418915370541492,0.423907839353104,0.470243687065975,0.488758198415061,0.49115311484245,0.480926473028045,0.471727768954296,0.471384844108355
"Army","Effective Comp.",0.528707126701091,0.508593631366042,0.475850013547768,0.43781824496182,0.500505679949274,0.503574039544896,0.501402372058323,0.475631429529525,0.447994444584013,0.510871292026291,0.504191436916634,0.492013614929263,0.521524545238757,0.548526764724438,0.556868135477423,0.513326203833951,0.496667062405795,0.496917165884532,0.504222266225164,0.523049279476513,0.506157061707288
"Army","Unlabeled",0.0397358394691995,0.0493282398889036,0.0611150185627393,0.059986243517245,0.0700187405363665,0.0336025115560689,0.0234483637533823,0.00641459194164385,0.00967901349996207,0.0103979307705063,0.0282176234274747,0.0306579662284916,0.0271490365602543,0.0325578647340704,0.0192240251694738,0.0164301091000736,0.0145747391791438,0.0119297192730173,0.0148512607467912,0.00522295156919064,0.022458094184357
"Navy","Not Effective Comp.",0.544571577596371,0.612111384659384,0.545566761311991,0.546625666418941,0.583674168006245,0.571870752474263,0.591915704470606,0.574489028528297,0.565985971246222,0.585954340296316,0.577198934007251,0.62034350408297,0.639482511372812,0.664068023267118,0.630919738565299,0.638618810251524,0.650979844873589,0.689002726430562,0.663219742575938,0.660730353349035,0.697033545343854
"Navy","Effective Comp.",0.408256928987132,0.344221757349944,0.382372468485145,0.396826963380246,0.368769309520132,0.410782650583979,0.395153663616116,0.421133695121044,0.426441093614877,0.410268591918122,0.420299093918665,0.378213855424783,0.358917747588305,0.334399281781519,0.364730410687852,0.358747179229522,0.346202431850655,0.308361282391475,0.332020326703616,0.333840543956647,0.288983530452553
"Navy","Unlabeled",0.047171493416497,0.0436668579906728,0.0720607702028646,0.0565473702008131,0.0475565224736233,0.0173465969417583,0.0129306319132779,0.00437727635065963,0.00757293513890061,0.00377706778556226,0.00250197207408397,0.00144264049224784,0.00159974103888266,0.00153269495136272,0.00434985074684979,0.00263401051895323,0.00281772327575623,0.00263599117796309,0.00475993072044562,0.00542910269431751,0.0139829242035931
"Air Force","Not Effective Comp.",0.499217466383564,0.499988854164983,0.514733642318294,0.546439208306408,0.524326321320935,0.539319028263413,0.577011594691389,0.586366651814643,0.58440608093673,0.612113399852395,0.622847832346841,0.636794575878049,0.662572897550388,0.647496186624087,0.619394704131961,0.660178265228094,0.652644063914519,0.626135579987734,0.64165610112768,0.634750178644377,0.67169762015899
"Air Force","Effective Comp.",0.465104317920313,0.45560437134656,0.4269485576149,0.367951409393339,0.396884637766749,0.40044544362756,0.374229469038776,0.409924859642193,0.41048622267067,0.384277074693632,0.374308422216497,0.360347029592947,0.333604948123811,0.348693948553964,0.377170567532314,0.33658038481011,0.344720973786691,0.367511007053561,0.351531157556533,0.358894292627719,0.306750616865213
"Air Force","Unlabeled",0.0356782156961234,0.0444067744884571,0.0583178000668059,0.0856093823002528,0.0787890409123158,0.0602355281090279,0.0487589362698349,0.00370848854316402,0.00510769639259981,0.00360952545397249,0.00284374543666168,0.00285839452900404,0.00382215432580156,0.00380986482194872,0.00343472833572483,0.00324134996179647,0.00263496229879035,0.00635341295870445,0.00681274131578673,0.00635552872790371,0.0215517629757977
"DLA","Not Effective Comp.",0.161649724042147,0.1604971201384,0.191035555729294,0.205971095212786,0.16129892999478,0.16066273808368,0.142642597773666,0.134541752938049,0.200525614000176,0.213689600739304,0.318697445163092,0.265029256294048,0.227198948120043,0.259430138053508,0.23412560901846,0.249361160272772,0.287458666703538,0.295396778550405,0.328250341660071,0.398978908994053,0.414540037581707
"DLA","Effective Comp.",0.799258799816143,0.788580166961862,0.702352080021101,0.723481615269846,0.762769801054752,0.797464739757285,0.848366434822676,0.862256751851577,0.797356593671713,0.785153741040731,0.680239912756264,0.72970371348036,0.770831531890777,0.737778023042549,0.763111770837402,0.746805797488388,0.710800283924493,0.703181969208914,0.638486676067873,0.567545689939349,0.48441317677985
"DLA","Unlabeled",0.0390914761417106,0.0509227128997383,0.106612364249605,0.0705472895173689,0.0759312689504671,0.0418725221590354,0.00899096740365763,0.00320149521037335,0.002117792328111,0.00115665821996537,0.00106264208064431,0.00526703022559164,0.0019695199891793,0.00279183890394331,0.00276262014413816,0.00383304223883996,0.00174104937196947,0.00142125224068131,0.0332629822720561,0.0334754010665981,0.101046785638443
"MDA","Not Effective Comp.",0.078520951317262,0.09140892017929,0.0837124008750686,0.185264909207618,0.205507751306036,0.232747843140221,0.283718564799717,0.414148334974028,0.533486277558067,0.573600328236516,0.707095587995511,0.648276665151253,0.692707706252031,0.773711693301969,0.657112584263699,0.616066659903098,0.636116598049619,0.647523199632492,0.568835221747368,0.666900771285968,0.777402946954818
"MDA","Effective Comp.",0.916906322255314,0.903813901148147,0.905380685950825,0.805507869318908,0.790847668420119,0.764669950951379,0.715369996230089,0.582220060333792,0.435813460517223,0.408909422737551,0.295979116811681,0.350931884019533,0.306991027711548,0.226254318911478,0.343002719596052,0.384202697068388,0.363885513992807,0.352411255712212,0.431164778252632,0.333088137163539,0.222324971567254
"MDA","Unlabeled",0.00457272642742381,0.00477717867256313,0.0109069131741061,0.00922722147347318,0.00364458027384539,0.00258220590839952,0.000911438970193979,0.00363160469217986,0.0307002619247094,0.017490249025933,-0.00307470480719193,0.000791450829213456,0.000301266036421656,3.3987786553435e-05,-0.000115303859750707,-0.000269356971485773,-2.1120424259556e-06,6.55446552958133e-05,NA,1.10915504929086e-05,0.0002720814779283
"Other DoD","Not Effective Comp.",0.208301322739523,0.232038186937385,0.20272695189516,0.215733056289949,0.25295426185763,0.304343282982702,0.333078013213558,0.290147224274192,0.285726118104081,0.233544762557702,0.241337948517179,0.197420430808203,0.201915218469893,0.196780067804308,0.215264986724116,0.237446506153976,0.248758933036091,0.24523100697538,0.291384724307857,0.292724102150336,0.287121284904459
"Other DoD","Effective Comp.",0.700329458309237,0.698764765072161,0.707551987150056,0.710676593655063,0.680309320663636,0.667985361625632,0.64672264719664,0.701679153114393,0.702500126400453,0.761536707808465,0.758570545649664,0.801283813626483,0.795172629019548,0.799271268793534,0.781698021684188,0.758973285130043,0.744714248686733,0.747180890219165,0.70119675808269,0.699060903733156,0.697710464492533
"Other DoD","Unlabeled",0.09136921895124,0.0691970479904538,0.0897210609547843,0.0735903500549877,0.0667364174787343,0.0276713553916662,0.0201993395898015,0.00817362261141477,0.0117737554954655,0.00491852963383299,9.1505833157006e-05,0.0012957555653135,0.00291215251055936,0.00394866340215797,0.00303699159169627,0.00358020871598121,0.00652681827717574,0.00758810280545506,0.00741851760945259,0.00821499411650787,0.015168250603008
