"PlatformPortfolio","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Aircraft",35314194154.53,35907445233.9394,38786249943.1662,48710958463.4567,47796174062.9781,47274396296.8926,53973578752.3784,60393385207.0607,66665379210.577,65813783029.775,63475573783.3386,70260888228.4295,78121040130.7923,73221269435.419,58183455399.1064,61704733773.486,75454051208.0051,86077929115.8004,83170688269.4399,90031154951.4751,105017781733.579
"Electronics, Comms, & Sensors",20721787433.8069,22401349620.0158,25858697960.8764,31714128716.5554,37156454367.588,41999266548.4242,44996832803.7504,52417390856.8278,56909098542.9826,55244316111.6502,56119214698.6032,52338416020.9606,49474231650.8886,40996644469.3473,40722853160.6836,39465566373.5382,43345128478.4298,45604988463.3185,51152725422.2717,54875538087.8463,55124647474.4083
"Facilities and Construction",20786916910.0744,23107328569.2593,26027970587.2005,34357274180.2863,35573581375.1197,39371547693.261,45477965274.852,46054961669.8549,57031788707.8795,65968131475.3321,61060432805.8836,54244590719.0723,48706616461.8429,38970509463.1689,42026611130.9209,37927658496.1633,38270469653.864,38244672005.0354,46507919691.9063,51781973875.017,59739850182.5714
"Land Vehicles",3396266974.419,3297806236.2578,4784757839.3472,9639949222.434,8544950149.9358,15283465395.794,16129003914.2991,28195871301.9019,39717640297.2569,28829201124.1596,25331773619.3051,19570495480.0868,10828888978.4807,7427967569.5787,5825203135.1328,7498015761.3031,7352597731.5422,8257372971.7592,12669606091.3244,13047625980.263,11827203302.5032
"Missile Defense",955629335,1934613424.3999,3618850383.8281,4004909075.0938,5950319551.586,6482921045.1563,6750772307.3287,8313366552.2319,8761720219.8506,10501117509.0155,10556654646.5502,10915898236.3441,11207421398.9962,10808490184.1624,8516484991.3941,9350035586.5754,9697956114.1627,8344649544.1172,13317263917.4679,11132509782.3224,14615276680.5847
"Ordnance and Missiles",10726812018.275,10550904389.3983,13472219800.3593,14586337231.0499,14134308454.1602,14849017165.1777,15038050001.2582,17940806566.5707,19205533005.5383,17914553333.7808,16672897703.2213,15420554689.3102,15679934177.9548,13040059599.8247,12578076016.4523,13254207352.3246,16481687127.7858,18052174683.5428,21589503656.5646,26712038783.9905,28453694006.2638
"Other Products",8639631778.09,10228232817,13400997103.2415,15542447428.4263,18316220028.3947,31831648773.5399,34635226381.2251,34283632888.6748,39101721803.6713,35588806644.6735,29114589259.5554,30006785905.1202,35357797188.3427,26463531578.3953,24268112947.6681,21069110791.9282,19406249663.8794,21576389534.6158,25164594937.7683,23212601845.6019,25518832714.5178
"Other R&D and Knowledge Based",12545323449.0637,12548319554.9022,16006956808.1511,18912916558.2682,21067943942.9484,25773447724.1759,29030375974.1737,30532899846.6231,34016579199.2551,38742046353.2673,40169762385.1068,39937021916.6413,40262612483.2203,34056301761.9195,33595522275.8293,33268157408.7611,33471471964.5156,34758266085.6039,38809158652.0965,42625403741.3894,44277204510.9099
"Other Services",6506267013.1198,7420418624.8457,10543063265.4787,16105228940.6387,20109780788.0342,22212802838.3628,24238688326.1944,24494725523.4546,27467258735.3125,30723575034.2101,33027584426.2976,36791692391.3012,33863626494.884,30654947847.6359,25657128563.2907,22953863792.7188,23818801737.8035,26207298021.1504,28473753112.7989,29607583704.1814,29482057729.9918
"Ships & Submarines",9355891763,12404294499,12695648913.9302,12673293487.0506,14842221707.1636,14038755534.1306,16819636778.4898,17252301147.0864,19353076069.0697,21501461737.6141,17561181485.3883,28389571263.5333,23823517535.9178,23051278527.2609,23827426373.0695,21478225215.9184,24652659223.7647,27207762331.1003,31306616728.6814,33305801657.137,40022416123.1904
"Space Systems",3182752124,4154315713,4479525528,5208172909.6601,6126678143.1602,6383450249.2656,7883684089.5679,8069238241.2337,9424818455.3168,10254231699.4654,9089367407.3932,10298401710.0025,9949330376.4938,7571179669.3494,7849485533.8651,5963062519.4985,6075865714.2822,6050578378.7743,6037559160.2822,7219157145.1359,7257346222.9167
"Unlabeled",29503352.0086,9825233.9425,84074351.1754,75741000.174,7078195.7826,3802636.1223,109748294.8077,18047585.0499,368043.2192,986168.1333,-253919.658,-140825.1013,-6477.8001,-99723.1206,NA,30000,3581529.4308,1345607,-212795.3672,465885,314555.625
