"PlatformPortfolio","Competition.effective.only","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Aircraft","Not Effective Comp.",0.672877043393665,0.696181018699741,0.722638166185967,0.746884057500991,0.75943544645393,0.737059180098514,0.730595101633868,0.769661815708202,0.790293625591966,0.775963634185676,0.771630646204181,0.803461085466864,0.833989357073707,0.809991329854164,0.796135694841583,0.832722877402651,0.840445023392912,0.860980638100426,0.851513086750033,0.853261104560711,0.900420971458713
"Aircraft","Effective Comp.",0.323696203882757,0.301389271961942,0.27299017227809,0.248846326101375,0.234026773375878,0.25874181970118,0.265644038471659,0.228308640855096,0.208388854251087,0.223381888835354,0.227937473704414,0.194825625456091,0.164908948867462,0.18882380226799,0.202998419342527,0.166555582288417,0.158869244723074,0.138190385773288,0.1444822400404,0.144487774611763,0.093712979346188
"Aircraft","Unlabeled",0.00342675272357806,0.00242970933831675,0.00437166153594271,0.00426961639763311,0.00653778017019235,0.00419900020030606,0.003760859894473,0.00202954343670191,0.00131752015694624,0.000654476978969784,0.000431880091406054,0.00171328907704432,0.0011016940588311,0.00118486787784552,0.000865885815890779,0.000721540308932196,0.000685731884014607,0.000828976126285569,0.00400467320956731,0.00225112082752615,0.00586604919509857
"Ships &
Submarines","Not Effective Comp.",0.530582633889755,0.787537734837523,0.545814751091383,0.530329282897744,0.656919361103641,0.552013212232221,0.752185852820554,0.760378533197714,0.776420287645674,0.735184540546418,0.659334042044272,0.685676669715209,0.646151078664084,0.628331508278182,0.630747509124231,0.581799343507181,0.579134274931219,0.569172205171716,0.531727342041937,0.550723340834869,0.630286700420315
"Ships &
Submarines","Effective Comp.",0.461921483111968,0.202621180930735,0.400602470382536,0.422565806006337,0.317285013446619,0.430001801962865,0.233756421728509,0.23699555564355,0.215484643506207,0.262367659539885,0.337618912027131,0.312971500872542,0.353096088284556,0.371158580242557,0.368134612782665,0.417423754436599,0.420164167478717,0.430248462431456,0.467284406055293,0.447480633908226,0.366944634330252
"Ships &
Submarines","Unlabeled",0.00749588299827791,0.00984108423174257,0.0535827785260808,0.0471049110959184,0.0257956254497405,0.0179849858049142,0.0140577254509375,0.00262591115873553,0.00809506884811882,0.00244779991369741,0.00304704592859669,0.00135182941224959,0.000752833051360274,0.000509911479261307,0.00111787809310388,0.000776902056219848,0.000701557590064268,0.000579332396827893,0.000988251902769664,0.00179602525690541,0.00276866524943239
"Land Vehicles","Not Effective Comp.",0.692291754944772,0.571471248534104,0.564591163816091,0.742257896831602,0.581150166006599,0.698655570162095,0.693603500866318,0.689624333926563,0.672007957251342,0.6770161037485,0.638729675860681,0.706688770441624,0.657459895935518,0.643577508838968,0.690280655482228,0.742719267423407,0.680825919360344,0.665530446987718,0.679599785179338,0.621079777646895,0.657335658482767
"Land Vehicles","Effective Comp.",0.29212784622364,0.425298801845785,0.42348772470131,0.247192633181218,0.401854298367112,0.300618113213205,0.304961714438275,0.309605799540976,0.327498376026099,0.322095126557073,0.326217213286343,0.289503051894676,0.338613371223615,0.352152213692414,0.302462181818374,0.256874548224698,0.317817886761154,0.328367077843565,0.313724544338213,0.369456701115419,0.321343137578891
"Land Vehicles","Unlabeled",0.0155803988315884,0.00322994962011083,0.0119211114825995,0.0105494699871793,0.0169955356262893,0.000726316624700501,0.00143478469540725,0.00076986653246058,0.000493666722558394,0.000888769694427213,0.0350531108529762,0.00380817766369957,0.00392673284086674,0.00427027746861839,0.00725716269939765,0.000406184351894547,0.00135619387850129,0.00610247516871755,0.00667567048244818,0.00946352123768581,0.0213212039383418
"Space Systems","Not Effective Comp.",0.455267072504199,0.363085851246183,0.410704814940838,0.546349581501837,0.423055508745961,0.427804125735401,0.534824047536866,0.477050927650274,0.509749634684789,0.552831661040061,0.555081549145991,0.602543528333563,0.651407245871683,0.62568299829244,0.661258759555019,0.718618119193892,0.650755698844146,0.690662445447016,0.546496092382584,0.608005017494556,0.621111424822241
"Space Systems","Effective Comp.",0.54250518096583,0.636165722487062,0.587930121067054,0.453287303825743,0.575983363576053,0.571277103103082,0.461097336344744,0.522872302310067,0.490209249085563,0.440416407090426,0.444909467830621,0.397415769443723,0.343987912092089,0.374319706980832,0.338740900000988,0.281381880806108,0.349179225655737,0.309294087634032,0.453410237645,0.391880966039983,0.291306763435953
"Space Systems","Unlabeled",0.00222774652997137,0.000748426266754464,0.00136506399210769,0.000363114672420394,0.000961127677985487,0.000918771161516414,0.00407861611838918,7.67700396593184e-05,4.11162296480515e-05,0.00675193186951389,8.98302338769877e-06,4.07022227141204e-05,0.00460484203622812,-2.70527327239614e-06,3.4044399323635e-07,0,6.50755001168934e-05,4.34669189515197e-05,9.36699724154034e-05,0.000114016465461565,0.0875818117418064
"Air & Missile
Defense","Not Effective Comp.",0.36341709518576,0.440986818472345,0.324405691120682,0.385999284654819,0.450626544165398,0.461745453919319,0.528877752587524,0.527340607330532,0.562490302787657,0.671742772992256,0.751796405622433,0.74127722367665,0.713125033807851,0.795118620460975,0.693816672951484,0.746275944792772,0.718721018088994,0.709601182924817,0.695847576365923,0.686482610967642,0.767206310266506
"Air & Missile
Defense","Effective Comp.",0.636069674441294,0.558811439724886,0.674389416292577,0.612038966438356,0.539440734618941,0.53201065004708,0.468197547964804,0.458334073174344,0.39421118417536,0.314804971201844,0.249504617073235,0.258202015091051,0.286352810299481,0.204855223994154,0.306340246807237,0.253859122086194,0.280959561429202,0.289924501154248,0.303960727683158,0.313397618850541,0.232548383514997
"Air & Missile
Defense","Unlabeled",0.000513230372945803,0.000201741802769236,0.00120489258674119,0.0019617489068253,0.00993272121566088,0.00624389603360102,0.00292469944767145,0.0143253194951241,0.0432985130369831,0.0134522558059008,-0.00130102269566887,0.000520761232298172,0.000522155892668062,2.61555448710349e-05,-0.000156919758720932,-0.000135066878966024,0.000319420481804011,0.000474315920935266,0.000191695950919128,0.000119770181816256,0.000245306218496889
"Ordnance &
Missiles","Not Effective Comp.",0.592333323502837,0.612110349505935,0.659408876998679,0.67182744860034,0.659006284366965,0.651050066829208,0.673182025469147,0.642357289540993,0.68325008655545,0.719011252354561,0.772814833746382,0.764632535184955,0.746847805612495,0.752694858930188,0.741884902272048,0.76133548305473,0.766775664874752,0.772518992835035,0.801723672127687,0.8433945949186,0.860362096495677
"Ordnance &
Missiles","Effective Comp.",0.405744669570513,0.385311345734964,0.333922022296765,0.320697248705582,0.33446131616691,0.346575195688281,0.325636855383204,0.357407950494087,0.315433848703852,0.280593500078856,0.225748684156174,0.230690878581575,0.251764092483251,0.244759940455817,0.254746916024806,0.230594995314915,0.231015872618552,0.226967131168963,0.191433212101966,0.15569223286602,0.117954517856791
"Ordnance &
Missiles","Unlabeled",0.00192200692665028,0.0025783047591005,0.00666910070455529,0.00747530269407817,0.00653239946612485,0.00237473748251122,0.00118111914764972,0.000234759964919741,0.00131606474069797,0.000395247566583099,0.00143648209744444,0.00467658623347004,0.00138810190425423,0.0025452006139946,0.00336818170314646,0.00806952163035548,0.00220846250669545,0.000513875996001576,0.00684311577034693,0.000913172215380259,0.0216833856475324
"Electronics,
Comms, & Sensors","Not Effective Comp.",0.396832065009592,0.383305113889725,0.392764035904539,0.404222068557165,0.396410069381298,0.511251712389235,0.491565531653649,0.494070598727582,0.507687891450647,0.507091936548053,0.546451320836513,0.557625236680769,0.565588715066404,0.55121020072551,0.524615514677223,0.525786909350883,0.500940102255756,0.493709086646356,0.534864344292583,0.530749360345787,0.505375971540483
"Electronics,
Comms, & Sensors","Effective Comp.",0.424291563316547,0.436702902633283,0.414442161348602,0.425837524491104,0.459513494907952,0.458868698355909,0.48609691859192,0.495783766627855,0.481659537935382,0.48528355902506,0.447972253885121,0.439021115350997,0.427790967641994,0.441375112788171,0.465264391722627,0.464239088603284,0.490448500658684,0.494034501969683,0.453712785429008,0.4588441653723,0.470659523009207
