"PricingUCA.sumlong","PricingUCA","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Incentive","Incentive",501000,-52000,1523000,-1264000,,,,27611704,572951,650473,30955836,1150507,8264374,2908169,20655709,30330308.9477,111052629,28066851.72,86722462,372286357.062,363479757.816,400838494.7949,644408586.0927,626608695.63,591645419.0541,1122803503.3306,966273999.7906,1100211618.3814,3245654685.2981,3226424353.4857,2113491732.8376,1894610249.1257,2219226654.0418,2786095857.4864,1204401660.54,184018998.25
,"Combination/Other",,,,,,,,,,,,,13216.3203,114874,234500,13451884.2,54597604,436281795.5375,168328364.2318,813187518.8129,-224809337.3082,-783130.3124,-673666.0691,-150418.03,-264049.56,,,,,,,,,,,
,"FFP",4487000,9330000,1370000,-464000,672000,454000,2170000,839671120,954232986,1589393841,2093456735.9815,2343488075,3835139136.8451,8700836379.8987,6759772952.5553,11117816197.0627,9604671642.4872,20152059897.2955,28767470695.0717,19557693215.974,16231459925.0314,12424098105.3598,6511964508.8826,4609082761.5025,3566519205.6262,5289796607.8775,5006126353.7845,6025900262.7799,7469578578.3184,7839593735.8062,7860895233.8133,5839764462.1143,5898286041.2961,8649275237.0758,9840970723.8533,4510682818.88
,"Other CB",769000,235000,37000,-2961000,0,42000,,143946846,161369963,133860438,917940644.4375,793624064,721644048,562887706,989854347,1838843200,2056340371.7181,3101368335.8022,5269413741.9858,5878942682.2001,3855801663.6127,3597766301.2183,1982832090.5801,1392815191.5219,1176116500.068,901659259.0289,649819046.54,659468510.1,1245940009.5651,1029464712.9072,1278066021.4106,1676308618.0515,2249759789.3932,1647900576.738,1794660203.08,1689198742.91
,"Other FP",,,85000,180000,214000,464000,933000,37512265,7166026,35100733,84160718,80387605,79689745,135933144,163198600,196189849.1371,108484498.0493,101211759.8302,190127628.0297,371482126.3623,11302768.5422,52871985.298,83384355.8596,76992968.8485,56925452.7296,68708334.4916,69171381.5962,103151680.0775,93067003.4077,59212139.554,63356169.8684,40301059.9892,54082670.4683,76340437.6317,139608279.55,317273571.95
,"T&M/LH/FPLOE",,,,,,,,-214185,10888444,11488408,91304644,32940794,54237461,59654793,135335517,320771590.6533,332621519.5669,189403707.515,632226455.1272,461879987.8536,255457700.6809,195276084.7593,68314482.9297,23928411.6059,-5718044.7806,25629457.85,52461607.3792,14779330.9841,28288112.0792,84754627.0571,57117742.0204,133327131.4071,42207712.3317,4525630.9849,20303760.86,10362223.78
,"UCA",,,,,,,,1463728,3786444,7202034,110027344,15855492,32382282,45992146,367042943.05,1604658297,3511921412.08,4189750854.61,4600172083.6716,1380332768.4684,4821736617.6657,2905514114.9841,1538442769.4519,705836190.51,440247751.29,86349818.62,610763550.0539,352406663.3906,583203573.7134,679941375.9107,380707731.6188,98365945.5589,357089843.5796,1370398822.7725,712920886.36,331325610.97
,,4275164000,6503975889,4166812450,4396364530,3619043411,3098454659,3679005068,3662848239,2808148793,3521920060,67514203,30343123.2609,53387575.1808,133185321.62,109396118,139711236.61,352057609.0186,453672.3525,42754629.9644,-674461.6504,17795237.7778,-24734.1094,0,0,0,-1174737.0623,-2216909.6992,3261529.7546,0,0,0,0,0,0,0,0
