"SubCustomer.JPO","SubCustomer.sum","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Air Force","Air Force",342933000,159735000,192066344,145208659,1265007231,179269474,126735321,107260449,147911366,164227243,238117034,177784077.4609,196249384.8096,219867374,225814986.8999,289011539.3101,240105396.1779,285461942.8499,160960417.1483,134836446.7276,123907481.4749,147985947.6319,144739721.9579,534486156.364,154967326.1598,218974516.0511,251335460.3488,292834585.9922,927642698.9539,961638642.1627,749004364.0103,819044005.0724,726402205.4638,831200238.304
"Army","Army",3713769000,6078720000,3679541399,4043770387,224804379,2703040938,3303607630,3229113881,2403899910,2972163997,2712425751.419,2572935205.7969,3624593665.5376,8541273987.5003,6725253894.6372,13179021662.9176,14005232443.4122,22313185090.754,28557815643.1036,24060196291.8646,20053234934.0584,14652100405.0422,7378172030.1515,5489499760.9968,4125718466.8439,5530855137.4357,5025288638.3715,5724492245.6807,8708242908.223,8946872365.7112,8064885011.4485,6823902570.1297,7670300303.97,4294071288.2246
"DLA","Other DoD",97984000,135301000,116075591,110500696,108267925,94262022,127728993,151205367,116364741,145108422,162224229,161889008,209020593,363085026,586985388.2188,589787570.46,540275674.1602,744069460.0529,1344987616.6357,1271439668.7834,1440587471.9528,1163035555.0505,1171136665.0352,853350008.7365,1006946695.0411,1293326802.5601,1442092201.2456,1767319942.525,2314365426.9541,2196635688.779,1969710831.0909,996598746.2033,1267695573.5046,563295439.7297
"Navy","Navy",117842000,123549889,174336236,95925364,1332159432,112371739,117368912,163579286,134634042,223992378,273490486,380130784,738750529,493945778.7969,978108422.2809,1175625892.1925,1325546674.705,4827858196.5653,9660511925.3262,3265308918.0275,3824480191.978,3707641097.2808,2112769129.486,534354452.8897,505578197.8576,385986722.4883,581201477.4216,341470941.6888,601002494.9974,655272839.4614,831056189.8662,1015950604.5179,1043903741.746,704132011.448
"Other DoD","Other DoD",2504000,6670000,4792880,959424,688804444,9510486,2809212,1488563,1440356,1901556,10009474,5050591,16143667,23340464.1368,29327995.399,28325917.9138,20604732.8243,28022183.9888,32856002.7438,103372372.3968,-106115168.749,-92574904.4529,29711081.8501,23209710.5917,32375848.1504,68989684.1925,52679954.1547,127186737.8725,137855874.3067,148320081.9487,131096379.027,32310074.5391,48065784.4242,18446673.3367
