"TopProject","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"ABRAMS SERIES (M1/M1A1/M1",311359732,274728030,317803475,388720391,324211,,,,-2379423.03,9692809.5209,36824.7812,-36505.8399,0,0,-2107885.01,,,,,,,,,
"ABRAMS UPGRADE",5293200,1434337,,,56539123.5,390053065.25,827631579,2355691519.6947,1321401155.0751,341031657.3695,242933288.4097,90161457.5873,41003188.78,99394318.3619,68651158.7731,-1189863.7238,-6655205.1843,11842399.1704,-1651602.9572,-1862078.6745,-1714391.1875,-67304.6836,-1572797.3726,
"AMPV",,,,,,,,,,,,,,,,68105672,167020700,155365855.4123,406779121.9966,623565673.2881,515168274.935,79269777.6018,57752439.6981,290727431.4682
"BRADLEY FVS",,,,,,,8359001,993588096.0916,3043315849.5424,1066668283.5327,490001364.0748,784626017.7634,710249414.5283,309376274.97,141716902.8025,74292766.1025,-11060546.4414,-14015557.8404,-3484765.7032,-21765091.7695,-4246756.5821,-445368.5625,3791824.7343,-399658.3047
"FCS",,,,,63033987,373103024,2951193673,3007710267.5,2997885625,2943580168.0137,1467149762.543,889961736.9204,-163269945.3828,-35789150.8562,14028448.87,-78505295.46,-231074878.67,-94558503.5469,-2042560.2891,-247085,-191869.375,-7939.8101,-18885.6309,
"FSCS",,,,,,3518400,-31072,,,,,,,,,147366051.24,291373321.9032,571291938.4201,727178440.9883,2001238113.2594,1625999060.4572,1242859622.191,1143790701.3454,1173342064.2563
"M1/M1A1 ABRAMS TANK",,,,,121756004,161076806,2160354.3516,285911990.4004,880304059.8243,848234902.4345,582250313.3446,336813145.9616,249564115.453,217304319.25,126242203.58,83459162.743,137264521.633,14494163.8894,-6087520.5828,54979836.3437,16171247.2667,37195420.1033,-8210768.2549,996846
"Other Labeled Project",1162127267,558822224.7969,994584658.6948,1551087047.0118,405345345.0035,663172079.7932,344017602.5562,323568124.7781,4168272083.4593,375925218.8451,2653504920.4098,756946736.1287,456904954.3242,267481444.745,323593181.4331,283720986.8176,205965716.2234,224172851.5556,837269618.6511,162606649.1918,740245472.9626,198123814.8131,703173093.0984,305846290.6953
"STRYKER (IAV)",3580230,,,52797,264836201,585796786,273498659.1201,1110584544.6453,2062125904.3936,2448306441.3768,1498889483.7978,1229458425.8086,992927194.5404,767605509.91,759774784.9891,321930030.9838,72944081.6912,-2566421.0767,-6290786.0165,-13265630.5802,-3995359.8598,-1552942.2251,5089245.1191,96802168.0078
,1913906545.419,2462805074.4609,3472369705.6524,7701652395.4222,7633655815.9323,13085052421.7508,11724935124.2517,20121542331.1008,25286206350.6929,20801714216.7067,18401328953.3542,15490257086.2224,8549149706.2376,5809527373.198,4393687738.615,6598953352.0246,6726820020.3871,7387277727.7754,10737439457.3479,10103489232.0042,8858317096.8258,8132430921.0345,8852572756.3717,5394713605.932
