"Shiny.VendorSize","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Big Five",886506000,1390584000,787831501,946274271,1272653294,632854418,786510954,800090418,709061580,737758315,837983431,654796455,1232731822.545,1130246773,1452056837.76,3175176381.8047,5464560457.3302,6839356815.1181,8072001107.639,6889143867.1206,4409328974.5089,3759473455.8197,2598718842.8538,1891650919.1013,1565586314.1598,940718514.9771,1092861049.7388,1751442551.0251,2902041792.1705,2264174440.0207,2400179272.9942,3118685897.2352,4423122317.2605,4700702661.5391,3932233073.29,1477945729.21
"Large",1736961000,2569710000,1047483450,1765906809,1093701750,581555298,935647780,891154123,711008400,1077948184,1025239831,941511237,1196240309.8008,1647511472,2890125947.2601,4124253008.2634,4546086079.8626,12644501545.4114,20850858859.256,13623559817.3379,15004312867.7687,10194990107.5639,5700385198.0801,3373558011.272,2318224685.04,3415798159.0424,3601534830.1579,3078627829.565,6336632612.3047,6369081500.7573,6023288234.493,4062310770.5455,3785947256.1445,5945516914.0096,5698532564.54,3300700968.85
"Medium",444820000,1688685708,1560989204,1129919170,866993181,1400247805,1415839321,1848599243,1380219213,1955860317,599647790.9815,930374005.8,1057743946.2003,1308718013.2618,1400836672.7042,3614278017.7524,2304769764.8822,3425043345.1397,3796422036.1082,3340017839.3083,3410336894.4131,2617848027.7105,1008805928.9727,1183938878.0265,767111932.9502,1205151527.7082,914886751.3733,1197573999.606,1236103520.8726,1592709718.1414,1237826104.4367,1049905891.3663,1035611691.93,1666219441.5968,1455534911.6233,824405357.09
"Small",331913000,710643473,557619915,418766411,330364636,388422859,420198865,625363890,589029762,618622528,348866664.4375,331714055.4609,549405787.9301,1023217740.7969,1404530414.691,1773892246.0098,1661279167.7267,2171131463.0492,2539137272.4721,2351527195.76,1429717245.4671,1616326292.8545,1248636222.1539,872297039.3599,976348919.4343,1055874157.2875,1024596205.8732,1199381145.1552,1416269884.2621,1503090936.546,1425608917.0344,914764329.372,950695269.1413,1054188313.8104,1394550406.89,584103642.28
"To Be Labeled",98000,,,,,,244000,537724891,547891360,909016725,583622408,439342780,747987807.57,4526666148.04,1396139756.05,2555374461.73,2064450522.675,3074954177.3028,4413318672.0022,2524852233.9369,869654214.4344,1196324284.714,120419301.1211,43073837.9301,188814922.49,860494897.0105,708362768.0978,875777682.0254,533568158.5933,867888083.512,549610262.3035,461420318.3366,614329803.7527,1178499895.0459,1227263273.63,852079505.66
"Unlabeled",880623000,153865708,215903380,130988869,56216550,96334279,123667148,9907152,8955292,409918,,51127,648164.3,5152386.42,1801058.14,18798448.0505,90601293.4434,43609528.6417,85478112.6047,106029241.6192,208874137.2263,190595053.33,151707634.5459,70595115.899,9385460.353,15734988.1106,10157424.2042,156376388.0914,241115994.1787,322446265.7435,117121840.3073,75590259.3911,10946372.8817,-10590663.3125,4751284.27,3626763.65
