"Project.Name","ProjectID","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"155 MM HIP",688,,,,,,,,39385.7109,522431.2093,183101.4531,148693.1954,,8130.5,242361.29,-250,,,,,,,,,
"443",2043,,,,,,,,,,,,,,,,,,,51507104,42465343.1875,62977253.4063,68520604.125,50698141.6306,19536530.8125
"466",2044,,,,,,,,,,,,,,,,,582635,84684235,708325337,83459027.25,641219377.4688,98995084.3984,384386352.9914,175081589.6719
"469",2045,,,,,,,,,,,,,,,,14400,,,,,,,,
"579",2248,,,,,,,,,,,,,,,,,,,,41447.6211,,,,
"<5KW 60 CYCLE GE",563,,154570,,,,,,,,,,,,,,,,,,,,,,
"ABRAMS SERIES (M1/M1A1/M1",250,311359732,274728030,317803475,388720391,324211,,,,-2379423.03,9692809.5209,36824.7812,-36505.8399,0,0,-2107885.01,,,,,,,,,
"ABRAMS UPGRADE",1839,5293200,1434337,,,56539123.5,390053065.25,827631579,2355691519.6947,1321401155.0751,341031657.3695,242933288.4097,90161457.5873,41003188.78,99394318.3619,68651158.7731,-1189863.7238,-6655205.1843,11842399.1704,-1651602.9572,-1862078.6745,-1714391.1875,-67304.6836,-1572797.3726,
"ACWS",2190,,,,,,,,,,,,,,,,,,,,5205386,-4608612,0,-270086,
"AFAS (PRE-MS I) 155MM SP",325,,220369,450126,137650,,,,,,,,,,,,,,,,,,,,
"AIR CARGO MATERIALS HAND",1757,,,172328,,,,,,,,,,,,,,,,,,,,,
"AIR TRAFFIC CNTL COMM CON",487,300111,,,,,,,,,,,,,,,,,,,,,,,
"AIRCRAFT TOW MB-2",1563,1999410,4643681,2108253,1603924,,,,,,,,,,,,,,,,,,,,
"AMPV",2146,,,,,,,,,,,,,,,,68105672,167020700,155365855.4123,406779121.9966,623565673.2881,515168274.935,79269777.6018,57752439.6981,290727431.4682
"ARMORED SECURITY VEHICLE",186,285958,160319,1006755,4068673,,,,,,,,,,,,,,,,,,,,
"ATM",1851,,,,,,,,,,,,190800,-1501.2,,,,,,,,,,,
"BOAT BRIDGE ERECT DE 27 F",576,,,1919179,205701,,,,,,,,,,,,,,,,,,,,
"BRADLEY FVS",27,,,,,,,8359001,993588096.0916,3043315849.5424,1066668283.5327,490001364.0748,784626017.7634,710249414.5283,309376274.97,141716902.8025,74292766.1025,-11060546.4414,-14015557.8404,-3484765.7032,-21765091.7695,-4246756.5821,-445368.5625,3791824.7343,-399658.3047
"BRADLEY UPGRADE",1849,,,,,52948551,226370246,108918975,32594006.1234,16246175.1484,9633450.0253,54218101.2182,2438710.7863,58481929,56210022,117287415.6309,59072576,50457392.7031,38175695.665,23236525,-28316.5898,-3485636,0,0,0
"BRADLEY, INFANTRY FT VEH",1928,,,2629707,1177993,-41220,,,,0,-597992.7042,-651.16,,,,,,,,,,,,,
"BRADLEY,INFANTRY FT VEH F",206,76787382,43940337,79292751,108628927,-250,,-134390.2656,,0,-60472.9199,1034859.2188,,,,,39584.4805,0,,,,,,,
"BSM",1972,,,,,,,11793,,,,,,,,,,,,,,,,,
"CALIBRATIONS SET, EQUIPME",587,434700,637770,858875,1866636,,,,,,,,,,,,,,,,,,,,
"CARGO 1 1/2 TON M105 TRAI",260,,144997,430094,249896,,,,,,,,,,,,,,,,,,,,
