"SimpleArea","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Products (All)",3602948000,5777698183,3442831184,3665247123,2931017504,2310002172,2626867564,3718677532,3193060830,4467990376,2782364582.4375,2367420111.2609,4062575748.7451,8793972666.5569,7076340883.8406,11400322123.6242,10972455372.4823,23071480008.9941,34807161148.0298,23567102142.5534,22476126762.142,17374071467.41,9848603507.6286,6212108763.0076,4944632169.5221,6612374145.483,6280467328.1898,7191776612.0129,9981281923.9662,10621480231.6057,9559025186.2797,7313889351.1837,8703171599.1497,11273038492.4866,10131310503.3732,5274179168.6
"R&D",352050000,484900000,443708830,429785209,349171791,382445570,531892374,467218066,346932977,373599515,209449385,412702576,390143838.8008,241577284,493484353,1036489709.5125,3459369344.2169,3481653834.3848,3339866551.2595,3310468756.0942,1802932763.3673,1223600957.4361,161307877.3427,222817682.8022,210582720.2094,131502971.9972,109397196.0009,17479270.992,283621435.0905,123414837.7078,379370984.1182,468449792.8695,481766303.0172,401635965.2288,406149124.6,181318186.61
"Services (Non-R&D)",325923000,250890706,283287436,296823198,339740116,406966917,523348130,526944119,406171800,458026096,403546157.9815,517666973,332038250.8003,605962582.9618,975665449.7647,2824960730.4741,1699922569.2209,1645463031.284,1610188360.7929,1957559296.4353,1053164808.3092,977884797.1465,818761742.7562,1000187355.779,670257344.6958,749895126.6561,962534505.2545,1049923712.4632,2400828603.3252,2174495875.4074,1815238461.1712,1900338322.1935,1635714808.9438,2859862104.9739,3175405886.2701,1587364611.53
"Unlabeled",,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
