"Vehicle.AwardTask","Vehicle.sum7","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Award","Definitive",,,,,,,,,,,10966677089.5315,12061548563.331,13452725846.8993,14199015742.5826,13366569783.8199,15010044823.6704,18206626257.09,18851904547.4501,24329653622.9823,30884997953.1355,28773497301.9621,23662630195.1326,21701919789.72,18358176142.4908,19031614500.5112,17361153512.7824,17626563017.4138,17873120162.7833,20750076586.9344,26144863780.7804,27983353952.088,23085389037.8351,25865414898.1152,10490936795.6604
"Award","Pur. Order",,,,,,,,,,,602980370,672942744.8999,845521603.2863,1151094189.8162,1463430562.5173,1822118252.4474,1672208289.9372,1868527801.1419,1986275284.6477,2396335439.075,2470819918.4381,2321855552.8583,1685361751.6543,1228592375.3834,1497597670.018,1507290340.2014,1462912512.9587,1534730331.3873,1837620411.0502,1837799678.2614,1918932126.3953,1844053450.5248,1851110286.1071,761155973.1043
"Task Order","BOA or BPA",,,,,,,,,,,3510982,6131674,6584364,5445288,20229111,13291376,24449540,10380157.49,15626510.2913,14166289.9767,297354740.3824,383034085.2473,464193176.6352,430857659.4737,503606748.7638,466217309.5442,660143988.2953,539689238.4964,1348089633.2975,484607105.6192,520442003.1788,426142656.4945,420820733.1242,238230576.5323
"Task Order","FSS or GWAC",,,,,,,,,,,633457112,795746043.3198,1142328565.4518,1531895322.1538,1609786453.2631,1411533252.6507,1481958053.3479,1701889265.3883,1600883085.5348,1639072550.6092,1402709591.8521,1250959365.5299,995699583.1607,668298834.2567,703953753.6157,570143558.4634,655435082.8421,585817254.2933,666178412.0091,624725637.2762,717409178.2336,763478854.0827,862494349.7389,299254699.858
"Task Order","Multi-Awd.",,,,,,,,,,,1620717770.2197,1934976877.5201,2703129828.0601,4409479243.3213,6107063729.3398,6534986870.2105,8705816574.4972,7889330717.6912,11339736858.5353,12744949982.4487,12274000884.0607,11396284293.0827,9556798547.6482,7738820448.3672,9215743831.5393,7609472845.9706,7397521676.1775,7417080195.6146,9511682492.6948,10609155572.4638,15727040787.7851,10886501744.6268,13261980631.5118,4674838848.1313
"Task Order","Single-Awd.",,,,,,,,,,,6447252669.3232,7447188714.1885,7782566418.503,12994967218.4131,13040981867.4791,14648396207.3329,15435041433.4634,15853628021.3391,18012635084.2801,18684080005.32,15917144969.7951,15451023857.8801,14512694451.8204,10742189582.1904,11182820951.8621,10552108836.2426,10744246020.0686,10466258717.7406,12835739955.7488,12354923335.3771,13305216180.9551,14147890264.6467,15024247924.5095,6597916141.3409
"Task Order","Unlbd. IDV",,,,,,,,,,,525333816,147747100,129908335,154976941,94299199,117644694.2969,23601592.4902,21417495.32,6253954.6238,551200.8341,104637804.8696,114839868.3885,94994345.7622,73809638.1071,78017704.9592,61402656.764,14651829.5162,23741816.5799,2203351.8867,1151915.5,1481539.125,1930569.125,1306848.125,
,,12183236305,18492829868,17657715911,17178015869,20332444544,20137905407,20282796585,20228512717,19564618261,20604829391,0,0,0,0,147142.5508,995003.1015,-240850,0,0,0,0,0,0,0,0,0,0,0,,,0,,,0
