"TopPStext","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"A/E SVCS. (INCL
LANDSCAPING INTERIO",726016526,710557068.8799,838961864.2188,1204981590.5,1267066265.9805,1437619419.2755,1610807246.8583,1765356402.3411,1588494215.6092,1825528982.3183,1725487063.6533,1418025204.6027,1202144691.6506,822207191.85,845803485.8977,805231240.962,956159992.9013,839575098.9306,928618406.2184,1070160683.4435,1268347794.1707,822674714.6374,1075736546.4786,434341564.6877
"ARCHITECT AND
ENGINEERING-
GENERAL: OTHER",857260816,775680843,680375227,558144449,1147470990,954015860.9688,647973247.7772,653208616.7675,816766075.9413,982488108.015,1054695251.7488,890714603.8261,877922297.5729,705432499.7929,751824972.2314,711971850.9994,702696764.7085,853048220.1842,1094000797.9355,1324892826.3044,1360389665.3869,1371991500.6677,1867114632.8341,623640169.4285
"CONSTRUCT/MISC
BLDGS",963833358,1051092996,1061411441.2109,2155275761.1484,3020044002.7226,3782358391.125,3537545040.3659,4417110283.0664,7397070671.5605,9379058423.5263,6499667378.6929,6090082794.8151,335543742.2786,177334508.0262,71692708.8496,887430.9898,-31223265.2679,28014657.6719,16614301.3014,20751487.1838,5866140.8855,32590.3403,1824554.25,
"CONSTRUCTION OF
MISCELLANEOUS
BUILDINGS",,,,,,,,,,,,,3789329648.7082,2291333507.5775,2380062810.4847,2114988531.754,1991975338.4518,1720935423.0946,2953767578.9715,3014435649.7992,5356927510.1818,3425624783.0485,4987370323.2887,1915987416.2772
"CONTRUCT/ALL OTHER
NON-BLDG FACS",786324862,893058979,1066893133,968200177,997406769.2813,1219695175.5488,1954703331.2385,2043522393.6772,3396975126.5201,3960563727.0964,4807495315.767,2504133293.9578,737626299.4967,349763002.6251,26456278.0325,78340089.286,78976445.9417,21673017.5132,5581426.4032,3261383.1428,1604547.4999,2527505.2607,560738.3819,-32199
"CUSTODIAL
JANITORIAL SERVICES",318349530,394018879,432270090.6201,495314085.3291,537058455.6796,539054984.1265,627758849.8973,567889713.2707,481359905.5392,569565045.6276,554180564.7937,620281946.053,681387742.6127,679256443.7987,648384558.0644,726873448.0158,762237964.1552,781520877.5998,755183055.6478,837919107.2166,872019512.7416,888426493.2969,903604959.2708,611379507.768
"ELECTRIC SERVICES",664763706,505315643.5,475342668,542368562.2188,629949649.7813,979118602.4639,1098620566.6673,1175052010.6145,886659485.2082,915442939.5568,928141892.6668,1509432681.6688,1026399125.6789,1122410197.9271,856473799.1963,701295920.9495,698947710.9232,766744852.7142,796415891.3748,1021011950.2387,1148526791.9422,798360969.1654,1152741479.0553,623489507.8067
"FACILITIES
OPERATIONS SUPPORT
SVCS",496304981,733494765,993680244.4375,1533421395.8296,1553245692.6063,1621391065.9832,1676915878.9654,2220636981.1248,2152790467.5145,2463541925.9985,2402320986.2672,2685072338.4349,2260307475.5412,1998369569.6292,2186698306.1882,2230313411.6902,2028903112.0474,1748522661.5025,1903718762.6852,2260525814.1492,2182071938.4054,2443620240.9723,3281535291.7689,1285106208.3133
"MAINT-REP-ALT/MISC
BLDGS",773635570,878124296.6309,1102050119.8398,1606477569.6503,1316838374,1732857848.9181,1915354724.8162,1682603283.0138,2203844544.6936,2477163451.1312,2316412156.5667,2559207145.5726,246847003.1415,99939767.49,40593473.2187,28067445.7508,30343829.1333,33231991.3079,37596960.5154,36468002.255,10397188.5703,194182,211981.3281,220460.5781
"OTHER ENVIR
SVC/STUD/SUP",479194207,655873327,704002715,885152879.5,789938604.0547,716829037.6745,606668004.2623,757738936.0407,1053145953.2948,1064634254.587,1074141462.5449,866734206.5753,916313052.771,968931965.9816,1046086588.3887,950295915.5105,909227178.9542,676587821.8485,749874669.3016,737151888.497,804230630.1692,872358366.4347,1007282464.4486,357281855.5702
"Other Labeled PSC",14734246253.0744,16469064919.2485,18707777457.8734,24497537475.1108,24443489044.8637,26576070093.626,31873113999.9775,30913959385.9039,37313957955.0139,42726166563.5421,39877623138.6588,35436943002.6131,35938820191.0008,29068668868.1002,32045669360.7388,28802335865.2764,29075932425.2561,29670086651.1601,35471720185.162,40516541795.7594,45045946235.2506,38883594475.28,40319290933.4654,22405699331.8574
"REPAIR OR
ALTERATION OF
MISCELLANEOUS
BUILDINGS",,,,,,,,,,,,,999020375.9479,957097157.4708,1313608819.9783,977187908.7842,1357296630.0674,1300496443.3679,2238498808.1047,1214106437.2885,2117547812.5568,1645980756.2317,2690101766.6613,1597654332.2292
