"SimpleArea","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Products (All)",1681863769,2125063788,1831233742,1636938796,1584011967,1706925272,1518877723,1644299326,1618658410,2121817744,1665379208,1982549260.22,2694954548.4116,3961331927.4866,4585604093.6099,5266883423.6697,6202627182.1701,6411446429.8079,7430362574.2195,7904084457.9937,8006672818.1334,7971316702.7309,6005706366.7175,4410878676.8274,4628152101.768,4668778991.1913,4566358477.3699,5425946630.0602,6191706127.0193,6041165121.4569,6150257891.9175,7716113562.2849,7546005535.2749,7235776346.2998,7500191247.34,2768880415.46
"R&D",258292000,164572171,164531351,137242101,157160798,225685359,145450442,216436955,102172835,112728220,108233267,130641086,132868860,79054936,114975332,239753604.03,127752082.679,130744352.3058,125498604.8314,166814714.8208,134687139.1557,134905925.9147,78081512.3668,55716104.37,75581169.8288,86143089.6424,111377844.3126,128062592.5942,159541059.1137,114983650.221,210889647.7701,156526414.3933,152603678.4511,143169818.2631,123354920.78,64220893.44
"Services (Non-R&D)",10329990618.56,16257223909,16039233837,15495469972,18672247192.16,18320842851,18832566420,20236631777,20535601869.02,23408173621.99,19026317334.0744,20953091361.9784,23234941547.8533,30406487086.6116,31002553796.0321,34053531254.6157,39218989368.4377,39654839405.7485,49733949913.2182,58293267442.0026,53094665383.9147,46474975400.9543,42924196780.9182,35052760265.655,37493881383.8992,33340216803.8596,33867802752.3647,32926190934.8838,40606619223.6059,45921854287.2376,53838857882.2752,43441875584.6082,49670507428.6132,57652947465.6497,58644789160.7782,19216132001.62
