"SubCustomer.JPO","SubCustomer.sum","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Air Force","Air Force",3316082000,4363274000,4452553494,3866317331,4615162948,4685524807,4566837966,4509646594,4710846623,5418018722,4105935540.28,3936262679.5313,4496416502.6259,6361775495.3044,6568857900.9579,7146031366.0226,7755593010.3825,7762482771.9264,7470428609.8583,8248430328.9917,7372846183.7068,6780768863.6914,6049658104.1339,4799210106.3539,5899630453.3596,5450747529.045,5506613943.8793,5338345265.0776,5387276146.8303,5925322052.269,6378944763.0077,6520806251.1334,7654003502.7021,7379601101.0017,8016250936.4418,2940425145.22
"Army","Army",4945058000,8722018000,8669804464,8638763409,8389731188,9498373095,9534790721,10275166566,10693576261,11764336797.14,10486717040.6205,11721061581.0003,13479107970.5395,18125945424.6083,20244387139.1126,22144303830.5388,25683154872.2044,26366193100.1999,35824151340.5435,43489222718.1489,39069817838.9679,33243526816.2061,29867124512.629,23384798280.8141,24156494035.3892,20946799774.3094,20700340335.5077,20630190562.0529,26589283680.1986,29900704148.6086,34080384113.2849,25618507824.6236,29253651853.5212,34750408866.6942,33389206990.3719,10072158217.22
"DLA","Other DoD",457904000,624999000,526296983,571309653,406694132,459448682,387755780,437735241,338719975,842341719,451251383.9147,652565387.1182,794001838.3973,1124423631.5606,1767291335.37,2345014834.2459,3426476795.9895,2857485897.3668,2565512608.1199,2184060752.9425,2552987098.8469,2652108555.2654,2201027751.7365,2322363537.0654,2499183532.6523,2787411732.0528,2803285707.5699,3199500865.3156,4336579778.6884,4198193182.7024,4032389503.0703,5627529373.1309,6190941170.0766,5494024838.1589,5662555498.09,2891845487.88
"Navy","Navy",3490219387.56,4747984868,4241534785,4043345362,6683153629.16,5385169601,5854810223,6437180234,6240578537.02,7248814660.85,5272048928.8593,6211171864.2288,6162968262.9022,7761429186.4927,6210379233.3369,7188130934.3992,7878685445.3705,8706066044.144,10981882824.5635,11881816019.2997,11728432205.8337,11553951673.0486,10517710706.0635,8664210188.4388,9338056029.21,8546013575.3695,9198011878.7597,8972838519.8775,10244817106.264,11621919263.333,15292548733.5267,13063516753.7457,13799942654.5837,16762448718.1882,18474473083.0045,5914123556.68
"Other DoD","Other DoD",60883000,88584000,144809204,149915114,318678060,224937297,152699895,437639423,272711718,369207687,483976915.3999,545220196.3198,1130270381.8,1073300212.1322,912217612.8646,736687317.1089,805458509.3399,504802374.2251,447835709.1839,560636795.4343,511942013.8485,350842121.3884,372463585.4396,348772934.1802,304250604.8849,364166273.9166,337287208.3306,339324945.2146,399909697.7576,431864412.0025,415738309.0732,484155358.6528,470577461.4556,645410106.1696,725848820.99,230680903.52
