"Project.Name","ProjectID","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"105MM ART AMMUNITION ALL",370,37759,,,1955864,,,,,,3150.1699,,,,,,,,,,,,,,
"105MM GUN M-60 COMBAT",897,,,,121691,,,,,,,,,,,,,,,,,,,,
"105MM TANK AMMO ALL TYPES",366,,167875,,1580,,,,,,,,,,,,,,,,,,,,
"120MM",333,674964,,817991,70937,,,,,,,,,,,,,,,,,,,,
"120MM AMMUNITION ALL TYPE",367,299110,209112,143124319,,,,,,,,,,,,,,,,,,,,,
"120MM TANK AMMUNITION",359,64106506,4468653,196667348,207290274,-37411,,,,,,,,,,,,,,,,,,,
"155 MM HIP",688,,,,,,,,,,,7452,,1721,,,,,,,,,,,
"155MM ARTY ALL (EXCLG SAD",398,122400,,152064,2420326,,,,,,,,-3856.26,,,,,,,,,,,,
"1CRN",176,,105600,,,,,,,,,,,,,,,,,,,,,,
"1FVD",401,,661935,,,,,,,,,,,,,,,,,,,,,,
"2.75"" ROCKET ALL TYPES",173,,1117224,3795252,4432347,,,,,,,,,,,,,,,,,,,,
"20MM AMMUNITION ALL TYPES",349,,2446496,18041426,8588669,,,,,,,,,,,,,,,,,,,,
"20MM GUN (VULCAN) M61",311,,,,45808,,,,,,,,,,,,,,,,,,,,
"20MM XM167 TOWED",309,,73242,130680,554209,,,,,,,,,,,,,,,,,,,,
"25MM AMMUNITION ALL TYPES",362,,,57596,,,,,,,,,,,,,,,,,,,,,
"25MM M242 AUTOMATIC GUN",319,244070,1608191,1670222,3226101,,,-224905,,,,,,0,,,,,,,,,,,
"30MM AMMUNITION ALL TYPES",369,300638,17455293,32183219,18807377,,,,,,,,,,,,,,,,,,,,
"40MM AMMUNITION ALL TYPES",352,,17494037,1564423,46474553.2002,2868,91071,,2190520.375,-0.28,311.83,,10439,,,113880.74,,,,,,,,,
"439",2041,,,,,,,,,,,,,,,,46911631.4299,67351159,94073479,236173882,306297040.8501,98477425.5987,605398213.8986,359957274.244,413635490.9375
"442",2042,,,,,,,,,,,,,,,,238452307.65,347271886.6563,271073507.1275,34361995.1301,896179696.8716,443856277.84,330921746,224061391.0101,430205558.0699
"443",2043,,,,,,,,,,,,,,,,,12664727,0,-53642,,,,,
"466",2044,,,,,,,,,,,,,,,,,58657,0,724444.3506,447606.4981,-2759.53,-4631.6001,-121,
"5""/38 CAL CARTRIDGE",910,,64260,,,,,,,,,,,,,,,,,,,,,,
"5-INCH GUIDED PROJ",10,,,,,,,,37454288,200609.01,,,,5767427,0,2110542.84,,,,,,,,,
"5.56MM AMMUNITION ALL TYP",360,,,1941408,,,,,,,,,,,,,,,,,,,,,
"5.56MM CARBINE",313,6116482,13850686,23218471,42162879,3110006,,,,,,,,,,,,,,,,,,,
"5.56MM M249 SQD AUTOMATIC",318,9713148,4613426,4801790,13355014,192237,,,,,,,,,,,,,,,,,,,
"50CAL M2 MACHINE GUN",307,,1596370,803309,355554,,,,,,,,,,,,,,,,,,,,
"50MM M85 MACHINE GUN",304,,39197,933271,,,,,,,,,,,,,,,,,,,,,
"60MM",330,30396,,,7125,,,,,,,,,,,,,,,,,,,,
"60MM AMMUNITION ALL TYPES",364,2323474,2185804,5235430,5833590,,,,,,,-28.22,,,,,,,,,,,,,
"7.62MM ALL TY EXCEPT BLAN",348,,334365,,,,,,,,,,,,,,,,,,,,,,
"7.62MM M60 MACHINE GUN",303,2612500,13956091,5841160,8374045,14127413,1870792,,,,,,,,,,,,,,,,,,
"81MM AMMUNITION ALL TYPES",365,58900,,3743,,,,,,,,,,,,,,,,,,,,,
"81MM M29 ON MOUNT M23",331,,352894,246365,311112,,,,,,,,,,,,,,,,,,,,
"81MM SP MORTAR M125",332,,226649,,192228,,,,,,,,,,,,,,,,,,,,
"9MM AMMUNITION ALL TYPES",361,429904,329760,353760,205125,,,,,,,,,,,,,,,,,,,,
"9MM PERSONAL DEFENSE WEAP",320,308728,1147126,2769244,1811549,,,,,,,,,,,,,,,,,,,,
"A6",1878,,,,,,,,1000,,,,,,,,,,,,,,,,
"AAG",2192,,,,,,,,,,,,,,,,,,14896.2002,,,,,,
"ACWS",2190,,,,,,,,,,,,,,,,,,,,,74752,,,
"ADM-141C ITALD",872,,,8381625,61442,,,,,,,,,,,,,,,,,,,,
"ADM-20 QUAIL",1527,,35470,2009770,-41400,,,,,,,,,,,,,,,,,,,,
"AGM-129/A ADV CRUISE MISS",1553,-693524,5785722,7519060,12919471,,,,,,,,,,,,,,,,,,,,
"AGM-154A",874,474232,546248,135529402,27833102,,,,,,-43701.8008,,,,,,,,,,,,,,
"AGM-154C",876,,,,11858021,,,,,,,,,,,,,,,,,,,,
"AGM-62 WALLEYE",840,77120,,32150,,,,,,,,,,,,,,,,,,,,,
"AGM-65 MAVERICK",1530,50676,287029,415736,39884747,,,,,,,,-114980,,,,,,,,,,,,
"AGM-69 SRAM(SHT RG ATTK M",1531,43540947,,,,,,,,,,,,,,,,,,,,,,,
"AGM-88 HARM",859,19648647,84974723,64677302,5159418,,,,,,,-71.7,,,,,,,,,,,,,
"AGM-88E AARGM",1362,,,,,255128,26492,72380,,,53478144.5,51892939.9219,1049921,155438745,110059824.98,102626337.84,130545421.1691,138524212.3555,173238035.7109,267210625.9689,199601850.3068,178345726.4618,108829766.8613,62396348.6718,33597820.1226
"AH-64E New Build",2040,,,,,,,,,,,,,,,,23501,,,,,,,,
"AIM-9 SIDEWINDER",1913,12740314,25788112,27884659,22838045,,,,,,,-6000,-77574,,,,,,,,,,,,
"AIM-95 AGILE",864,1e+07,1044705,,,,,,,,,,,,,,,,,,,,,,
"AIM-9X",1842,,,,,464732101,10218362,58365107,201420782,176043145.5,226764639.3438,194109468.8908,127114949.9741,295542675.8204,279082373.86,341941786.03,39497646.8323,-4843146.8437,-113486.1094,-727329.1719,-2754776.3809,-1715185.5128,6472405.8125,0,462675
"AIR TRAFFIC CNTL COMM CON",487,11494711,-60280,-125000,603000,,,,,,,,,,,,,,,,,,,,
"ALAM",1330,,,,,21669,114956,236855,,,,,,,,,,,,,,,,,
"ALCM",12,,,,,,,313443.9617,3056723.5,1475874.6563,77692,479473.5899,794401,1029547.19,3998926.03,8577391.02,-22533.1297,-40955,90824.75,,0,,,,
"AMMO COMPONENTS ALL TYPES",399,-17113398,133596711,16082368,29147068,,,,,0,-260051.5938,61788.9996,,,,,,,,,,,,,
"AMMUNITION SIMULATORS, AL",1935,33162242,15150728,10094967,18780024,9888450,15485637,14227117,11469109,2456923.625,126923.3906,-765950.8807,-379298.9063,38604.4297,-42183.83,-70.91,,0,,-46565.1719,,,,,
"AMRAAM",81,227204986,265222633,371688688,188449669,186542528,255518619,348027385.2969,235005312.3621,584446944.0464,964723666.6323,750619203.3908,665539056.1739,657097142.959,626008193.05,244174115.14,1145311289.2346,876137237.5587,178742604.4728,1339375965.5562,254437890.6445,1014132781.6739,1377963869.0045,1189368825.4702,86859964.8472
"AMRAAM (NAVY)",80,,,,,731000,31834636,36814566,331308756.8398,73669810.5625,85713709,70991334.2166,26673608.5503,31771798.4236,12074716.13,16412188.57,7976200.0155,8954716.25,11689566.375,-1696721.4063,-2671791.25,-3662530.5,-5155819.0625,,
"AN/PVS-4 SIGHT",1141,,,39700,137428,,,,,,,,,,,,,,,,,,,,
"AN/SLQ-13",939,18025371,11979313,6528735,7957050,,,,,,,,,,,,,,,,,,,,
"ARMY TACTICAL MISSILE SYS",158,1981384,162232559,106388286,58305790,,,,,,,-1580597.625,,,,,,0,,,,,,,
"ATACMS BAT",1826,,9900,253639,121966,283646,4899615,,2104.5,66891.9391,13436,-6966.8901,,-9072.9902,0,0,,,,,0,,,,
"ATACMS-APAM",623,,,,,,,,1063337.25,549556.6719,-521.25,4836,96148,117360,578931.5,0,-600501,,,,,,,,6534
"BGM-109 TOMAHAWK",865,69929743,101192081,354927912,124613995,,,,,,,-7050.5898,,,,,,,-80370.5,,0,,,,
"BRLNT ANTI-ARMOR SUBMUNIT",161,11614599,4386481,1434530,73886,,,,,,,,,,,,,,,,,,,,
"BSM",1972,,,,,97446,,,,,,,,,,,,,,,,,,,
"BUNKER DEFEATING MUNITION",402,,,,-4837390,,,,,,,,,,,,,,,,,,,,
"C-3",715,,,12856824,200670,,,,,,-83994.4429,-222501.6285,-112299.6817,,,,,,20577,,0,0,,,
"CALIBER .50 AMMO ALL TYPE",363,4350000,,,,,,,,,,,,,,,,,,,,,,,
"CBDP",1344,,,,,,157376,471640,,,,,,,,,,,,,,,,,
"CHCS II",1958,,,,,,,6820311,,,,,,,,,,,,,,,,,
"CIRCM",2180,,,,,,,,,,,,,,,,,,,,,,,5148718,0
"CMM",1980,,,,,,,,,,,,,80600,,3000,,,,,,,,,
"CNA",1915,,,19013378,101896522,257539970,157649702,25835485,12687647,182750,-10193.9303,-37883.2993,-405480.5322,-104493.9297,-130872.26,-95000.97,-149732.1563,-5848.4302,,0,0,,,,
"CNG",1917,,-6e+05,,,,,,,,,,,,-379782.1,-1028035.7,,,,,,,,,
"CNU",2070,,,1332086,89964,49940,1663562,,,-158491.9375,-25000,,,,-57723.14,,,-822.24,,,,,,,
"CNZ",2072,-2700000,,-950000,,,-125207,,,,,,,-206881.7695,,,,,,,,,,,
"CX-2",1408,,,,88000,,,,,,,,,,,,,,,,,,,,
"DADS",1994,,,,,,,,,,161340,,,,,,,,,,,,,,
"DCAPES",1995,,,,,,,,,,,,70195.2109,,,,,,,,,,,,
"DEAMS Inc 1",2101,,,,,,,,,,,,,,,,,,,,2745609,,0,,
"DEF MET SAT PROGRAM (DMSP",1746,49054138,44848106,12317606,8034005,,,,,,,,,,,,,,,,0,,,,
"DJN",1931,,,4074721,34066755,829806,179134,,,,,-98076.2266,,,,,0,-414333.3125,,-69,,,,,
"DMS",1960,,,,,,,951535,,,0,,,,,,,,,,,,,,
