"TopProject","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"AMRAAM",227204986,265222633,371688688,188449669,186542528,255518619,348027385.2969,235005312.3621,584446944.0464,964723666.6323,750619203.3908,665539056.1739,657097142.959,626008193.05,244174115.14,1145311289.2346,876137237.5587,178742604.4728,1339375965.5562,254437890.6445,1014132781.6739,1377963869.0045,1189368825.4702,86859964.8472
"BGM-109 TOMAHAWK",69929743,101192081,354927912,124613995,,,,,,,-7050.5898,,,,,,,-80370.5,,0,,,,
"GMLRS",,,69354488,,7698750,169579393,167419060,306149822.6854,362758251.627,651835831.7774,2773765.1288,-8190264.2382,353053872.539,191653274.43,-6803874.97,92023294.6241,350207773.0199,495339070.4143,1333936322.3755,1835352827.6092,1853962304.2309,1692885664.7789,1267113243.3921,2288141505.3184
"JASSM",,,,,112007225,145884790,197420097,161612871.5727,171290769.9577,55772029.9823,172477825.8203,257669710.7012,263783134.5523,86098968.07,521613267.44,84058772.4325,834237926.1737,654747930.265,161796003.9948,774606176.2531,1304657812.0403,1082046283.9197,980912151.5704,96161665.3725
"JDAM",,,,,84665834,816795816,401493724,370590250.7399,248295571.4073,234651142.6542,372143703.4234,254644104.8478,311364143.5745,320720211.36,33129911.3,266874105.9019,878989166.5156,857339875.4366,1271501869.2469,971018270.8506,37126918.5418,436239651.0009,283583798.2964,391022049.3446
"Other Labeled Project",1116910968,1446188830,2153309849,2014400454.2002,1365986634,1628620877.2969,1809455421.3539,2487426976.0432,3452005864.7497,2781452932.8145,3735175695.5027,2716313430.1361,3065535001.5802,2313742035.8318,2065881793.7685,1764346708.9108,1346561982.3478,1143117711.8813,1475014641.7747,1981101682.0373,1289809219.4984,1459853063.2554,1021941736.6932,1382090185.0078
"TACTICAL TOMAHAWK",,,,,480325042,311883468,442054866,366216982,463786392.9688,267953170.1032,335251815.6815,287042643.1909,41559121.5458,41512579.48,290988693.79,309549907.404,52112236.607,366859047.6828,544807464.5676,245010202.8149,536516484.3626,491653535.7788,596305484.4285,284173830.0402
"TRIDENT II MISSILE",15220416,527767997,101339351,3758648,677563676,1346729316,1580781998,1785059373.2257,1786137093.5755,1820844410.4926,1737796437.1912,1674685637.8225,1886000696.0013,1925814966.3037,2329221894.3024,2261565782.6405,2321100790.17,2328499402.9938,2112124483.615,3707266810.1221,1543152856.8135,2924739638.5857,2517048390.0236,2210084115.8194
"UGM-96 TRIDENT",1013764994,487938615,493741458,1508036605,19937500,4936401,4140268,5571685,149199,-2600008.6993,-302665.1043,-80408.3198,460774.7096,-1620976.02,-3240481.09,-693845.553,-72407.2891,-3742459.1408,-376693,-6124535.1719,0,0,0,
,6238371129.275,6292463328.3983,8814658434.3593,9728576806.8497,11158765400.1602,10158687537.8808,10075002639.6074,12229030906.7112,12137177714.5815,11140907765.1106,9580966862.6784,9578498139.6947,9101080290.4931,7536683345.0392,7103137950.7714,7327820714.7292,9816774407.7447,12023889788.037,13433926323.4157,13381945475.2019,16284277402.9986,12505555391.4335,12623676860.4419,11534691021.5379
