"Shiny.VendorSize","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Big Five",3573862000,3631432932,3632446729,2862777387,2563036472,2630484852,2560159714,4407264997,4752203902,6341862870.01,4418940922.375,4579603395.22,6577673555.6,8492602747.25,8550684930.9791,7777302884.4881,7991432141.522,9059187457.7947,9087090765.8285,8591969938.709,7943095734.157,7325073807.1807,7843474190.5553,6911086838.4677,6988145321.054,7271716006.5802,9987155657.5602,10928526558.0881,12699323990.9972,16111246733.1518,15924620509.3259,14177011077.4311,12168155785.5194,20648033152.197,22689369608.93,8910164858.13
"Large",3935982000,4418441838,3908773669,3120529284,2501686833,2265896211,2375183362,1374962916,1657429639,1636092018,2252374402,2072535492,2443872474.2734,1739665852.9102,1875862976,2561219676,2178052172.8733,2804752750.4776,3500313335.2958,2838149388.1383,2742936892.519,3006942559.1196,2654411049.7086,2382795290.0425,2181266599.891,2103019824.0847,2364804767.987,3352069895.6125,3311285366.0493,2074885041.818,2340963680.8183,1835780479.7738,1715420799.9234,2777248833.1101,3158769216.72,1022121012.5
"Medium",1813662000,4633397024,3878852050,3014567057,2184034176,2174390748,2240623573,2273808521,2434341716,2341963787,746925834.9,1057761798.9395,1590844523.66,1463170615.7803,1380709865.2305,1754395653.0281,1488093949.1601,2075648150.2624,2522258473.2033,2133736585.5436,1834606522.8169,2094191039.6576,1879248586.0339,1121364825.3716,1149079180.8865,1256070942.18,1328388992.4278,1625570869.6983,2239900708.4242,2471851925.6897,2369595310.2762,2156199252.9454,2640021801.2068,4032735850.3568,4110510208.71,1714948773.59
"Small",298230000,705286210,690256262,643347034,400858451,451997696,551342064,515173185,663254952,716136722,485339443,587147126.24,691376066.57,807296601.1094,1100681595.8906,1647434172.4391,1587095097.0278,2022793195.7617,1975328655.6587,1922305757.6455,1556166243.7583,1256126858.1439,1293812737.6129,840407607.1717,895161690.0025,827247079.9816,1308108582.7335,1101763770.0691,1355881497.4775,1311733585.6959,1211474311.1528,1421119413.0447,1575098670.8903,2925770110.4737,3086746142.56,1071539684.3
"To Be Labeled",182661000,,150856000,114237000,330905000,272447000,186267000,593641217,777854502,714287706,64143546,177894330,137462773,279701732,326998382,350544341.25,406103494.66,693188474.5706,523717769.822,588185717.065,682814597.4989,443309266.317,684831273.8089,544956811.26,578627964.487,598127006.3648,491365754.5516,824707046.9647,737150927.2806,929132154.1317,1006921000.9801,944636309.3454,982724880.577,2236257330.1678,2440941090.18,1002382386.44
"Unlabeled",595449000,203296000,156475053,171657456,77469105,69860701,146710625,3682881,3494275,55971,,52407,1153946.55,29105,297028,366189,313582,596459.94,1636880,92843616.6185,55615224.7773,127480528.279,26886703.2535,11657229.61,-2075005.9,2638092.295,47593.15,1139136.4196,42603.47,325591.49,635078.67,259542.65,2179934.94,14041.17,27231.87,20601.59
