"SubCustomer.JPO","SubCustomer.sum","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Air Force","Air Force",2356963000,1742190000,1325270171,1491540518,1486161430,1040583142,1195993018,1426201586,1684257834,1677664082,2091692827,2154241489,3349622011,3232481046.1094,3332080973,3311358158.1991,2848597036.84,4105287928.1176,2553129517.3246,2358299067.5504,2721075248.832,2503370066.6091,2595587631.3433,2494564491.2242,2246170353.9146,1752215301.9876,3761259967.6649,3100231070.9865,4325005925.2884,4473848089.8961,4545163880.8258,4266354381.935,3585758648.9183,5363870476.7603,8361561368.09,4729264263.86
"Army","Army",1754521000,5760661000,5342432105,3850429829,1565644804,3171493465,3500773528,4121607687,4029330202,5328954672.01,3127915111.9,3763484654.1795,4948564567.38,5105336384.3897,5555490294.2377,6724939162.7662,6048292015.0509,7427890474.3093,10224436498.4789,9150799705.0046,7940228572.2188,7181779590.0035,6702210538.209,4499834280.2069,4198461318.6017,4213690181.9822,5556036162.4639,7801927964.0675,8172295690.2056,8844253844.7058,8498055962.7483,8245665531.372,7665179472.1684,17434030672.3715,16113017815.38,3840485150.54
"DLA","Other DoD",5220000,47621000,8163062,8248125,10230324,17010707,14148246,16990167,26114547,25320680,24369470,28843132,44035745,56370201,68584504,63157766,94406671,111300429.5509,160710067.92,133992386.0792,177966845.2887,185534739.3948,200860223.0342,160910616.6573,125593146.4269,142904064.7505,147518804.4917,222287746.751,312521409.8699,329083169.3596,330722195.6125,258001277.3737,368494111.8572,1085632871.6061,1252367495.71,844343544.93
"Navy","Navy",6282067000,6038593004,5738141342,4492279407,4762297664,3634884893,3297953271,3586526871,4541759212,4713311299,2708850682.375,2486594541.22,2963447607.2734,4280196753.5508,4085078793.8625,3910139186.6,4516699563.8523,4926700519.6711,4617211541.1218,4467031304.7309,3959566503.9235,4338219101.0791,4850378466.7291,4649454548.6623,5180263533.0202,5846526477.0637,5877876586.6245,6617737576.6558,7511351576.3053,9135121012.0196,9432002427.6723,7693284346.4787,7450077734.2689,8677742034.1519,9728405488.88,4247349141.74
"Other DoD","Other DoD",1075000,2789000,3653083,84617339,233655815,1105001,51418275,17207406,7117191,5148341,14896057,41830733,136713409,108082269,194000213,81668642.64,143095150.5,84987137.1581,54858254.963,57068540.3548,16398045.2644,44220561.6113,33627681.6575,7504665.1728,39717398.4576,103482925.7023,137179827.1651,91592918.3915,22410492.0296,116868915.996,48265424.3644,71700538.031,14091905.8441,58783262.5856,31011330.91,59735215.48
