"SimpleArea","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Products (All)",7661626000,9540381090,8238346099,6617617641,4580306603,4466541203,4702737706,5926222956,6482400201,7376368469.01,4694449197.9,5255672620.24,6505783863.3934,7941247853.9405,9772195964.4721,10433833044.4141,10176487470.8455,11298340706.4668,14215351724.7049,12151593191.08,11884770482.0197,11814301709.7044,11722217890.4735,9769744063.0304,9490410713.635,9899975522.005,12643698221.5037,14771734601.8047,16829948622.6938,19509437194.6045,19245305860.9835,16584149395.2119,15882371448.661,28057173434.7479,30331209104.24,11451482574.81
"R&D",1749979000,2009953660,1927270240,1543484463,2152263701,1917480743,1800763136,1927665606,2022701484,1790980522,1614098810,1459860569.9395,2574671117.4,2089977266.1094,1635485817,1623303734,1451946171.9477,1573459324.5002,1229206075.8589,1278672275.6353,945053117.9094,709337809.5075,969863028.4452,725888195.4137,828911591.3863,673027067.2125,691124287.6625,590465202.3486,680000448.1809,1057576971.2574,792853114.2225,892367686.5464,731007229.4155,872156871.1407,970171309.72,434633001.21
"Services (Non-R&D)",988241000,2041519254,2252043424,1766013114,1325419733,1481055262,1556785496,1314645155,1783477301,2583050083,1659176140.375,1759461359.22,2361928358.86,2751241534,1827552996.6281,2034126137.7912,2022656794.45,3784366457.84,2165788079.2445,2736925537.0046,1985411615.5983,1729484539.4859,1690583622.0544,1316636343.4794,1470883445.3997,1485816362.2688,2145048839.2439,2471577472.699,2833636022.8241,2332160866.1152,2816050916.0173,3058488993.4321,2470223194.9804,3690729011.5868,4184983085.01,1835061740.53
"Unlabeled",,,,,,0,,,,,,,,,,,,,0,0,,,,,,,,,,,0,,,,,
