ProductOrServiceCode,ProductOrServiceCodeText,ProductServiceOrRnDarea, Action_Obligation_OMB25_GDP23 ,SpaceArea
1005,"GUNS, THROUGH 30 MM",Launchers & Munitions,,Other Products
1010,"GUNS, OVER 30 MM UP TO 75 MM",Launchers & Munitions,,Other Products
1305,"AMMUNITION, THROUGH 30 MM",Launchers & Munitions,,Other Products
1325,BOMBS,Launchers & Munitions,"4,370,550",Other Products
1377,CARTRIDGE & PROPELLANT DEVICES,Launchers & Munitions,"8,631,361",Other Products
1510,"AIRCRAFT, FIXED WING",Aircraft,,Other Products
1550,DRONES,Aircraft,,Other Products
1555,Space Vehicles,Missiles & Space,"287,276,136",Space Vehicles and Components
1560,AIRFRAME STRUCTURAL COMPONENTS,Aircraft,"106,421",Other Products
1650,AIRCRAFT HYDRAULIC VACUUM DE-ICING,Aircraft,,Other Products
1675,Space Vehicle Component,Missiles & Space,"7,672,990",Space Vehicles and Components
1677,Space Vehicle Remote Control Systems,Missiles & Space,,Space Vehicles and Components
1680,MISCELLANEOUS AIRCRAFT ACCESSORIES AND COMPONENTS,Aircraft,"35,529,910",Other Products
1725,Space Vehicle Launchers,Missiles & Space,,Space Vehicle Launchers
1730,AIRCRAFT GROUND SERVICING EQUIPMENT,Aircraft,,Other Products
1735,Space Vehicle Handling and Servicing Equipment,Missiles & Space,,Space Vehicles and Components
1810,SPACE VEHICLES,Missiles & Space,"15,261,421,217",Space Vehicles and Components
1820,SPACE VEHICLE COMPONENTS,Missiles & Space,"3,773,699,874",Space Vehicles and Components
1830,SPACE VEHICLE REMOTE CONT SYSTEMS,Missiles & Space,,Space Vehicles and Components
1840,SPACE VEHICLE LAUNCHERS,Missiles & Space,"1,761,757,277",Space Vehicle Launchers
1850,SPACE VEHICLE HANDLING & SERVICE EQ,Missiles & Space,,Space Vehicles and Components
1860,SPACE SURVIVAL EQUIPMENT,Missiles & Space,,Space Vehicles and Components
1910,"TRANSPORT VESSELS, PASSENGER AND TROOP",Ships,,Other Products
2040,MARINE HARDWARE AND HULL ITEMS,Ships,,Other Products
2090,MISC SHIP & MARINE EQ,Ships,,Other Products
2540,VEHICULAR FURNITURE AND ACCESSORIES,Ground Vehicles,,Other Products
2541,VEH ACCESSORY/WEAPONS SYS SPECIFIC,Ground Vehicles,,Other Products
2610,TIRES & TUBES PNEUMATIC EXCEPT AIR,Ground Vehicles,,Other Products
2895,MISC ENGINES & COMPONENTS,Engines & Power Plants,,Other Products
2915,ENGINE FUEL SYSTEM COMPONENTS AIR,Engines & Power Plants,,Other Products
2995,MISC ENGINE ACCESSORIES - AIRCRAFT,Engines & Power Plants,,Other Products
3010,TORQUE CONVERTERS & SPEED CHANGERS,Ground Vehicles,,Other Products
3040,MISC POWER TRANSMISSION EQ,Ground Vehicles,,Other Products
3590,MISC SERVICE & TRADE EQ,Other,,Other Products
3610,"PRINTING, DUPLICATING, AND BOOKBINDING EQUIPMENT",Other,,Other Products
3895,MISC CONTRUCT EQ,Other,,Other Products
4140,FANS AIR CIRCULATORS & BLOWER EQ,Other,,Other Products
4240,SAFETY AND RESCUE EQUIPMENT,Other,,Other Products
4310,COMPRESSORS AND VACUUM PUMPS,Other,,Other Products
4430,"INDUSTRIAL FURNACES, KILNS, LEHRS, AND OVENS",Other,,Other Products
4440,DRIERS DEHYDRATORS & ANHYDRATORS,Other,,Other Products
4510,PLUMBING FIXTURES AND ACCESSORIES,Other,,Other Products
4520,SPACE AND WATER HEATING EQUIPMENT,Other,,Other Products
4920,AIRCRAFT MAINT & REP SHOP EQ,Aircraft,,Other Products
4935,GUIDED MISSILE MAINT EQ,Missiles & Space,,Other Products
4940,MISC MAINT EQ,Other,,Other Products
4960,SPACE VEHICLE MAINT EQ,Missiles & Space,,Space Vehicles and Components
5120,"HAND TOOLS, NONEDGED, NONPOWERED",Other,,Other Products
5280,"SETS, KITS & OUTFITS OF MEASURING T",Other,,Other Products
5310,NUTS AND WASHERS,Other,,Other Products
5340,HARDWARE,Other,,Other Products
5805,TELEPHONE AND TELEGRAPH EQUIPMENT,Electronics & Communications,,Other Products
5810,COMM SECURITY EQ & COMPS,Electronics & Communications,"118,274",Other Products
5811,OTHER CRYPTOLOGIC EQ & COMPONENTS,Electronics & Communications,,Other Products
5820,"RADIO AND TELEVISION COMMUNICATION EQUIPMENT, EXCEPT AIRBORNE",Electronics & Communications,,Other Products
5821,RADIO & TV EQ AIRBORNE,Electronics & Communications,,Other Products
5825,RADIO NAVIGATION EQ - EXCEPT AIR,Electronics & Communications,"503,757,414",Other Products
5826,RADIO NAVIGATION EQ AIR,Electronics & Communications,"583,489",Other Products
5830,INTERCOMM PUBLIC ADDRESS SYS EX AIR,Electronics & Communications,,Other Products
5835,SOUND RECORDING & REPRODUCING EQ,Electronics & Communications,,Other Products
5836,VIDEO RECORDING AND REPRODUCING EQU,Electronics & Communications,,Other Products
5840,"RADAR EQUIPMENT, EXCEPT AIRBORNE",Electronics & Communications,,Other Products
5841,"RADAR EQUIPMENT, AIRBORNE",Electronics & Communications,"194,926,886",Other Products
5855,NIGHT VISION EQ,Electronics & Communications,,Other Products
5865,ELEC COUNTERMEASURE & QUICK REAC EQ,Electronics & Communications,,Other Products
5895,MISC COMMUNICATION EQ,Electronics & Communications,"265,237",Other Products
5915,FILTERS AND NETWORKS,Electronics & Communications,,Other Products
5930,SWITCHES,Electronics & Communications,,Other Products
5935,"CONNECTORS, ELECTRICAL",Electronics & Communications,,Other Products
5945,RELAYS AND SOLENOIDS,Electronics & Communications,,Other Products
5950,COILS AND TRANSFORMERS,Electronics & Communications,,Other Products
