"Vehicle.AwardTask","Vehicle.sum7","2001","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Award","Definitive",,,,,,,,,,,319200,,,,,,,,,,,
"Award","Pur. Order",,,,,,,,,,-214,,,,,,,,,15332,,,
"Task Order","BOA or BPA",,,,,,,,,,,,,,,,,,36306060,,0,0,
"Task Order","Multi-Awd.",,,,45965620,-22479.8281,714744.4004,797498.5996,2799887.944,9398001.0424,-86508.2208,18176.71,-6159553,-23748.71,5112,,,,,,,,
"Task Order","Single-Awd.",0,7617500,36085703,17559502.2466,45151993.5558,40942681.6278,18839692.0971,50876932.3093,53422417.7149,59716320.7698,60869810.27,35087831.09,42640872.1,46244299.0302,27518869.6183,48848634.0785,32964349.0859,74742778.1603,89038517.1274,100771752.6846,-39867731.2501,1902489.33
,,,,,0,0,0,0,0,0,0,0,0,,0,,,,,,,,
