"TopPStext","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"AIRCRAFT, FIXED
WING",11523165905,11635066230,13035567972,13973522637,14174736024.5723,11924630566,17163459478.6448,20300409799.806,19850845472.7235,17516742394.2319,15377360972.433,20828666552.2071,25012321488.1929,28424731458.0841,18903233969.8585,20896709228.0732,28713124933.7282,36472650890.3201,31697764945.9667,29469330002.0175,49310683025.1053,24076627044.1989,22473083092.4323,30783189501.5461
"AIRCRAFT, ROTARY
WING",1526310355,1527502959,1566657341,1614627173,2543315614,2406935142.6504,2217531658.0625,3311788138.5867,7294328950.3001,7488304800.9775,7344378933.9791,8728311625.3308,10131143816.4921,7007160788.3216,6104120338.316,5191054981.9223,7294777184.7297,4981803507.7,4009280634.0914,6272321628.1071,5093640606.5798,5751712310.2692,4504888484.4697,3753102927.7395
"AIRFRAME STRUCTURAL
COMPONENTS",1024707059,1505365287.25,1842407111,2021251722,2156075566.0303,1881665918.5924,2078067023.3162,2328285596.009,3273817869.9623,3408596579.9311,3281318468.4949,2778369808.9903,2165992656.0871,2997099335.7022,1750965950.2267,2299197942.8896,2561559096.887,2473645976.2595,3263723149.8721,3121038771.9798,2893022681.5449,2417184572.3753,2621443014.8911,1328212616.3231
"DEFENSE AIRCRAFT
(OPERATIONAL)",1631584413,1424361314,2882724041,5157605831,5351273078.2813,6406269058,7535206808,7052497117.5649,5980976276.9147,5635584424.0052,5016553175.262,3950598791.9931,3901297069.2169,3506508605.88,1924748817.8513,2029722696.6524,1674887591.3212,1791969018.6331,1071516291.4968,1358865606.2214,1451977119.4719,1081057404.8316,1197423909.9488,900646301.9873
"GAS TURBINES & JET
ENGINES AIRCRAFT",3081494684,3597072376,3581449904,5090117133.75,4252312963,5029819058.1563,4042086114.9101,4897902934.7801,3894657966.8977,4314844046.2276,4233643934.6057,4443449535.729,4199880662.3778,3683885727.6941,3859477123.0163,3894232466.3633,4884931006.8703,3265867785.9096,7038647958.3636,9563635622.0819,8751503140.2144,5014299385.473,9059356158.3807,4358452869.9185
"MAINT-REP OF
AIRCRAFT",1692281014,1294033820.0703,1371509275.1877,1758442747.4023,1766137378.7492,2141360307.3462,2965158237.8856,3262406448.1676,3543228996.7589,2753970286.2125,2903333302.4875,3234688297.5393,3765447953.0069,4184208304.4962,4747892302.6095,4289479624.1908,4437075747.4315,5088520307.0746,5147116522.526,5387572438.4417,6042592599.7574,5978991439.1975,5973325868.1803,4331229233.7263
"MAINT-REP OF
AIRCRAFT COMPONENTS",129335396,195211562,154166576,562088268,729270677.7193,809623548,872507237.7906,441535594.9308,1178713249.7479,1495141671.6773,1058516239.4655,1340861687.1985,3483311599.3926,1729451136.6205,1927679670.4557,2321036824.1751,2068277146.4878,2775210033.8739,2046718123.3618,2815635491.5853,2435485404.4599,2128116189.6113,2158416643.1052,1964336827.3326
"MISCELLANEOUS
AIRCRAFT
ACCESSORIES AND
COMPONENTS",961194893,1062482642,1105709463.3809,1565199186,1296303672.8721,1389110028.4114,2006236893.5796,2231091720.3776,3265277083.8173,3059132175.0728,3398880448.8511,3943493230.406,3631783055.3313,3907687401.5249,2671115201.1736,2989225731.9579,4227250449.0447,5297665670.3874,4612257034.4371,6326657031.2252,5144323542.7282,4036484484.5643,4162714111.4593,3299322853.726
"Other Labeled PSC",13850260539,13880749857.6191,13485688366.4775,17502165488.3044,15532701589.7536,15293185099.9268,15092724529.0914,16656013492.5133,18444889602.7732,20177333438.2545,20988605463.4153,21054354363.8309,21872930341.5916,17817975531.0462,16333209903.6338,17782500575.9875,19484257466.2842,23675213179.569,24451756514.3184,25772726787.7473,24187209794.076,22010325695.1304,22979854523.3634,13569818137.2031
,3806.53,0,9511.1201,0,,,,0,0,,,,,,,,,,,,,,,
