"TopProject","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"BLACK HAWK UPGRADE (UH-60",-3234412,,,,73612809,90611055,74947755.2194,23453739.4455,6267909.8805,5510614.2203,1035548.4999,11809344.1849,28246438.9313,86620820.61,19913017.3088,232573623.6527,439569602.0377,733587271.8843,1034906369.0508,1029685688.0731,1001596419.4928,374208744.9589,565892101.5908,259434051.2607
"C-17A",-4746228,-682672,23465356,410914152,1260351400,1498226510,1951248339.18,3382381505.9866,2302232938.43,3937748293.865,3573248169.1858,3527392217.612,5502691461.6038,1961143068.6485,1617412327.4719,875152105.078,909691071.9537,442827955.5559,-16157042.1038,-20086034.8218,-47143500.1464,-19881262.1299,27525142.1679,426761.7573
"C130-J",,,,1899047,272575241,71582203,328393706,885464060.4574,1147089320.3728,801967764.4411,2923438276.2024,3187537219.3051,835521755.2762,1208448663.1719,2337976019.9025,1463451495.9049,5565212122.7758,1659661667.8094,1879935442.4908,1889634750.5089,3317526634.0356,2462269136.3324,1283396519.7133,1889699500.0695
"E-2C ADVANCED HAWKEYE",,,,,31922676,9021325,8609902,16126338,78672314.4727,467055106.2578,592060550.8711,980124725.6754,929401740.8428,911944892.8,955386251.5873,987593268.9567,1555534675.9832,1067444154.4554,1148246182.1916,2764551250.0166,1355906322.1603,1087992070.5099,1287275822.408,815038578.7023
"F-16 FALCON",649457506,642274963,784026790,768163207.5,155275786,116116565.5039,57910655,62605640.8496,3292285.4073,-1609620.8091,-2137806.4023,-1691420.8099,-2715816.0779,-3190666.52,-1031433.31,-177369.95,-826608.68,-9135232.1963,-128368.3477,5493,,0,0,
"F-18 HORNET",940923016,725487899,953275644,1123830103,10557,239000,,,-103704,-1643756.0938,-4330797.0375,-477952.8633,,,,,0,,,0,-92500,,,
"F/A-22",,,,278982781,4247084514,2172292783,4940293889,6408106023.9843,4584560934.3672,4441826618.0391,2352786706.3597,2195560560.3017,1663615021.229,1469701276.01,1438385977.71,1447816626.26,1446423801.8031,1806072185.7753,42357732.0332,-11584522.9001,-17170445.5487,2722228.418,-24005672.7453,71078802
"JSF (F-35)",178031456,268635741,6554622,239927692,196592861.0938,298929304,634208169,1065880921.7227,2731035654.3702,3691756626.1371,1874970548.0441,4876760172.575,4703656860.9744,12188274857.38,3808932854.26,11390479946.9339,10166002384.5202,24142780609.3471,15994084688.9169,17159190678.1875,35953318555.1719,9805187787.8331,20754154100.2067,26856373541.1332
"MMA",,,,,44877606,434557003,871521962,1073009382,783627139,1088710802.375,1281857793,3027110789.6402,3765412842.0601,751308114.3,850821379.74,1758872527.909,3492411209.718,2821282548.3477,2755575563.4591,3882372006.5527,2790636103.0426,2635487049.2397,589031561.3532,460936960.1566
"Other Labeled Project",15808115106,15558061149,13884028147,18954837569,4680864206.7391,7351632031.0235,8113420304.2091,11981029562.1725,16502909261.2491,16080070092.0397,17369956178.8314,18906739434.9168,21680351228.2259,23652612320.2784,19441537010.9345,10679170634.9752,14476597584.7523,12843586933.5628,13121867089.1534,12528605899.2539,8442705529.0752,12504596812.7733,11917196075.6053,8083669105.2669
"V22",,,,,217356961,1283300356,1206031696,1982775910.3563,2892461437.0703,2905749060.6262,3009617963.4144,2933479559.2798,3026050188.1968,2126739059.26,2171014786.2606,2116717995.2878,2240521439.5375,2394172267.8088,2496146679.9583,1848018802.377,1970407916.9383,2102295787.8397,1590750685.0735,843475451.2461
,17851791620.53,18928068967.9394,23374539002.1662,27466465634.9567,36621601947.1452,33956090591.5561,35786391603.6723,33601097757.7611,35694689979.2755,32432508215.492,30630087808.0251,30658449243.4073,36031876920.4268,28905105883.431,25582095085.2758,30741509217.2039,35055003338.3831,37920266007.3768,44881946837.6313,49017389369.1594,50542746879.7162,41539920169.8764,37139289470.8574,25008178517.9099
