"ContractingCustomer","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Defense",3395360125.419,3297789660.2609,4784757838.3462,9641512533.5187,8545490686.6053,15261772563.6108,16131747285.9201,28198596874.6629,39757216060.0822,28835130195.0829,25332224333.8185,19575557221.9926,10828673127.7275,7435113801.5888,5825472234.4273,7493772244.1363,7352399029.4452,8259179595.4681,12665731962.3819,12919390944.7209,11753634631.5691,9682677466.2467,10820652711.1107,14534536562.6893,13712865514.2433,7042861966.74
"DHS",6130000,0,1681000,38602919.1206,311061265.8964,1548586059.2577,581586034.0939,195740980.8968,108429778.4666,78191470.4718,42887284.3207,93294181.9912,93821583.0083,61317187.6096,132365999.033,108529547.0322,160676811.02,131548657.4016,247770642.4309,172720568.9059,138372326.3169,169494233.0708,204598868.8174,168932088.8735,136459179.46,32431983.25
"DISTRICT OF COLUMBIA COURTS",,,,,,,,,,,,,,,,,,,,,,,,227230,11655,6600
"Energy",11252000,3979000,2353115,2512104,6527439,3858537.1213,3084371.7937,12592826.5599,8885045.284,4972386.7919,13603004.3936,13818148.0921,14762065.6682,21043473.34,20353726.6,32662831.23,23571396.01,17788036.1198,12849845.5483,25189383.7179,18058296.2419,20562527.9067,17968068.4355,21902213.1879,24696666.94,7270840.49
"GSA",927405023.28,867396125.86,868012757.66,1108070522.82,1227773855.8103,1175962726.9802,1424540379.3919,1243467243.7857,1245140882.5409,1792111215.6341,1334376236.5525,1259709516.8062,1341604609.3098,1109118733.6626,1453208712.2854,1307144117.7436,1563728256.81,1553674833.0193,1543596006.2714,1592963038.5948,1684929874.218,1771734217.7127,1729442324.4193,2091141437.2487,2160409414.45,997576850.75
"HHS",164000,23000,3497000,604096,1398401.38,1191167.4654,740097.3712,805735.4706,3363996.2908,4447598.9975,3449299.2253,2926707.9061,62528480.1749,39405120.7601,71551998.86,67992951.8552,83420907.85,41548915.8282,81350420.381,96222450.092,7418024.5476,-40244350.5219,5468220.4309,8621082.5584,9357238.06,1860053.1
"NASA",6637000,1635983.6,117337334.63,1521676,13018779.65,15892526.2003,3876303.4319,20719802.4563,28732658.4651,33284028.6776,35813724.8027,18897246.2583,3799564.3952,7658728.89,6411343.7957,2561563.9412,15178062.9324,47113788.6455,23127887.8296,50874352.9846,51660456.0075,15406073.5467,74333107.78,69761686.4914,94895417.72,20378646.74
"Other Agencies",342966900.5601,59252138.12,143743183.87,62337226.3377,81068627.4417,100691901.8008,95535461.7349,112129106.608,107783582.2617,178720958.1412,211392840.493,164903545.9576,139831925.6014,141178744.2011,142627508.7577,187321515.8758,184435074.3797,196662028.7495,321756317.9312,175985050.9954,246409598.3621,213319620.9663,154492923.221,208014655.0335,211199882.94,43367088.5
"State and IAP",17997000,24841799.67,45548026,35208193.95,43564373.573,72299155.6618,73011616.819,79484992.2177,89038147.2092,90211903.6064,166872361.4514,250999841.6285,131193404.2967,100099419.5296,109094608.1687,108219817.795,132341486.7787,169400492.0736,198507005.2035,83852249.532,118255428.5272,160821009.4824,209920983.7504,258327566.8292,379909572.07,16338333.02
"VA",1814000,1364000,1225650,2403400,2103424.3935,4200923.3315,9054375.3486,18564195.5205,27661216.9556,34301165.1948,38973895.5258,26541466.3637,23603906.7494,31105270.0714,29343695.8799,20988806.0894,28842163.34,20683637.0033,30563981.9381,27329278.3652,37038112.0713,39355081.4724,57574848.8617,56186826.5203,34829232.03,13060959.44
