"PricingUCA.sum","PricingUCA","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Cost or Effort-Based","Other CB",918102644.4375,794034064,837624513.63,563745748,1001705206.8106,1855581221.07,2058966485.3981,3177438429.1835,5313498590.7222,5914563294.7151,3866587568.3553,3607891341.7472,1988861380.7164,1399819590.0819,1177588273.678,903882724.8373,659332260.8983,703197678.092,1262855337.5937,1079045285.3172,1328060409.7981,1685668652.0944,2288058041.4532,1671527228.4074,1817239808.51,1699600042.91
"Cost or Effort-Based","T&M/LH/FPLOE",94727644,33511794,55083461,61875178,135973299.62,321298527.9733,337720027.9936,193825232.5718,641225388.1833,469345012.2069,268926257.6103,202154341.2706,137472227.1321,68155625.5759,61863492.6494,91062197.0191,133661346.7064,52129322.8201,105581249.7747,177929726.0725,59545934.6124,92063146.3974,45513772.8618,9940886.1433,23448433.16,10355563.14
"Crosscutting","Combination/Other",,,13216.3203,114874,1644916.0725,16395156.2602,59245504.3092,467640427.0237,185434621.01,815457782.5238,-229790836.3075,-554102.2528,-425797.7201,36127.37,-225049.56,0,,0,,,,0,,,,
"Crosscutting","UCA",110442344,18263732,33319536,47616371,367646486.05,1605735388.54,3512230596.49,4189754945.21,4615283917.0833,1391274218.8866,4831923428.9124,2914783627.1127,1545113847.3812,711305058.5,448485788.21,87175500.24,618765190.3039,356663164.7604,586929961.0419,683971805.4223,382979985.0289,100907526.9636,357708268.3574,1373258048.6118,715313755.45,332203662.55
"Crosscutting",,68425203,31753144.6509,53396500.1808,135811937.7309,124651609.932,152174822.4077,365499296.5236,11658511.0141,51116834.3189,7227516.7441,19717435.2052,-624793.3611,261265.3099,49025.44,2163241.87,253742.8527,-2185743.2192,13070420.1911,389597,0,50000,-50000,0,-45108,0,0
"Fixed-Price","FFP",2560635370.8216,2447227909.86,3987496835.3751,8903731847.6577,7299340614.9237,13006857226.8521,10592766641.5057,20559588210.1789,29097050248.0463,19956920148.1567,16734245736.2922,13029120709.5249,6981269673.2177,4993016553.8466,4037388592.18,5795132489.802,5559156824.49,6637886499.095,8354973314.8693,9625000282.2858,9951107812.7838,8107297699.6142,8265619993.1113,11456082020.0082,12850557770.4333,5620588249.24
"Fixed-Price","Other FP",924076007,929566556,992946469,1176445680.3584,1274661426.3414,1194583564.7627,1284713041.2528,1253692890.8208,1385812330.9217,2124017402.2952,1324497027.8796,1253011094.6901,1342809926.0115,1147000155.357,1471512223.8462,1328840997.877,1609589063.596,1574198524.5889,1568836527.3382,352155865.3252,220540872.8008,152618567.9873,98325327.0014,120730833.9651,153672344.82,328386805.94
"Incentive","Incentive",33316836,1924507,8275374,3431035,26383294,31829653.5638,112034332.4322,28503112.1756,86829437.2704,372565547.0698,363486362.636,400865658.2647,644456144.8827,626658343.4818,591653264.9341,1122845743.0706,966274245.7906,1100454374.7614,3245688082.2981,3226424353.4857,2113491732.8376,1894620286.8259,2219226654.0418,2786157440.2964,1204401660.54,184018998.25
