"SimpleArea","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Products (All)",606881059.0938,1551632587,1516559427.64,1007209454.38,1953127833.85,2485473671.7099,2697955049.9619,2706543959.1576,3931591482.9893,4916579300.9885,4059147515.4695,4163242450.0404,4967488168.3297,2559794997.64,3123035342.059,1939163193.35,2226808033.6396,1631874347.899,1679856671.7007,1817332638.7511,1534378008.5669,2516580991.4152,2617688939.5722,2342797022.5498,1312039816.51,716933687.48
"R&D",4448260788.7579,5460394238.71,5266275470.49,6251546627.7974,10168743551.2652,9295205603.196,10265840990.1454,10433906546.1686,11410122057.8944,11875929303.6708,12015005616.9394,13284585307.9433,12250327672.2769,11279187512.5476,9894108937.1408,9929048439.5199,10769602504.1193,10937258874.811,11912271038.0541,12422439914.4485,14133569334.8274,9689472453.4761,10429240030.8855,12030603211.4655,11730932603.25,5056105719.7
"Services (Non-R&D)",196963989,349751511,308558436.24,338525525.1,454272638.9375,675464044.35,1154714258.29,775768113.4878,1333184512.8886,1594744839.5753,1347783577.1172,1503237630.7568,1791209091.0908,2656695904.1143,4269593589.8237,3777913285.2744,3830559671.6131,4143161924.8356,3779217003.4421,4140008554.2107,3534136223.6537,3209631008.6852,4207565482.1108,4318099215.4513,5831635397.98,1360483793.23
