Office_ID,VendorIsForeign,VendorStateCode,VendorCD,Action_Obligation_OMB24_GDP22
#N/A,0,AL,AL-,352518.9785
AL01,0,AL,AL-01,721.75
AL02,0,AL,AL-02,14452.3731
AL03,0,AL,AL-03,944898.4182
AL04,0,AL,AL-04,-14469.12142
AL05,0,AL,AL-05,992783829
#N/A,0,AR,AR-,3709.2401
AR04,0,AR,AR-04,273986.0922
#N/A,0,AZ,AZ-,397453.2626
AZ01,0,AZ,AZ-01,3027306
AZ02,0,AZ,AZ-02,1066800
AZ03,0,AZ,AZ-03,6003118847
AZ04,0,AZ,AZ-04,18702854.27
AZ05,0,AZ,AZ-05,136426053.6
AZ06,0,AZ,AZ-06,589979.4688
AZ07,0,AZ,AZ-07,2384466920
AZ09,0,AZ,AZ-09,1132865
#N/A,0,AZ,AZ-90,738335.2361
#N/A,0,CA,CA-,3818699.204
CA01,0,CA,CA-01,-5700
CA03,0,CA,CA-03,26434795.96
CA04,0,CA,CA-04,-147600
CA05,0,CA,CA-05,133255.2702
CA06,0,CA,CA-06,8904677.82
CA07,0,CA,CA-07,-13689.0099
CA08,0,CA,CA-08,20514135.01
CA09,0,CA,CA-09,22158.8824
CA10,0,CA,CA-10,67059.5
CA11,0,CA,CA-11,43600.03152
CA12,0,CA,CA-12,0
CA13,0,CA,CA-13,0
CA14,0,CA,CA-14,4803.042499
CA17,0,CA,CA-17,-11231410.02
CA18,0,CA,CA-18,11503088.27
CA19,0,CA,CA-19,-171146.1934
CA20,0,CA,CA-20,32800806.3
CA23,0,CA,CA-23,15486.8601
CA24,0,CA,CA-24,53617
CA25,0,CA,CA-25,5842731.048
CA26,0,CA,CA-26,81983708.18
CA27,0,CA,CA-27,952724.4675
CA28,0,CA,CA-28,-285.56
CA29,0,CA,CA-29,-260700
CA30,0,CA,CA-30,129827829.2
CA31,0,CA,CA-31,552631.8783
CA32,0,CA,CA-32,22648620.23
CA33,0,CA,CA-33,40891971.98
CA34,0,CA,CA-34,280405
CA35,0,CA,CA-35,686006.1423
CA36,0,CA,CA-36,26334743.25
CA38,0,CA,CA-38,-1798.75
CA39,0,CA,CA-39,16709.28831
CA40,0,CA,CA-40,0
CA41,0,CA,CA-41,27844
CA42,0,CA,CA-42,0
CA43,0,CA,CA-43,22308446.44
CA44,0,CA,CA-44,511198.2314
CA45,0,CA,CA-45,348061
CA46,0,CA,CA-46,128371.5407
CA47,0,CA,CA-47,329544.9408
CA48,0,CA,CA-48,-108200.3
CA49,0,CA,CA-49,1359.162691
CA50,0,CA,CA-50,0
CA51,0,CA,CA-51,69570.81664
CA52,0,CA,CA-52,191100.5195
#N/A,0,CA,CA-90,792533.7071
#N/A,0,CO,CO-,16500
CO02,0,CO,CO-02,-2468685.792
CO03,0,CO,CO-03,24551669.04
CO05,0,CO,CO-05,69500
CO06,0,CO,CO-06,103276159.2
CO07,0,CO,CO-07,5809216
#N/A,0,CO,CO-90,782130.8857
#N/A,0,CT,CT-,658566.4806
CT01,0,CT,CT-01,3024336.421
CT02,0,CT,CT-02,524362.1197
CT03,0,CT,CT-03,1508333.455
CT05,0,CT,CT-05,1712716.141
DE00,0,DE,DE-00,-16665
#N/A,0,FL,FL-,822428.9824
FL01,0,FL,FL-01,59266843.25
FL02,0,FL,FL-02,0
FL04,0,FL,FL-04,0
FL06,0,FL,FL-06,-167510.6821
FL07,0,FL,FL-07,0
FL08,0,FL,FL-08,8606606.548
FL10,0,FL,FL-10,399211898.2
FL12,0,FL,FL-12,24308.1627
FL13,0,FL,FL-13,11738.24386
FL14,0,FL,FL-14,20031.02513
FL15,0,FL,FL-15,103487.1242
FL16,0,FL,FL-16,-35841.9276
FL17,0,FL,FL-17,-25752.55624
FL19,0,FL,FL-19,-30360.95872
FL20,0,FL,FL-20,33.77535927
FL22,0,FL,FL-22,0
FL23,0,FL,FL-23,0
FL25,0,FL,FL-25,34470184.77
FL26,0,FL,FL-26,4650.1001
FL28,0,FL,FL-28,71693.20899
#N/A,0,FL,FL-90,673759986.9
