Office_ID,PlaceIsForeign,Place_State_Code,PlaceCD, Action_Obligation_OMB24_GDP22 
AK00,0,AK,AK-00," 39,465 "
AL01,0,AL,AL-01," 8,079 "
AL02,0,AL,AL-02," 14,452 "
AL03,0,AL,AL-03," 123,232,274 "
AL04,0,AL,AL-04, (609)
AL05,0,AL,AL-05," 997,870,426 "
AR02,0,AR,AR-02," (18,110)"
AR04,0,AR,AR-04," 31,110,322 "
AZ01,0,AZ,AZ-01," 2,404,773 "
AZ02,0,AZ,AZ-02," 2,215,741 "
AZ03,0,AZ,AZ-03," 5,944,169,510 "
AZ04,0,AZ,AZ-04," 18,656,054 "
AZ05,0,AZ,AZ-05," 136,458,029 "
AZ06,0,AZ,AZ-06," 634,779 "
AZ07,0,AZ,AZ-07," 2,399,722,535 "
AZ09,0,AZ,AZ-09," 1,735,115 "
#N/A,0,AZ,AZ-90," 738,335 "
CA01,0,CA,CA-01," (5,700)"
CA03,0,CA,CA-03," 21,079,682 "
CA04,0,CA,CA-04," 151,337 "
CA05,0,CA,CA-05," 98,314 "
CA06,0,CA,CA-06," 8,904,678 "
CA07,0,CA,CA-07," 72,524 "
CA08,0,CA,CA-08," 9,724,743 "
CA09,0,CA,CA-09," 22,159 "
CA10,0,CA,CA-10," 40,267 "
CA11,0,CA,CA-11," 43,600 "
CA12,0,CA,CA-12, -   
CA13,0,CA,CA-13," 165,674 "
CA14,0,CA,CA-14," 4,803 "
CA15,0,CA,CA-15," 121,523 "
CA17,0,CA,CA-17," (10,793,292)"
CA18,0,CA,CA-18," 11,503,088 "
CA19,0,CA,CA-19," (494,645)"
CA20,0,CA,CA-20," 32,836,352 "
CA23,0,CA,CA-23," 1,077,989 "
CA24,0,CA,CA-24," 2,414,573 "
CA25,0,CA,CA-25," 46,166,092 "
CA26,0,CA,CA-26," 80,828,864 "
CA27,0,CA,CA-27," 952,724 "
CA28,0,CA,CA-28, (286)
CA29,0,CA,CA-29," (257,771)"
CA30,0,CA,CA-30," 132,478,531 "
CA31,0,CA,CA-31," 552,632 "
CA32,0,CA,CA-32," 19,893,577 "
CA33,0,CA,CA-33," 29,535,409 "
CA34,0,CA,CA-34," 280,405 "
CA35,0,CA,CA-35," 815,661 "
CA36,0,CA,CA-36," 18,096,091 "
CA38,0,CA,CA-38," 33,219 "
CA39,0,CA,CA-39," 29,792 "
CA40,0,CA,CA-40, -   
CA41,0,CA,CA-41," 42,032 "
CA42,0,CA,CA-42, -   
CA43,0,CA,CA-43," 24,560,892 "
CA44,0,CA,CA-44," 593,458 "
CA45,0,CA,CA-45," 344,474 "
CA46,0,CA,CA-46," 96,633 "
CA47,0,CA,CA-47," 335,865 "
CA48,0,CA,CA-48," 147,336 "
CA49,0,CA,CA-49," 1,221,659 "
CA50,0,CA,CA-50," (138,952)"
CA51,0,CA,CA-51," 69,571 "
CA52,0,CA,CA-52," 267,601 "
#N/A,0,CA,CA-90," 792,534 "
CO02,0,CO,CO-02," 16,500 "
CO03,0,CO,CO-03," 24,551,669 "
CO05,0,CO,CO-05," 69,500 "
CO06,0,CO,CO-06," 103,276,159 "
CO07,0,CO,CO-07," 5,809,216 "
CT01,0,CT,CT-01," 3,039,521 "
CT02,0,CT,CT-02," 691,925 "
CT03,0,CT,CT-03," 1,521,626 "
CT05,0,CT,CT-05," 1,511,529 "
#N/A,0,DC,DC-98," 177,299 "
DE00,0,DE,DE-00," (16,665)"
FL01,0,FL,FL-01," 43,638,684 "
FL02,0,FL,FL-02," 59,857 "
FL04,0,FL,FL-04," 434,694 "
FL06,0,FL,FL-06," 38,389 "
FL07,0,FL,FL-07, -   
FL08,0,FL,FL-08," 1,916,364 "
FL10,0,FL,FL-10," 384,215,018 "
FL12,0,FL,FL-12," 341,657 "
FL13,0,FL,FL-13," 13,205 "
FL14,0,FL,FL-14," 20,031 "
FL15,0,FL,FL-15," 103,487 "
FL16,0,FL,FL-16," (35,842)"
FL17,0,FL,FL-17," 200,973 "
FL19,0,FL,FL-19," (30,361)"
FL20,0,FL,FL-20," 53,419 "
FL21,0,FL,FL-21," 3,050 "
FL22,0,FL,FL-22," 36,935 "
FL23,0,FL,FL-23," 1,951 "
FL25,0,FL,FL-25," 34,470,185 "
FL26,0,FL,FL-26," 83,795 "
FL28,0,FL,FL-28," 71,693 "
#N/A,0,FL,FL-90," 662,157,013 "
GA01,0,GA,GA-01," 142,467 "
GA02,0,GA,GA-02," 405,801 "
GA04,0,GA,GA-04," 63,482 "
GA06,0,GA,GA-06," 96,174 "
GA07,0,GA,GA-07," 2,376,662 "
GA09,0,GA,GA-09," 5,740 "
GA11,0,GA,GA-11, -   
#N/A,0,GA,GA-90," 26,706 "
IA01,0,IA,IA-01," 159,071,549 "
IA02,0,IA,IA-02," 26,294,171 "
ID01,0,ID,ID-01, -   
IL03,0,IL,IL-03," 58,067 "
IL04,0,IL,IL-04," 126,659 "
IL06,0,IL,IL-06," 7,991,924 "
IL08,0,IL,IL-08," 204,671 "
IL09,0,IL,IL-09," 713,395 "
IL11,0,IL,IL-11," 15,677,861 "
IL12,0,IL,IL-12," 100,452,047 "
IL13,0,IL,IL-13," 434,562 "
IL16,0,IL,IL-16, 875 
IL17,0,IL,IL-17," 2,322,899 "
#N/A,0,IL,IL-90," 85,413 "
IN02,0,IN,IN-02," 400,914 "
IN03,0,IN,IN-03," (130,361)"
IN04,0,IN,IN-04," 7,400,057 "
IN06,0,IN,IN-06," 23,454 "
IN07,0,IN,IN-07," 6,144,754 "
IN08,0,IN,IN-08," 8,205,926 "
IN09,0,IN,IN-09," 408,081 "
KS03,0,KS,KS-03," 11,896 "
KS04,0,KS,KS-04," 43,651 "
KY01,0,KY,KY-01," 41,925 "
KY03,0,KY,KY-03," 56,070,215 "
KY05,0,KY,KY-05," 6,549 "
LA01,0,LA,LA-01," 5,722,116 "
LA02,0,LA,LA-02," 20,008 "
LA04,0,LA,LA-04," 2,411 "
MA01,0,MA,MA-01," (312,408)"
MA03,0,MA,MA-03," 147,328,177 "
MA04,0,MA,MA-04," 5,400 "
MA05,0,MA,MA-05," 7,322,633 "
MA06,0,MA,MA-06," 1,824,241,771 "
MA07,0,MA,MA-07," 474,083 "
MA08,0,MA,MA-08, -   
MA09,0,MA,MA-09," 423,695 "
#N/A,0,MA,MA-90, -   
MD01,0,MD,MD-01," 100,550 "
MD02,0,MD,MD-02," 28,637,279 "
MD03,0,MD,MD-03," 2,647,595 "
MD04,0,MD,MD-04, -   
MD05,0,MD,MD-05," 48,899 "
MD06,0,MD,MD-06," 2,017,982 "
MD07,0,MD,MD-07," 3,636,408 "
MD08,0,MD,MD-08," 281,053 "
#N/A,0,MD,MD-90," 14,986,208 "
ME01,0,ME,ME-01," 196,080 "
ME02,0,ME,ME-02, -   
MI01,0,MI,MI-01," 139,974 "
MI02,0,MI,MI-02," 296,608 "
MI03,0,MI,MI-03," 347,653 "
MI04,0,MI,MI-04," 235,069 "
MI05,0,MI,MI-05," 720,098 "
MI06,0,MI,MI-06," 121,560 "
MI07,0,MI,MI-07," 20,942 "
MI08,0,MI,MI-08," 1,201,697 "
MI09,0,MI,MI-09," 471,212,827 "
MI10,0,MI,MI-10," 2,226,469,439 "
MI11,0,MI,MI-11," 73,496,103 "
MI12,0,MI,MI-12," 498,982 "
MI13,0,MI,MI-13," 533,416,856 "
#N/A,0,MI,MI-14," 65,084 "
MN01,0,MN,MN-01," 144,052 "
MN02,0,MN,MN-02," 234,772 "
MN03,0,MN,MN-03," 181,251,042 "
MN05,0,MN,MN-05," 255,822,815 "
MN06,0,MN,MN-06," 17,233,535 "
MN07,0,MN,MN-07," 11,807 "
MN08,0,MN,MN-08," 11,600 "
#N/A,0,MN,MN-90, -   
MO01,0,MO,MO-01," 996,085,333 "
MO02,0,MO,MO-02," 3,966,984 "
MO03,0,MO,MO-03," 133,680 "
MO04,0,MO,MO-04," 2,820 "
MO05,0,MO,MO-05," 478,528,451 "
MO07,0,MO,MO-07," 4,571,688 "
MO08,0,MO,MO-08," 18,299 "
MS01,0,MS,MS-01," 91,524,959 "
