"ProductServiceOrRnDarea","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Advanced Development",5370966607,6332880490.1202,6702633252.9387,7450779482.9272,7240942347.0276,8220877392.7517,9206297010.0259,9836808944.9333,10049974407.1413,11060595595.4686,9503006419.9798,8675148475.8477,8647457053.9128,7152234540.592,5818836293.8379,5625821637.2589,5925956672.117,6221667231.7905,6527200769.4142,8122109372.4326,10095703489.6365,3832491969.6857,2872079736.9751,2107234762.8554,1388443870.61,446180541.16
"Applied Research (6.2)",3303644015.8486,3479699162.6385,3990696319.0243,5133389558.2546,8003850455.7847,8353858364.7899,8523636108.1404,9081887398.7478,9936883408.879,10105025548.0066,11311464726.4232,12304504786.3214,11159567586.8213,10151453228.2411,10648858505.5854,9583981564.0002,10391493343.8562,10948903467.8601,11513481583.724,12582699258.0695,13886626364.8495,14503834267.6218,17547484958.8625,22389190916.8099,24188629989.27,8128999259.77
"Basic Research (6.1)",3662286928.2421,4978626933.3856,6196289210.771,6855684101.1315,7746922027.9881,7783828800.0874,7170246721.9059,7353234196.3414,10114027344.6387,10153529792.6717,10190240783.2638,9307706486.9906,8932360525.0324,8104408056.6367,8095139426.1538,8095568886.8594,8470027825.6476,8523502109.1043,9328319822.3864,9578069532.9949,11516767972.9629,11294868952.2025,11871642922.0361,12925971928.4951,11961597753.11,5519708037.04
"Commercialization",586614636,659698404.05,925409662.2008,1071101371,1415044457.8859,1809007101.5943,1871963887.0024,2017155364.0062,1953471057.3493,1830271039.644,1873429401.4443,2009596853.498,1532499453.1134,1342596870.6962,1718850873.4704,1784325184.121,1960006744.936,1857613132.3092,1294663395.6531,906537803.0599,1418757410.7503,648094069.9207,487005970.4257,370611692.9997,284076583.69,234356917.5
"Engineering Development",3567865005.4707,3983876397.7238,4144779163.5996,3957106666.3677,4423095574.3237,3489409371.7124,3467744045.7506,4776184495.8133,5705634930.8987,6901983483.0439,7547925674.0451,6898461911.5584,6105391672.521,4964299850.6893,5070940987.5976,5230488235.6831,6379445211.1857,6607568651.059,7203025789.3785,8314257463.983,9480572267.1584,4072939624.5945,2687075225.9432,2575249574.9718,2338731199.16,1023407114.08
"Experimental Development",,,,,,,,,,,,,,,,,,,,,,5847517429.5949,9235983684.7462,15126333528.4604,14897237183.65,6539945556.58
"Operational Systems Development",5407539851.7802,5310030553.4,7767108212.7695,9354349524.6238,9923768133.1371,12667697520.6553,16099128304.7425,16325229960.3405,14211264245.359,15474984487.0335,13661529046.9149,11972344783.6413,10083907219.3833,8425993531.6349,6276925597.0013,6029586653.3259,5410262323.8035,5634382744.3203,5268279390.341,5479252950.1163,4874756587.0276,948154485.21,788628892.7088,647770518.0496,447502284.21,271300311.66
"R&D administrative and operational expenses",1341132031.5039,1385639555.6801,1696213190.0246,1623342137.4613,2131889057.8671,2650234078.7561,2802140455.8549,2999522044.4949,3588708011.1354,4142960366.2222,3561300392.9948,3171162191.2706,3076508186.7688,2526741308.9468,2560080057.7205,2432402030.2084,2096225962.2955,1826356818.9335,2058323624.1976,2249503819.6068,2424814083.5003,7998149086.678,7757874960.2035,9063480259.6264,8554010400.09,2275505580.98
"R&D facilities and major equipment",14616624997.0744,13844119531.84,14534172801.59,21388760729.8234,12041587267.8961,13010592440.4942,13349135549.9731,13791227540.023,12175541537.4954,14835111894.0497,14262879987.8424,14042169941.6787,13694028086.8825,13468916941.3581,14434060874.8486,14019910044.552,16597284608.4739,13392250479.3942,13504351363.7002,11681060127.2986,12767731272.8977,15665915756.3238,17624564512.3809,20162273081.0762,20407117884.52,9311973557.6
"Uncategorized R&D",51324604,40503756,38864158,32116193.41,86917905.77,17058443.27,25727126,31656115,44676305.77,7406758,173535,,,0,-6564.35,-32404.0801,,0,,-94815.73,,,,,,
