"AnyCommercialText","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Not Classified
as Commercial",176925451064.227,187909553001.998,211326142412.118,254834483710.015,276493490872.04,340572558268.538,367339788419.792,381758521421.852,422375859101.043,445684372369.369,426055497893.741,421814305999.526,400512582644.352,356425601848.211,337252955184.327,330971382724.245,363862527459.454,388240099260.866,416519822263.542,442717986684.556,483618302104.162,422241412579.494,450098107742.857,525579413647.365,510539030158.86,220032164293.94
"Non-development
or Commercial Similar",26760108,-242713.56,235057029.7798,821775093.497,1124965184.2095,988246972.4407,541300261.3682,753775773.954,1045540469.2115,1141212897.8243,1140721888.9508,2000872222.8136,2478056061.6153,2015990098.5926,1859493562.8993,1308192739.3058,924399060.8593,464674368.3708,398622864.2747,266316875.3488,238397611.5465,532762003.8331,344986662.4644,207424716.8622,161616966.69,27511594.72
"Any Commercial
Classification",28661632078.2841,35120269212.9382,52401238102.4028,63734470835.1418,61736588132.5438,49845369258.4089,63256423898.2805,87308964427.296,104898476016.496,108351586182.912,134269585178.115,116464114288.982,118197983061.077,105544007763.174,107378027343.096,107942676253.857,111020574177.893,122373105603.624,139349174438.678,146918794002.641,187720746869.395,222935723898.076,244272665045.249,235261552565.294,245147262902.991,94925463234.66
,8167705.6401,92535470.0872,217104022.6078,143903917.5915,19318696.8241,15547675.3229,13181148.3192,11188763.995,4936831.4816,42456963.6625,-4124481.9346,2166187.2045,14186213.1609,16687857.15,8861498.2,16228946.2214,12388043.9107,33468159.41,82558966.441,151626988.516,185435891.4612,83575302.0797,41860197.4992,33640329.2189,5065045.04,24275375.9
