"ProductServiceOrRnDarea","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Construction",8292707837.797,9639893678.1369,12710455836.4112,13756432020.0669,14790427181.4965,18892436615.4646,19991354525.686,21388355117.2934,30382269743.0629,36996776485.4938,35913853232.7376,26689712316.7149,25087058370.962,18192874681.6517,18959169741.2955,17086050295.2576,16257353163.2756,16571383581.0541,20211297379.0978,27167704190.1166,31327488900.4795,23351510624.1655,28425432330.2978,32226585198.6431,31365111847.9992,6976664041.92
"ERS",9452104326.5537,10746661308.7561,11688603191.3082,14107113586.8925,14831509322.6877,18002355483.9843,18797483591.247,20227404902.4099,23976121577.4325,25093013865.2899,25422296555.1437,28839093628.7442,31879521637.8357,26097273728.95,28071617577.903,27530894334.0384,28865274967.2005,32312541425.584,35332650069.0419,36839203439.9061,36136327094.4602,36393945320.5802,39644581150.4161,45010266258.2024,48626513355.245,21729180273.55
"FRS",25168873395.1278,28502423992.5656,34662616827.6747,38761464625.1446,37487117509.2609,40036039943.6117,45233143998.683,43822784022.0046,44191537691.6594,53571297804.6249,51444579141.1057,46148419048.1045,42050734204.0114,39664816396.6691,42699736094.5976,39917615615.415,41947439602.6361,46626292170.3277,54068437830.5052,54481873785.7102,59515839909.1369,60370485159.825,67515012644.4059,73945665598.7916,74721250491.9803,31802368722.68
"ICT",15379557648.5624,18162365750.6652,20678373514.1119,24678045613.5711,28326531720.606,27906570072.533,28400742657.0474,29711359345.7864,31231340257.8935,33280674867.0761,34837647572.9997,36261580239.4076,34867583681.823,33268178424.4292,34737041127.485,35541277548.3734,37847315927.7446,40091556491.5838,44524772990.9471,47707217560.4401,53383593136.9794,51730812107.277,55062936711.4826,58995737341.2977,62901533769.1344,24684882431.22
"MED",3529323412.5425,4626248792.1016,6698445066.4787,8958708600.6873,8652768342.1839,10418689630.6583,12363078438.898,14207200317.2638,14159604295.1729,18375529883.7162,17813758580.5237,20242687450.8519,19146335173.1716,19238909497.1678,20880037373.4351,19816274440.1656,21916345278.4949,25528252926.1076,24549913928.4851,26068700738.6088,36258452820.4083,46230297741.0618,53116828074.7478,52093014938.3353,57563820524.8489,27593477287.25
"PAMS",28530469206.6139,29998082279.2151,37377529012.7112,47739121744.587,55391938188.1307,63940660465.3947,73888682163.769,79010430136.9888,88937069387.6775,96547593636.9267,100654353796.536,97279644477.2086,92943192375.6758,87020139918.8665,81294388700.1118,81834582446.4643,85306588278.0582,92414534566.5938,98987363523.6309,106014148842.495,113130683027.179,117732762618.535,120900730339.48,131089752661.834,137235207430.549,48850279215.36
