"Shiny.VendorSize","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Big Five",47659924281.8367,52178316920.3572,67805767880.5503,79079328056.7969,84047211564.6,86209752455.7983,100224401292.821,112412585174.056,119914032333.527,121987963453.232,111836156102.341,124211865096.046,118919636612.195,110197240126.302,96855129303.9766,98120015868.7218,120626921205.054,125486355860.758,125380084784.389,135659780184.193,165546929580.82,126102348940.28,134969913370.254,171913206538.58,147705236125.173,72335150676.18
"Large",65488729018.1799,68457099046.1006,77458275724.2711,104723957789.734,112203674648.123,125525716314.064,142036120819.583,154898162977.285,182853255537.153,194136458752.137,206359295806.291,178908839480.459,176971736330.141,154813865482.129,147337302189.351,144839298095.051,147163781871.526,159120198832.675,180413542529.852,185604195217.907,202613265799.601,223432381161.991,238749954301.864,231034800444.723,236477050345.282,100621781413.87
"Medium",53785965736.22,60121817227.2329,65457775385.4617,73065276352.7207,78785067892.4877,92618553007.4014,97121080285.5469,103964182681.602,112860169759.817,125042216151.763,125320124632.529,124482399699.039,115360738117.199,100014349045.488,96244881410.8962,91980637698.4733,95458343208.0896,106877116867.87,116364143425.874,126336765940.869,149550493073.025,143422295917.659,151479938551.978,167025611751.065,170782380842.15,64590442087.61
"Small",34918303839.6565,37899005477.636,48024901964.7404,54283793584.7602,57308879658.6847,71639017660.5455,75194027425.8725,81097712518.9957,89476118404.4571,95768320121.2978,100596127611.602,95647208194.4615,93729281907.1739,85469633269.0652,94079431728.9388,93021053629.57,100798649439.473,106724915374.901,120763016897.812,126593410779.275,138183420704.973,136942680942.196,150332318516.8,168577315541.649,172474612959.996,60358078764.18
"To Be Labeled",2831455713.1626,2950333562.0764,3011804671.0847,7374273706.3875,4608430587.1534,6390015604.3542,7090384615.9414,7778308389.7981,10795866249.9757,9193494925.3402,9851979861.0326,10855700573.3848,9717812350.2522,8544883926.8662,8263264816.6989,8916553945.2155,8824269676.971,10173363593.9676,10819803831.1709,13013673888.6352,14131652000.1505,14152506644.3542,18209856887.5248,20490275183.1097,26428223063.57,16389193159
"Unlabeled",937632367.0956,1515542738.0605,2421015940.8004,1008004065.8457,2421098534.5685,9038667132.5477,9484679287.9954,9681498645.3607,12425370133.3026,9091175009.9984,7497996465.0775,6175445655.136,6503602663.2432,4962315717.2776,3719328138.6603,3360921426.5979,2947923341.003,2729396862.0996,2609587063.839,2846898540.1818,1737121317.9958,1741260177.0027,1015638019.649,2040821799.6121,1985471737.41,714768398.38
