"SimpleArea","Competition.multisum","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Products (All)","1 Offer",4854179878.3314,4954969366.4635,5561654760.4885,10091375428.0455,10428112767.8457,16404434143.8392,18596890642.2243,19804554657.649,24711650362.8859,23012415880.3673,19532755420.0228,19011105857.2002,15036752479.1899,11550704062.789,11794972002.6681,11644642529.2613,12208581080.8265,12369619574.6358,15215045071.5257,18575244788.5128,19632747063.7312,21739696740.7821,24074505909.0922,20836476041.6459,20297427375.1218,6688179790.58
"Products (All)","2+ Offers",35748012061.5043,36039163022.025,43129756989.4141,48965329743.7483,49204180125.4186,61068656563.7474,63774092694.424,70026000981.4237,80340947374.8627,82220500689.9363,99130798639.9478,83293838624.4169,84726580452.8995,74321693865.3231,73078958879.9738,69391296255.5749,74740067121.8755,78001621784.1705,86376720430.0548,86449814244.3973,89521453252.783,87938981308.6045,116062132333.621,110836551011.061,109449629005.023,45077642442.54
"Products (All)","No Comp.",34722752897.3074,37857457995.9069,41396285338.2439,51907120228.8675,61997032258.6515,68947038478.8967,75818851088.3722,93563564358.5059,111267425023.054,105003732004.449,101575488931.013,113086080911.54,111399937317.945,97744689061.0928,79817829747.2413,84243839090.7613,99032797990.9259,111701222212.909,119772071278.13,127199661248.824,165804094087.177,135004852089.812,118609423809.165,149941920759.402,128834461905.91,67782415078.11
"Products (All)","Unlabeled",1885018402.4158,2172134824.0135,3613824687.4902,3028947806.5023,4904512061.5893,7365397186.1466,11243598527.1898,11545970839.032,11138581444.4563,6498244451.8859,3190686654.2127,1045815548.5855,836964094.3385,773703231.1644,542076666.0953,430727331.1044,462650523.0502,481845688.224,614504808.2425,637723089.1295,586460701.5376,487848263.4572,473738220.3493,737951242.8018,386970369.69,67166605.56
"R&D","1 Offer",3628139702.7421,3880723100.2928,4294224158.1836,4745498307.617,5538850724.8845,5790963356.2248,5716894433.3359,7960490361.1851,9051557050.2133,10119764341.9452,10082353329.475,9391227369.3257,9392321648.2345,8654122325.9143,8631651001.1989,7672096374.8904,8681167442.1815,9057784052.165,10604787861.8333,12284195668.6277,14865022377.704,12729557882.355,14106620182.9757,16003252956.6504,15299749481.42,4417637768.12
"R&D","2+ Offers",17316177098.8417,16653482667.2097,18455497426.7083,21729730227.398,24499648719.8871,27075711292.6325,30540432909.1627,32765123158.2604,35469763927.8008,39776243202.919,38803720969.9669,36818109972.6901,33970188006.5521,31883144689.9984,30831671578.9454,30533238821.2638,31287212620.518,27989978058.233,27849409525.4166,27892961164.5714,30509466729.8499,30515962954.9435,32685666256.9375,40164194127.2197,40788889311.89,17735003006.06
"R&D","No Comp.",16060315683.4258,19380879932.4336,22898271971.0739,29790262561.9335,20381590821.9906,22172841937.0782,23462262678.8737,22394555326.3748,20060774488.6682,21420118083.5323,20211071333.327,20006726008.7976,18001524225.8524,14731733421.3605,14224988788.1663,13713565136.6117,15947970807.5475,16967760374.7932,17286342680.7017,17692909254.4778,19921010665.7784,20254077239.52,22402945401.7766,27239600294.7909,26412815531.47,10635608914.44
"R&D","Unlabeled",903366191.9103,99989084.9021,348172414.9527,601138668.051,2593926960.9181,2963046928.1758,2796429188.0234,3092737213.8801,3198085781.9845,3195743335.7437,2814804335.1394,2165032079.9933,1867685903.7965,867643891.5219,935374683.5549,883151499.1629,1314351822.0684,996722149.5799,957105670.8434,1043329424.1547,1170229675.4509,1312367565.0134,1677109022.5922,1961068884.6835,1965892823.53,963127187.75
"Services (Non-R&D)","1 Offer",7938858414.5369,11487598081.2615,12398930361.9626,15157317561.7495,20040489530.3117,25867094188.267,30576527405.6589,32274666971.8602,33698240451.9642,37163920917.2324,37515541121.4802,32184353604.8593,28105455676.2125,24445367832.0603,23725892685.2249,22852211655.317,23488876751.0876,26384352396.7929,31279758258.2555,32936439532.6161,42107758386.7533,35428011341.9114,38027758750.9612,43411490290.3707,46421297338.5121,18518739999.33
"Services (Non-R&D)","2+ Offers",61618973585.8481,67106387775.2706,78823414828.4363,94122026079.8908,96833791078.4969,102753001428.215,110786619787.365,123683437910.727,141613949704.46,164047030465.131,167221142095.282,164207206790.659,160582764090.855,147113363972.426,148713412607.779,143301030529.577,152364792439.187,168731588506.992,181726330899.868,198081544342.482,214802796893.4,220688775294.662,246553317118.856,268804877790.303,281053224339.325,109483753119.34
