"CurrentDurationCategory","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"<=2 Months",18638608464.3912,18678071705.7701,23552666217.382,27876928842.819,27202744558.7886,39262151344.0292,46133927002.9727,45970811915.0429,53201563623.9034,42778246903.1297,44038288728.6882,41326864518.9683,40059487713.0993,36402185875.7744,44694726759.1176,42225454270.0676,41390399913.4186,41664112259.0622,43521139650.9432,38876316649.7464,45400823338.8427,50105948253.7222,57550660092.1193,63200665411.5951,83073439856.4234,56563496576.82
">1-2 Years",38253793086.6801,40892595277.1839,40352899446.9147,48243504119.7969,52623523894.8217,66355575762.3831,-2174290183.7522,83170224342.4363,91921187828.3399,101342615504.364,97356544542.5494,88249742054.8167,89568714738.3557,72201953435.0056,66258000624.0352,65970430669.7074,69115501576.1668,77655484036.5953,89263974652.5428,94986894160.0369,97253994133.6213,101539371526.027,97432087162.941,100720911049.657,100422733801.988,54704301015.19
">2-4 Years",39555360364.1681,40835029456.0485,54781509373.5635,55668539470.6135,54865736733.2799,60047348093.7967,69081662872.8568,83069327524.0279,93581270430.1523,98764012572.1023,102977412947.963,102801361941.516,103947949952.913,104482502733.978,88925704992.5491,77842253779.5617,80560649890.3109,85913275958.6247,109256419435.8,125356255780.033,115210362310.319,108130236311.663,117112541471.259,140713397624.624,135808476905.963,60684105172.63
">2-7 Months",23151770905.0584,20970504815.3422,26985723730.7716,31773791557.9737,36239865232.1754,47921815195.1891,46132356193.9372,48089561186.5272,51258802595.1538,56061256673.1143,54287534839.3193,55292000932.3252,46399483905.2636,34761005832.7139,34289151721.179,35858432216.7384,36108332650.7908,41829336801.6341,47190958424.2041,47001690369.8984,62177811888.6955,54086555939.0456,52602352077.8139,53002180516.4007,38931175626.4602,25686834291.98
">4 years",45296365052.9086,64928499193.8103,78718627972.022,103600901470.239,106350841571.816,112011041791.624,131902813841.081,140660340050.04,154930805979.745,165457445024.686,148948310290.526,163286679438.361,154291806109.9,142224181768.632,137847870196.126,144504076379.471,169274684889.164,179637187733.754,171243550109.546,189846062505.968,244563350599.197,207725766234.628,230390012541.472,278089154835.692,265624932850.758,178316464788.78
">7-12 Months",37805445135.2967,33731379878.4115,37292976095.661,47581976350.1478,54841004850.853,57168923025.7355,132733235953.313,64310686383.8878,78190455759.0841,85013955632.4807,87134625219.7876,82630083541.6959,80653634769.9579,68327640044.1027,68277142587.6342,64620209110.6733,67533578671.2197,75079173060.38,85596810229.4886,82911752392.4328,93334002999.8738,111887337702.001,125428405796.706,111136688869.298,115291279086.711,63167231867.03
,2920667947.6482,3086034644.8971,2495138730.5938,4788991744.6556,7250646043.8824,8654866961.9528,7340988047.3514,4561498985.1344,5240726201.8534,5802096103.891,26718963910.0391,6694726270.8438,6281730790.715,5602817876.9216,6206740707.8805,9217624237.4104,11836741151.0456,9332777542.2194,10277326030.4122,11075752692.9466,13822537206.0156,12318257816.3968,14241560505.7589,14219032951.4726,16700936945.2775,10940640359.17
