"PricingInflation","ContractingCustomer","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"All Other","Defense",6381928579.3536,6747008088.6202,8072281208.2013,10540757674.319,12836588997.2038,15095818809.7542,20555093788.831,37389836035.3006,49723965605.3679,54614610145.2335,18682561712.5854,13791654301.3731,9963175401.3114,5674605634.7784,3564009549.3797,3312277978.108,3475487776.0943,3791114615.4635,5073235012.9303,5082149813.7403,5503592559.1545,5037821644.5799,4839570895.1604,6246690203.0344,7112562232.88,3162799345.06
"All Other","DHS",41354000,72767495,183618087.625,304694303.3225,848143345.2986,1338156852.146,2973564957.5808,3445651358.4945,3485334601.7416,3540583232.1376,2975105027.2276,3088006983.2549,3119851466.5253,2725275353.5883,2594963669.7455,2356781347.6881,2910998385.565,3499015474.2332,4592517371.4089,3919479677.0082,3978005995.5761,3942016411.2163,4153249179.0954,4532372652.2,5077070384.91,2045016930.59
"All Other","Energy",260025608.6831,313091862.2926,330668124.0646,384902270.2273,429790041.0263,497580945.909,530266687.2983,690457929.766,825738635.0253,922976433.8753,1213751536.0381,1333493463.2291,1174651713.0942,1045801818.7501,652963397.8729,576713329.7483,521999760.89,542993848.3202,616096972.206,796911178.9634,926798162.2476,1002987879.5398,1235920766.6121,1436629959.3778,1634472845.33,671639535.8
"All Other","GSA",624441685.0984,806652494.8829,1746754637.3345,2276657335.3215,3135341910.4993,2563838357.9904,1576015948.0529,1597579445.0517,1693097922.5069,1472339883.8707,1932086324.2854,2379452025.5834,2020450342.8356,1560750523.103,1334953490.8852,1276124354.3843,1178968394.5001,1195627213.473,1473158578.326,1923090746.9088,1772742523.3686,2129978056.7715,2224981194.0105,2475687626.7616,2469966345.06,922815312.65
"All Other","HHS",170511133.7814,207227380.8205,388614382.4749,378595194.8683,647689548.4007,853774917.1705,1293713787.1856,2078092884.9965,2313069343.6274,2132933359.0413,1955467785.2236,2060268014.3807,2185018933.0702,2607714663.1672,2603845754.3918,2835379776.0326,3267997781.31,3084548269.6675,3273990084.3071,3579745049.4649,3920767272.5364,5033825210.9533,5550932114.4928,5981875218.4959,5946356786.11,1628516358.08
"All Other","NASA",40079212,30189910.12,34733466.09,40286400.43,71317944.4196,91359933.038,129086831.8275,217062258.8071,306157522.9684,264074950.5063,271396049.0873,257982715.6322,238262556.9203,179037707.4417,154926859.1646,127014543.8527,104305964.2,102567571.519,77317357.3235,48423937.9922,65385270.3436,54691219.3329,78915023.5724,133226752.1856,142547400.77,72790063.95
"All Other","Other Agencies",1696841079.2358,1737816762.5787,2279645686.4481,2806203784.3948,4010507806.5825,4734193399.1484,5996042541.587,7174940627.1684,7464898397.2517,8047913575.1326,6930645762.0655,6549122987.5154,6249940122.44,6643832101.2789,6854731097.9918,7753070621.9115,7747325221.1206,7906638732.3319,8516912702.3736,9335564294.5116,11841103764.3116,11042483789.0371,10689931458.3394,12497593712.0696,13431042141.41,2171911803.25
"All Other","State and IAP",241663397.4012,338864799.7374,653028657.4102,494653173.3577,1543097806.963,2159850316.2915,2317012259.6974,2380764872.2281,2988294616.9437,3360277382.8688,2600786168.7191,2172625312.9427,2867878745.6395,2222132908.5859,2795306481.1543,2321449749.8954,2815032454.8451,2948150941.0716,3563646782.9997,3556702295.6838,3790507594.0145,3870468700.7219,3963544538.3298,3939568717.4037,4176563743.99,1133563574.67
"All Other","VA",9894000,11882824.3,10133530.2476,26859364.2421,263594704.0767,334250314.1137,305155454.4783,322164252.9118,157692312.3523,159166812.3941,141243850.2881,206205711.8936,195126108.9109,276046730.5706,341289918.9829,477054209.615,532670258.95,695272262.8022,707521719.7421,720493989.623,823449701.2666,1112864765.5283,1011228454.2584,1135551246.008,1332253984.51,318388600.11
"Cost-Based","Defense",41017731012.8018,43077261680.4891,47986493037.5011,60359498521.7867,72636344257.3792,78922405512.9257,91500778421.9539,90582997833.0433,92243541311.3074,93380206926.9385,106587148422.879,114622040551.791,101954189109.321,95044783414.9206,88681807983.9888,84415198729.9324,88438708881.2946,95331995264.1848,103913111439.798,109048516377.225,108046176937.423,114665726039.915,118442369819.847,127221406676.92,140768787704.59,68442133309.35
"Cost-Based","DHS",102647000,101958751.15,497200174.27,786853096.8451,2104890406.3939,1859992656.7896,4773046300.6695,2401110199.3746,2630725553.5024,2500422627.8895,2576538822.5294,2005577707.4851,1859317574.7472,1604905640.5755,1508351657.7772,1520856464.8712,1499075548.94,1364112425.877,1540413065.5725,1289341238.8428,1213166734.6347,1316260573.6151,1236121252.4986,1185043624.1268,1185920656.87,289468903.01
"Cost-Based","Energy",19309716621.7047,21897788741.5,22663438280.8712,28596857459.9992,20038469727.5511,21634166362.1121,21653954131.6922,21914467765.4314,22265078049.8357,28838998448.2431,23731801328.8623,23132497834.077,23362557524.9977,22338852921.0713,24074364496.2319,23687926641.3458,26934377520.75,27521918779.2344,30314636413.0921,31313208579.7238,33851362563.2426,36311317371.7745,39807372735.1898,42817238172.7213,44459714637.35,21356788141.42
"Cost-Based","GSA",398032168.6494,484126915.0532,292969403.3466,793441665.1709,403128933.5477,740841008.8379,626796096.0896,625639579.2109,684480639.8182,862998307.2517,599425876.8395,1092856756.5539,1110980714.1377,924066309.295,1015619626.715,1298945882.045,2017072121.53,2507000046.3612,4281137603.7472,5446400292.3845,6868518598.3924,6668825538.6548,8215191579.3184,10497068934.3773,12114173648.38,4446031972.22
"Cost-Based","HHS",2725172027.7248,3525757811.0546,3572201974.3458,4255740236.3971,4914383354.6328,4708445097.9911,5459282777.9976,5270153254.35,6262735851.1916,7037150146.3047,7422050273.1859,8279812865.2883,7420621050.2934,7870647496.6497,9019494658.1128,8487685357.1576,8925410034,9070903401.1472,8141237263.2771,8967510253.8472,12563441345.9594,9284053956.6743,8545808553.6751,9802798703.5633,8600119295.23,1813844183.99
"Cost-Based","NASA",3395150415.7454,4289167729.45,3935820218.89,4914183680.6586,8817583460.3646,10450442954.4999,10789668503.9455,10668948412.179,11817838675.5213,11989192239.5699,12758526992.8169,11792020275.69,11177308280.5936,10664359012.7358,10848940251.7645,11114271585.7661,11978930476.0405,12127370798.563,12713606008.977,12672611315.1705,13292649543.8699,12992886982.6355,13449477024.1207,13702876568.4653,12973638012.83,6011479606.22
"Cost-Based","Other Agencies",3991892864.3426,3978677250.6583,4921509239.047,4521935752.5783,4942685787.8508,4529809488.8538,4608492575.7458,5051033610.3954,5387773589.4281,5831042683.6391,6650015122.2505,5910653338.7831,5796188858.1922,5218676977.0186,5343257677.6696,4924678926.2053,5275142800.9302,4780498482.4469,4576945948.667,5166596139.9797,4878523724.6413,4262736973.3397,3977970001.2186,4077637852.4696,4238940107.39,1220186825.46
"Cost-Based","State and IAP",444330374.2891,707510101.73,978736714.57,2184614646.65,722639353.0945,1190150187.7737,1636693114.3129,2662586892.433,2221651760.4935,3594150331.7723,3861796412.4465,3575363294.0944,4120790002.9165,3921101399.6905,3216424385.7978,4575928491.0988,4150684610.4,4609062738.6725,4637630629.6238,5121011175.5867,5909424644.6868,5483051547.0955,5178609750.2797,6037623455.205,6494207102.79,2254728611.57
"Cost-Based","VA",6332000,4161000,10770421,2117475,9758296.2266,19998995.0767,27245009.4348,28257664.9318,36998564.1421,50434213.7321,52253665.2774,103909407.1773,100954512.2652,94788965.6719,129121940.04,335396167.9,62692045.84,64732699.253,85637043.8914,81716445.2172,70148541.0604,92568831.4792,87290762.3702,132088128.8371,84142829.8,13505493.57
"Cost-Based",,0,,0,,,,,,,,,,,,,,,,,,,,,,,
"FFP","Defense",65729882306.083,73056890995.7805,87658370254.8533,112233600496.535,113810713937.848,135270189438.062,151373684669.345,176313744914.684,201283118784.543,196177753824.262,205108208505.621,196061579229.981,190866345851.325,154518487537.274,149861320369.744,148128005402.393,162549961622.657,164445036911.628,186823234077.923,203441881382.762,222681307856.797,221086418056.436,229079991517.368,241310838455.962,241795913896.397,96607547393.69
"FFP","DHS",83336799.14,138790623.9825,127930165.3198,2566855518.2024,4357069323.9462,8286394023.5394,7121227116.5245,5115989862.0617,6092150083.709,6579778306.5477,7309736750.2489,7776927816.7485,7162894865.367,7285850022.9971,7963301030.8858,8950907664.2329,8596598761.4752,11041359206.8859,11424069301.2048,12086203722.5404,13670718124.2545,13878827753.8905,15352382981.9775,18037107739.1593,16906154389.5,6159663384.34
