"ContractingCustomer","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Defense",7967724148.275,8474994549.3995,11442383339.6534,12782466654.0499,13235234778.1002,14091262916.2053,13651090437.2432,16656166488.807,17610345879.8083,16167191003.7199,14815235215.5274,14253124058.6978,14382664540.9731,11812268601.9235,11790205750.421,12058818951.4863,15479871348.4101,17833777276.8523,20343585093.6988,22899175031.9771,22854209891.2233,20535006075.1904,19083601873.0569,32620059317.4754,35486363498.97,13721177316.55
"DHS",,,,21802358,19249701.6879,35039053.0994,46577689.8835,65133428.6448,100928606.0881,67860042.7094,47272548.1683,39267493.5442,35096231.78,40639777.3435,49728001.2404,53126907.6012,98041863.7402,66306054.7913,64159015.653,71312512.9781,88362502.4765,84344412.0251,87422808.6235,87783128.6989,92057924.16,14793443.91
"DISTRICT OF COLUMBIA COURTS",,,,,,,,,,,,,,,,,,,,,,3508.84,,62088.8,61035,59426.16
"Energy",-76869.6982,3650836.7,7216381.85,40186110.08,8492036.97,9130478.1605,6866305.4929,1673401.7492,14270087.7519,3926618.1375,4920041.5662,-5139701.2088,1935012.7021,1157987.73,2654031.05,2326276.47,1829820.86,2562012.2812,1456224.18,2254277.74,3817909.7788,3997442.82,4466279.5552,4144247.4,6836360.74,2279100.02
"GSA",2302000,1738000,2700000,3069557.4428,1865160.4878,1059588.3493,1084888.2999,1484782.0276,2854274.6743,1728211.8728,851626.1804,32909279.8719,2369094.7845,936292.8223,613286.9,2132595.4797,5995046.72,4867803.5514,45398331.7868,41344880.4935,37137750.6038,49816312.7875,28303461.1671,-319942.0381,8769536.85,-528141.5
"HHS",410000,572000,16000,384628,560610.68,263084.06,120698.67,674413.6291,501793.5624,415476.8301,5963302.0606,32341572.5216,42042766.0305,36088387.9818,998687.1398,7235809.8568,10881498.75,3276776.682,3440441.9552,8359013.8082,1320167.6595,1452398.1399,1566910.1484,1127042.6165,782627.29,338307.13
"NASA",1314000,595000,977612,643078,1254958,1158649.7,-23097.6108,2391710.3888,-1620559.97,1601566.1299,313080.1446,3659045.375,2454423.0264,5579003.1001,4253508.39,3960678.9194,1457005.6945,1520817.1786,9295054.55,1039144.1883,943139.7554,943552.0784,3332149.5124,3070549.5,2665563.65,131872.44
"Other Agencies",33284260,53277518.3401,43392420,25767734.09,17310071.7941,26051757.8694,17426174.9223,23531646.6987,23430295.8757,23389801.4678,26543244.3142,31884411.9662,36823766.278,32095974.0912,39398071.2406,40847380.158,47897806.455,51439490.5966,59769398.566,62557224.6718,77216233.9127,56430790.9251,54106811.6406,61196728.6862,60572760.07,8812649.97
"State and IAP",1144000,4091000,1636663,7850218.875,8442849.36,24529614.6607,33755860.7328,28592172.2039,32361355.4825,28654613.9118,35383135.5102,61782774.6953,36713262.7804,44545963.6,52430619.8799,52366143.8697,45130069.3204,27067830.4056,27010324.4264,25130755.0579,14695517.345,10717701.1376,45378414.3272,32126856.1233,43292285.81,46827752.16
"VA",,429000,768000,245842,5409925.8527,1291459.48,1171040.9021,2586925.5579,2862721.6491,3430591.3812,4041577.4784,3918814.6299,4310085.3045,4928444.7966,4996712.0449,6115720.2152,7983554.15,10024270.3223,9810305.5082,11910453.0595,13083851.9084,16133508.4903,17426669.7554,21288856.2571,20956491.99,14665063.15
