"SimpleArea","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Products (All)",4723429588.2018,5289479925.2801,6549197096.2434,8030306788.3555,9826739567.6367,10503488022.559,10248131187.3606,11399535034.9002,14312230271.593,12235954536.2314,11983348418.8412,11975383515.3141,11846823352.5102,9911385585.269,9616968364.0961,10036394846.3686,12818281672.0901,14899255762.0632,16962961801.7444,19653172790.9043,19406982483.6518,16732329105.7905,16072038168.0329,28227947800.2069,30521154417.52,11519039828.87
"R&D",1617138810,1462838569.9395,2578804713.4,2091925731.4694,1637819816.4798,1631050381.0445,1463189558.5514,1577011559.9937,1231225449.9021,1281164215.9954,945455423.1886,709827468.0512,970310837.9806,727123790.2537,830274330.4663,673828472.2125,694692848.0325,591600625.3169,720099139.5709,1093828918.9474,825516306.7725,934493994.6839,755240612.753,870650656.1143,970125905.97,434059479.71
"Services (Non-R&D)",1665533140.375,1787029409.22,2371088606.86,2760183660.7128,1833260708.8162,2055248197.9811,2046749252.6239,3805688374.8131,2242478733.4272,2781079173.9336,2011719928.9205,1768536766.7278,1727274993.1687,1339731057.8663,1498035973.7442,1516707145.4752,2186113493.9776,2509985945.2812,2880863249.0091,2376081584.1227,2858288174.2391,3092022601.9599,2498326597.0008,3731940417.1981,4231077761.04,1855457481.41
"Unlabeled",,,,,,,,,0,0,,,,,,,,,,,0,,,,,
