"TopPStext","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"ENGINEERING AND
TECHNICAL SERVICES",2253256588.7031,2356725457.6617,3261422140.6508,3458777754.0707,3801833913.6511,4290075733.6974,5031018120.9797,5697448972.4383,6497537792.0791,6936885686.2522,8028949088.9648,8593677529.5314,9270707378.5505,8601177221.6034,8734352057.864,9061990090.0105,9998014888.3651,10159374957.9971,11465986304.5813,13479400425.8606,14664642751.3353,14976763159.3398,14827213255.3454,10591498929.7813
"OTHER
ADMINISTRATIVE
SUPPORT SVCS",84876704.9297,130342361,172118252.21,222723895.3301,338573357.855,510641311.6821,467425880.5427,667911647.5891,898466521.1004,859729893.9835,825540144.268,875349305.6998,915234334.3643,841989750.0914,706844558.8452,770617687.3089,765305328.3321,747297344.9113,752803679.1747,764256834.2896,670324625.9001,1763464353.9846,1689957733.3889,413460627.7253
"OTHER DEFENSE
(APPLIED/EXPLORATORY)",847357944.54,819650688.8401,1081145589.5,1129871052.7808,1249125836.5049,1436048511.4066,1243701900.6084,1312785027.9232,1265722127.6901,1430104172.0184,1504490848.8396,1559541009.641,1479418097.7856,943882871.334,904534831.942,867396712.4156,1090687871.3464,1076423766.0198,1195708942.1695,1328042946.5523,1394817257.5643,897059712.5896,618603719.239,171316326.6353
"Other Labeled PSC",6470617305.3753,5991035199.6333,7724334097.0347,8705041600.4374,9470816536.5868,11258434878.3902,11598331210.9098,11384077900.3535,12284086665.1406,15401250929.386,14721376550.7756,14209921991.2827,12496517320.1122,11550182902.3393,11891306430.0061,11882943087.7271,11173198237.7071,11589097855.5074,12871871047.0278,14012276651.8061,14763585404.3502,21950760213.5561,25964574249.486,19644500644.9885
"OTHER MANAGEMENT
SUPPORT SERVICES",811961408.6797,924273852.3243,1042006743.5529,1365283680.879,1630825285.5192,1363532570.6089,1727601183.8567,1964980966.4105,1741661160.8293,1871245747.8667,1771537462.228,2037597631.0869,1936715858.9678,1774525049.2069,1103129625.5298,1330082597.9687,1057394290.2443,1501029337.1616,1418107759.0907,1261931007.6937,1180027288.0243,1270464727.2348,1175788114.7549,721323183.4634
"OTHER PROFESSIONAL
SERVICES",758457325.664,873328104.6694,847788230.5,1650330487.049,1886382056.4855,2876151792.2911,4066408259.0511,3775762601.7355,4582819017.1049,5132335855.9209,5406691786.2885,5061055770.8273,7079479685.003,4723145232.8716,4668112876.2695,4409541999.1491,4370932630.918,4637604272.5382,5097859913.174,5792188724.8195,5672900460.4931,5513434683.0236,5694495607.4403,3478658272.0795
"PROGRAM
MANAGEMENT/SUPPORT
SERVICES",551205560.7969,715139776.9609,862176551.2813,1144583815.6743,1307675220.8884,2266760554.0274,2901394582.9122,3181502649.8434,3894372118.9153,3783963177.1069,4366454331.9666,3561148999.406,3674087512.7499,3043104443.3618,2864454758.2778,2802864121.6051,2940451064.4736,2801956565.0307,3242484856.4049,3151841691.5132,3411255425.3439,3762381103.2859,3689900275.8295,2037024126.6926
"R&D- OTHER RESEARCH
AND DEVELOPMENT
(APPLIED
RESEARCH/EXPLORATORY
DEVELOPMENT)",215746065,236488574,209499268,211897666,176537105,497575331.5963,708207548.6176,1109516695.2952,1359590225.3041,1640230024.9288,2082887850.9605,2486581245.0213,2601824508.6562,2129036474.0579,2360767380.9871,1814954229.5613,1875929074.2562,2086581251.8254,2578781108.0538,2761397191.0204,2503042110.9853,2018452223.2164,1321800589.4088,598637343.1352
"SYSTEMS ENGINEERING
SERVICES",423616426.375,375099488.8125,637288736.4214,536827261.0469,676928996.4575,926187903.5697,977090994.379,1202166743.8225,1269606484.8047,1463722626.8949,1365936516.5481,1477394808.0019,667749269.2249,337106942.8822,238509368.6384,205336451.4218,96110248.279,59823970.563,28800780.3788,-805414.1824,-13299452.8392,-205650.0222,-1937779.5007,-13717.5996
