"SubCustomer.JPO","SubCustomer.sum","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Air Force","Air Force",3249201000,2362010000,2525247221,2480737819,2643255465,2376684748,2508277777,2598898896,2970128882,3119194273,2687151780,2941857275.2,3230578440.44,3933227555.3884,4053316596.0544,5457658284.3542,6531652813.8371,5708352280.4122,6904883687.4233,8957635027.8719,8226652739.3145,8026250869.4554,9089230187.2105,6663407085.8258,6892289077.947,7107241516.7858,7681351241.303,8647612926.0749,10450123996.8928,12511164872.5053,12842111111.6714,17836641852.6198,19646224184.3784,27636253263.2176,32269413837.01,14866355613.04
"Army","Army",1054032000,1684852000,1681122599,1654212854,2182586194,2636761581,2987399972,3307396015.06,4243681530,4347642056.38,3810071469.2123,3701836344.5103,5196869619.9827,6879272651.0099,8554512446.203,10002826586.523,11528906940.8962,13729623287.9063,15367757083.3165,16481382768.3477,17759898484.3937,17703627782.1464,17649388939.897,14927768294.936,12549663201.8174,12148247098.3214,11411397903.7555,12035514171.8276,12552200901.887,12677819234.6451,12510881745.9047,12671962491.3587,12127645943.5951,12837188276.3395,15005515907.84,6680111943.74
"DLA","Other DoD",20061000,11639000,14668086,13692603,14180731,24403936,21694928,18695721,50351653,83169120,123047746.7031,205411421,204871863.5,216194604.56,255746718.2376,215784111.9181,208625748.7461,227899976.5064,330287335.493,383728077.7067,311685987.074,267412126.0344,289972262.6088,368747210.2117,452184393.9238,396024213.4249,317877819.8666,312156993.2307,378319485.8254,318739347.7588,342197571.0839,329538299.7157,402106714.327,489472520.7895,569127794.93,244525943.57
"Navy","Navy",2279551381,2379347229,2628615158,2459184408,2769625494,2978813117,3065232539,4043547424,4174692846,5466533849.2,4889491820.9853,4686817580.3836,5862493768.5523,5691154554.8071,5817537966.5187,7101508104.6045,7278566538.0995,8487381750.5371,8745970599.2781,9930456381.3355,10422829935.0726,10513342613.8526,9704586301.4683,8499130220.2833,9456563053.1445,9104169279.5511,9383958348.1866,9438538348.7832,10408087513.3617,10889881245.3778,11620017550.8709,13587483698.5426,14846454842.4433,16681820070.7643,17734823184.5891,7287631677.95
"Other DoD","Other DoD",1180723000,1503262000,1968547386,1981358758,873629570,883956094,753647954,892535436,1027138644,1115713656.4,914172128.163,888546311.8225,1342965933.5564,1705487856.5624,1857584583.7035,2647631502.8363,3173427630.2524,2142895902.2958,2444537443.9347,2766412687.6985,3240467836.8076,3219972170.7542,3228172055.8206,3472306607.6286,3962513462.3601,4286888904.2445,4468940829.7179,4559584482.6491,4900339742.6699,5964341196.585,6771988704.532,7736901201.1874,7990704621.3767,9773375544.6675,10591194020.92,4541625094.08
