"Vehicle.AwardTask","Vehicle.sum7","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Award","Definitive",2127000,1755000,17932000,11224000,4190000,10793045,17742532,555624033,728413158,803825522,6278406790.4697,5465086499.03,6870303614.31,7766156014.89,8176281496.69,9126333807.63,9361270093.04,9065766792.36,9040425044.73,10925233121.79,11008792630.0225,11009219363.5727,10980232780.6897,9970854297.719,9677440172.8192,10147013625.7694,9322212322.9952,9381105885.3315,10761999120.64,12397801877.55,13085261690.91,17537064556.54,19466900351.97,23390878218.27,24507653654.18,11235667519.15
"Award","Pur. Order",6898000,8113000,7840000,7125000,7343000,899000,21949000,1641248,10455988,37984454,180613800,207696935.67,277660182.21,334222378.09,438331188.49,626849177.53,652063984.15,699164742.54,792044934.93,918793300.56,872109741.0526,801172094.9605,596522963.9351,465788094.4349,483115576.5811,567640151.8912,591571433.1707,590575483.5991,622926722.47,724461726.17,666782257.89,711496882.06,711734688.39,1412432483.72,1488996736.33,313118448.57
"Task Order","BOA or BPA",171000,648000,103000,28000,,,,930028,2332568,324485,1927173,3651959,439591,260024,370965,87547,37950,54446.4219,30170,849903.3301,84242720.7509,298802539.2281,789956793.0662,985009664.2154,1194626342.119,1585340035.0667,1787921798.0502,2049423567.6582,1904746120.7358,1939781754.5262,2073723677.4955,1797328810.9802,1399696959.2607,1691169098.2859,1911401411.45,1002996314.33
"Task Order","FSS or GWAC",,,230000,,,476000,3256000,3908937,67603101,152444986,605566107.9453,916370419.4629,1235689363.4805,1658052567.8712,2175299950.6565,2951010598.0231,3394566656.7065,2970542715.9881,2761271674.04,2608574574.8196,2335295065.6495,2145932873.8538,1833075702.8907,1713437786.1735,1686748867.9642,1628933794.2094,1539369582.6028,1613990679.2395,1706351845.3602,1999044605.5854,2259337965.4025,2396469280.852,2419031761.2282,2772522734.7615,2918484526.52,1204267722.12
"Task Order","Multi-Awd.",,,,,,,,111334608,204940982,573224781.22,1071904646.3984,1207084352.6701,2015886273.5,2028124934.1753,2480027371.2314,3300173830.0039,4309686557.4087,5555589628.7925,6878851496.1828,8250297523.6334,9496243886.2755,10137603037.2029,10914447534.5452,10069410767.4191,9815149779.799,9644687925.279,10757197439.5072,11904481529.1121,13421652171.7755,14441817067.395,15218232632.9083,17298986009.2756,18496126704.9786,21719588676.5611,24547112938.89,10207389091.3
"Task Order","Single-Awd.",453000,3112000,5528000,3214000,8582000,10262000,5612000,466901945.06,619120675,1241669745.76,4189483084.2503,4602782456.0834,5410658032.5309,6606173121.3013,7236514368.6493,9397697893.0491,10994620968.3761,11992396599.3834,14320191812.6175,15815791298.1373,16164550098.9122,15337749620.6281,14847082168.8783,10726833438.9235,10456230342.4903,9468955480.112,9266208430.0335,9453753816.6251,10271395659.6553,10859038865.6454,10783769996.4566,12421182003.7164,12519645840.293,16431518464.1799,20796425477.9191,9656811176.91
"Task Order","Unlbd. IDV",54000,46000,,,,,0,24963227,28454547,37096946,96033343,21796311,27142569,32348182,31872970,23255737,8933462.15,12638272.1719,621016.9453,75220.6899,300839.9992,126032.7969,31803,25370,-97892.58,,-954863.53,75961,,,88463,,,,,0
,,7773865381,7927436229,8786567450,8567595442,8463162454,8878189431,9287693638,9695769466,10804672536,11285682035,,,,,,,,,,,,0,,,,,,,,,,0,0,0,0,0
