"Shiny.VendorSize","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Big Five",330073000,472427444,452168607,395233273,448991727,589287746,740014641,1105622392,1149671004,1252418468,1545845785,1314647806.2202,2247925267.9375,2713213577.7642,3045257370.6194,3704630963.7345,4768091736.3777,4138593618.7726,4496701677.6414,4233906188.2285,4721997364.105,4267456789.2419,3754451718.6249,3343802748.0109,2922902414.8458,3717760681.9788,3597293396.4982,3301864302.832,4140595772.8173,5305644179.2614,5108794847.6822,8689990293.7552,,
"Large",1081405000,1454618228,2203684312,2239499956,1835575081,1603583152,2063478749,2621089496,2851346475,3268640940,3853117741.1094,3683492050.8355,4857032577.1149,6510140491.6926,6589331998.5954,8525968264.5287,10286763248.8561,10879121919.9568,11790996481.804,12316336299.0233,13183270618.3463,13892103506.66,13937391916.7212,12151539962.0475,11322904167.3808,10614442780.6441,9908028998.8953,9646852857.1668,10422659436.0829,10287713072.3966,10759170173.2061,11750840278.0262,,
"Medium",4009749617,3489204449,3487856091,3281043437,3319114900,3708703449,3203314946,3328406015,3980625264,3728290363,4162424911.7831,4478019780.9509,5108527788.2271,5213784821.3668,6114088339.0246,6878279487.4023,6716496086.412,7898862294.3312,9205103627.8121,11934549524.1454,12350574978.0759,11995269581.8639,13062026115.5996,9769689768.8907,9721083996.0592,8164568259.9278,8109956678.8508,8867588810.0816,10138284134.8965,12170385496.7032,12634534318.3246,14461519830.0582,36229984337.8681,22928079072.9787
"Small",1558326764,1638509648,1929191746,1995899626,2098399210,2403416747,2692115503,2549525532,2653106481,3024125973,2855671666.1712,2945335917.8956,3616297306.8716,3985797175.4446,4783058821.9025,6292483776.7125,6912025427.9456,7368903630.947,8310901217.9534,9492638621.1493,9335316859.7283,9338196534.1993,9168398384.6332,8643652076.0794,9492106174.8341,10651129870.6159,11744014208.2883,12827293048.7613,13945486771.5754,14779925020.0068,15675600811.1646,17219581650.0197,18750411427.524,8523061819.1779
"Unlabeled",794311000,872676460,713666694,655919150,761081536,573198337,588769799,91126031,169923312,12206291,35226,587948,7996669,2401147,6961778.8065,24046094.8917,37803182.2658,10671741.4036,-9840892.2424,542037481.8118,482704760.5842,369241878.5332,199465829.8355,35466332.72,13015135.24,-2174615.9985,8730351.3892,15590302.7128,5378274.6834,6862291.005,69195720.7798,30642474.3493,0,
