"Shiny.VendorSize","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Big Five",23311428707,26927746769,25152680124,25157911415,29421684124,28681560222,32730840993,34627617203,37288669184,39481622310,42875370828.2254,45999419961.2397,60029927177.4668,70124769978.1242,72897637493.5973,73996171858.8927,88562987545.2623,99127200299.4898,105179686454.836,107251666814.675,96938455561.3224,109466888590.19,105328351728.117,96470039134.8329,82023892386.7645,81896241039.7281,102881694960.183,112391466999.317,113267572224.72,123632452590.874,152784034072.721,
"Large",41458893888,42881341527,39514535580,38747382573,33268434150,28470996499,30079218159,29040626459,28132638129,29676588006,36651835515.0772,36135811278.5322,42560382743.9166,60699986855.5451,72021695848.7276,83045838788.0916,92307209581.7089,106169836282.891,131456891037.964,127236827356.615,124151237660.826,119005494964.953,119069863176.5,99510160389.0129,91718651379.2909,85951761758.6881,84344300828.501,89100787695.707,104972399991.427,108420771039.411,110879260312.259,
"Medium",29347879806,41190437793,35052223635,34174642796,32323903594,35320163406,30462804325,30280507087,30397810091,32561099084,31123564407.8081,38755476749.5367,39456561629.4213,47420072982.1578,48107882314.7776,57851157286.0329,61436003302.2191,65738603367.3646,76898319169.6555,81962137659.316,78294694777.2183,79192039093.9494,73738772038.7335,61671072051.2035,55290536887.0865,53129400624.7717,53724800108.1534,59208022035.0984,70084298830.4812,77887585194.1059,81924281388.9499,303230853503.732
"Small",13442940635,19368621588,17619148645,17645755667,18075942350,19041220687,19347386695,17935167241,17289042912,19014032352,20609744690.8267,21740877549.2927,26133962216.3863,32611851932.2165,34814436933.6699,43408486385.3636,45677330696.9738,49920583652.335,54904907963.7414,59330280718.9586,57983048214.5387,56270555618.862,56103618014.7797,47067373016.7635,53357758234.8861,52415027443.9992,56342142963.2805,59164767969.5183,70075815542.8092,73240345514.8921,75640309238.5993,83282282713.1867
"Unlabeled",12788986369,5786046167,6068072566,5647689691,4071938507,5078074054,5828528926,4098233889,3857721851,1451694736,900460863.45,1333268377.3596,1578178717.5636,674675465.0504,1784058176.0791,7202867581.9221,7100031772.1613,7010403784.4896,9215177663.7328,5301297671.5126,4811342087.0799,4239194287.7461,3034383238.4543,1543435791.2686,659522423.3848,540236205.0285,737581287.3478,518382042.1777,232705770.1764,370959641.2267,79764232.5513,10000
