"CalendarYear","exclude","NAICS_Code","naics_text","obl","cont_count","hh_index","pct_sum_check","top4","top8","top12","top20","top50","mismatch"
1999,FALSE,"33441",NA,25054180,11,7613.46251365458,1,0.984448463290357,1,1,1,1,NA
1999,FALSE,"33451",NA,312007507,50,5166.39868662616,1,0.936334417868753,0.981133223545775,0.992475729474562,0.996801594958517,1,NA
1999,FALSE,"33461",NA,611514,1,10000,1,1,1,1,1,1,NA
1999,FALSE,"33512",NA,0,1,NA,0,NA,NA,NA,NA,NA,NA
1999,FALSE,"33522",NA,309991,4,3767.82301953439,1,1,1,1,1,1,NA
1999,FALSE,"33531",NA,23874842,9,9598.17078657556,1,0.996488646919632,1,1,1,1,NA
1999,FALSE,"33591",NA,118644,1,10000,1,1,1,1,1,1,NA
1999,FALSE,"33593",NA,100132,2,5576.61274566141,1,1,1,1,1,1,NA
1999,FALSE,"33599",NA,5160640,12,3105.08401836627,1,0.909144408445464,0.974979653686365,1,1,1,NA
1999,FALSE,"33612",NA,65531,1,10000,1,1,1,1,1,1,NA
1999,FALSE,"33621",NA,212785,7,5033.37623733742,1,1,1,1,1,1,NA
1999,FALSE,"33639",NA,1231751,5,9198.18882677644,1,1,1,1,1,1,NA
1999,FALSE,"33641",NA,3686570240,142,1390.05672387322,1,0.616802661680954,0.755273815129594,0.850752881835327,0.95742497473045,1,NA
1999,FALSE,"33661",NA,1357271990,22,3598.71568929392,1,0.996910788676925,0.999841165218476,1,1,1,NA
1999,FALSE,"33699",NA,139396,7,10000,1,1,1,1,1,1,NA
1999,FALSE,"33712",NA,3319487,12,1715.6801719734,1,0.705860875490701,0.925642124822299,1,1,1,NA
1999,FALSE,"33721",NA,7747868,31,1062.32069524241,1,0.547676728617473,0.745796391988093,0.842672590704953,0.941993720078866,1,NA
1999,FALSE,"33911",NA,4213526,30,2979.37933458218,1,0.760328997613875,0.89596433011212,0.958423657525787,1,1,NA
1999,FALSE,"33992",NA,1957965,8,3390.61422202352,1,0.895852581634503,1,1,1,1,NA
1999,FALSE,"33993",NA,76548,1,10000,1,1,1,1,1,1,NA
1999,FALSE,"33995",NA,56315,2,5010.05181743915,1,1,1,1,1,1,NA
1999,FALSE,"33999",NA,53629,30,5009.12474601654,1,1,1,1,1,1,NA
1999,FALSE,"42141",NA,0,1,NA,0,NA,NA,NA,NA,NA,"Reassigned in 2002"
1999,FALSE,"42143",NA,3107421,12,NA,1,NA,NA,NA,NA,NA,"Reassigned in 2002"
1999,FALSE,"42145",NA,82659,2,NA,1,NA,NA,NA,NA,NA,"Reassigned in 2002"
1999,FALSE,"42185",NA,197999,1,NA,1,NA,NA,NA,NA,NA,"Reassigned in 2002"
1999,FALSE,"42292",NA,27975,1,NA,1,NA,NA,NA,NA,NA,"Reassigned in 2002"
1999,FALSE,"42343",NA,48218,1,10000,1,1,1,1,1,1,NA
1999,FALSE,"42345",NA,0,3,NA,0,NA,NA,NA,NA,NA,NA
1999,FALSE,"42346",NA,0,1,NA,0,NA,NA,NA,NA,NA,NA
1999,FALSE,"42361",NA,0,3,NA,0,NA,NA,NA,NA,NA,NA
1999,FALSE,"42362",NA,125512,1,10000,1,1,1,1,1,1,NA
1999,FALSE,"42371",NA,0,1,NA,0,NA,NA,NA,NA,NA,NA
1999,FALSE,"42372",NA,0,1,NA,0,NA,NA,NA,NA,NA,NA
1999,FALSE,"42383",NA,0,6,NA,0,NA,NA,NA,NA,NA,NA
1999,FALSE,"42384",NA,0,1,NA,0,NA,NA,NA,NA,NA,NA
1999,FALSE,"42385",NA,29223,1,10000,1,1,1,1,1,1,NA
1999,FALSE,"42386",NA,0,1,NA,0,NA,NA,NA,NA,NA,NA
1999,FALSE,"42399",NA,0,1,NA,0,NA,NA,NA,NA,NA,NA
1999,FALSE,"42411",NA,0,1,NA,0,NA,NA,NA,NA,NA,NA
1999,FALSE,"42421",NA,0,1,NA,0,NA,NA,NA,NA,NA,NA
1999,FALSE,"42441",NA,0,1,NA,0,NA,NA,NA,NA,NA,NA
1999,FALSE,"42445",NA,0,1,NA,0,NA,NA,NA,NA,NA,NA
1999,FALSE,"42469",NA,0,1,NA,0,NA,NA,NA,NA,NA,NA
1999,FALSE,"42495",NA,0,1,NA,0,NA,NA,NA,NA,NA,NA
1999,FALSE,"44131",NA,211218,4,5195.93410423339,1,1,1,1,1,1,NA
1999,FALSE,"44132",NA,195390.9815,1,10000,1,1,1,1,1,1,NA
1999,FALSE,"44312",NA,174882618,91,897.679406101934,1,0.477324716170477,0.646524716367181,0.762189053002397,0.858745012611831,0.975812444665027,NA
1999,FALSE,"44413",NA,30600,1,10000,1,1,1,1,1,1,NA
1999,FALSE,"44815",NA,0,1,NA,0,NA,NA,NA,NA,NA,NA
1999,FALSE,"45111",NA,333643,1,10000,1,1,1,1,1,1,NA
1999,FALSE,"45311",NA,0,1,NA,0,NA,NA,NA,NA,NA,NA
1999,FALSE,"45431",NA,1183353,4,2920.11233302827,1,1,1,1,1,1,NA
1999,FALSE,"48111",NA,100740,1,10000,1,1,1,1,1,1,NA
1999,FALSE,"48121",NA,5428749,1,10000,1,1,1,1,1,1,NA
1999,FALSE,"48311",NA,47088613,4,4805.79337602431,1,1,1,1,1,1,NA
1999,FALSE,"48411",NA,0,12,NA,0,NA,NA,NA,NA,NA,NA
1999,FALSE,"48421",NA,0,2,NA,0,NA,NA,NA,NA,NA,NA
1999,FALSE,"48531",NA,0,1,NA,0,NA,NA,NA,NA,NA,NA
1999,FALSE,"48541",NA,329505,3,4777.02550000163,1,1,1,1,1,1,NA
1999,FALSE,"48811",NA,288450,1,10000,1,1,1,1,1,1,NA
1999,FALSE,"48819",NA,38252092,4,4868.58242497253,1,1,1,1,1,1,NA
1999,FALSE,"48831",NA,7010000,2,9971.51002948712,1,1,1,1,1,1,NA
1999,FALSE,"48899",NA,0,1,NA,0,NA,NA,NA,NA,NA,NA
1999,FALSE,"49211",NA,0,5,NA,0,NA,NA,NA,NA,NA,NA
1999,FALSE,"49311",NA,0,1,NA,0,NA,NA,NA,NA,NA,NA
1999,FALSE,"49319",NA,-5793.6802,1,NA,0,NA,NA,NA,NA,NA,NA
1999,FALSE,"51112",NA,2410343,2,7580.30380709745,1,1,1,1,1,1,NA
1999,FALSE,"51113",NA,26680,1,10000,1,1,1,1,1,1,NA
1999,FALSE,"51119",NA,673554,2,6141.61954912762,1,1,1,1,1,1,NA
1999,FALSE,"51121",NA,4477253,10,2717.28913522908,1,0.844413527669756,0.991476916761237,1,1,1,NA
1999,FALSE,"51321",NA,114408,1,NA,1,NA,NA,NA,NA,NA,"Reassigned in 2002"
1999,FALSE,"51331",NA,26455159,7,NA,1,NA,NA,NA,NA,NA,"Reassigned in 2002"
1999,FALSE,"51332",NA,240319,3,NA,1,NA,NA,NA,NA,NA,"Reassigned in 2002"
1999,FALSE,"51339",NA,29537356,1,NA,1,NA,NA,NA,NA,NA,"Reassigned in 2002"
1999,FALSE,"51419",NA,426257,1,NA,1,NA,NA,NA,NA,NA,"Reassigned in 2002"
1999,FALSE,"51421",NA,128712,1,NA,1,NA,NA,NA,NA,NA,"Reassigned in 2002"
1999,FALSE,"51521",NA,96195,2,10000,1,1,1,1,1,1,NA
1999,FALSE,"51711",NA,6841048,10,3954.67494794212,1,0.951435652341245,0.995633173788912,1,1,1,NA
1999,FALSE,"51721",NA,41616,3,10000,1,1,1,1,1,1,NA
1999,FALSE,"51811",NA,4719645,3,NA,1,NA,NA,NA,NA,NA,"Reassigned in 2007"
1999,FALSE,"51821",NA,22249264,18,3887.91067865835,1,0.848562541214846,0.935270038595434,0.968394415204026,1,1,NA
1999,FALSE,"53229",NA,86527,1,10000,1,1,1,1,1,1,NA
1999,FALSE,"53241",NA,37500,2,10000,1,1,1,1,1,1,NA
1999,FALSE,"53249",NA,174931,2,10000,1,1,1,1,1,1,NA
1999,FALSE,"54111",NA,563046,1,10000,1,1,1,1,1,1,NA
1999,FALSE,"54121",NA,12500385,4,5309.38617629427,1,1,1,1,1,1,NA
1999,FALSE,"54131",NA,8092439,5,9773.29336457655,1,0.998692236048983,1,1,1,1,NA
1999,FALSE,"54133",NA,843622078.625,93,1664.06273317745,1,0.769699568799297,0.910470045757191,0.950829485370988,0.974021011373364,0.999231462505386,NA
1999,FALSE,"54135",NA,0,1,NA,0,NA,NA,NA,NA,NA,NA
1999,FALSE,"54138",NA,5270382,3,5976.91154570271,1,1,1,1,1,1,NA
1999,FALSE,"54141",NA,22449,1,10000,1,1,1,1,1,1,NA
