"","x"
"(Intercept)",1.79647689659491
"cl_def3_HHI_lag1",-0.12658116168838
"cl_def3_ratio_lag1",-0.0293358839178034
"cl_def6_HHI_lag1",0.00243942822290788
"cl_def6_ratio_lag1",0.0355370492025946
"cl_def6_obl_lag1",0.233453707879849
"cl_US6_avg_sal_lag1",0.10474758093055
"cl_Ceil",-0.00980155056673171
"cl_Days",0.0447061225775414
"VehS-IDC",-0.0231489682635884
"VehM-IDC",-0.053962073578984
"VehFSS/GWAC",0.0184002895597684
"VehBPA/BOA",-0.115558282308256
"PricingFeeOther FP",0.45730598141624
"PricingFeeIncentive",-0.0445562355740557
"PricingFeeCombination or Other",-0.0529570929569497
"PricingFeeOther CB",-0.242721328050945
"PricingFeeT&M/LH/FPLOE",-0.012441204880462
"UCAUCA",-0.168624380895066
"b_Intl",-0.186397508542128
"cl_def6_HHI_lag1:b_UCA",-0.0986023373635646
"VehS-IDC:b_Intl",0.340042056749009
"VehM-IDC:b_Intl",0.189718514906907
"VehFSS/GWAC:b_Intl",0.0537521920252
"VehBPA/BOA:b_Intl",0.119589037466139
