"PlatformPortfolio","SimpleArea","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Aircraft","Products (All)",23169416032,21577259403,21110756065,19725885361,19759492318,15805557796,18517650074,15632937951,16728064984,19274517915,26114079621,27141144861.8691,28265019799.4209,33133600237.3394,32818325234.2324,31382304306.9078,36026066086.7943,41644903044.3252,46798006461.3777,44333289503.2436,43060063473.2771,50334655738.2198,55611594642.0483,54363206020.7543,40816501247.4076,43915028068.8447,56936274960.6941,65508323923.832,64624733034.2828,69597674471.8515,83528601979.3114,52326423855.1768,54803142102.6301
"Electronics, Comms, & Sensors","Products (All)",11699352314,10080476897,8530959036,8118370823,7377961002,8417885121,7995252233,7565827352,7416872275,8226211165,8681166588.0859,8960890968.297,10510880756.0052,13811317937.528,16071809764.2425,18714290320.4302,20851700007.2243,23747471040.7237,26019249557.6501,23828283456.6753,24777613207.658,21377065824.3067,21456238469.0075,17543203181.0137,18065283123.7113,18283677098.3296,19631262836.7395,21269729912.1477,23524635427.831,25113968030.9133,23229321832.7894,20834839535.6647,23684735437.3981
"Facilities and Construction","Products (All)",1680112769,2119413788,1829180220,1635053021,1577483159,1671229891,1463642486,1406219609,1292091230,1575972380,1668613630,2072508343.2202,2697613090.4118,3963860438.4783,4590311359.7673,5278485921.4666,6227136852.4949,6439818924.4898,7467054476.0888,7950301225.3057,8038192005.8425,8015968857.6265,6052159584.7874,4403364850.409,4676833342.6827,4677987076.0478,4597654174.1148,5448309765.1018,6210191484.5009,6057273966.0372,6138964590.7731,7714580278.2223,7541275298.8653
"Land Vehicles","Products (All)",3597409000,5768448183,3439853184,3666795123,2930131504,2309272172,2623635564,2737327075,2121719228,2777452514,2782364582.4375,2367420117.2578,4062575750.7466,8793972764.472,7076340883.1739,11422687919.7695,10969913694.038,23070684262.292,34774115518.5101,23564781380.0631,22479997339,17376702346.8245,9856459006.7874,6215287777.4871,4946270470.6479,6334173895.1973,6416981325.1237,7123820041.9618,9981538520.4861,10626125994.0552,9557768894.6335,7278255950.0575,8636481518.3467
"Missile Defense","Products (All)",1431051000,2392678106,934431536,1935355998,1378215063,1068422788,1108552673,1492805862,1000862100,1056388010,438028788,1227012243,2635649216,2586389839,3564590595,3642275559,3621166404.9815,4431952449.5023,4160462379.7407,4971226522.1374,4946959798.9355,6325432244.9797,6673172924.4838,7177473408.211,4843676471.603,6001774318.3246,6586950913.1606,4887807618.3511,9791618994.3741,10400546619.5339,14875990117.5596,6853691022.7873,8292975143.6667
"Ordnance and Missiles","Products (All)",8492487000,10698859090,9148334770,7701756762,5208277732,5188044803,5566473679,5286469242,5534108847,5728593520,5387457641.9,5887545672.24,7398346825.3984,8678466719.9405,10201294034.4571,11129501300.1909,11499301329.7339,12474206786.1765,15653343914.9606,13719113992.3125,13586202607.7752,12855154794.0245,12892701309.1697,10855286946.7354,10152307688.7663,10996702242.881,13477801990.1194,14822118119.9571,18082273836.9774,19580070997.6178,20108770203.8218,17759219348.0871,16940866750.186
"Other Products","Products (All)",10893531000,13665728115,9670567147,10550437083,8625703645,8564693193,9626815429,9689390520,8558812514,7673146029,8636545116.09,10224434780,13387006717.2415,15538836605.4263,18316466295.3947,31831853784.5399,34635652171.2251,34283632888.6748,39101725917.6713,35585850270.6735,29121536359.5554,30007007163.88,35357832226.4521,26464056854.4453,24267856901.2681,21069110791.9282,19406249663.8794,21576572063.2504,25383398093.2805,23212631381.3324,25527192155.9656,53500803484.4715,58510847251.7136
"Ships & Submarines","Products (All)",6546714000,6476365096,5042860266,6618143070,4406458273,6404497166,4969921341,5075056453,5006150547,5177192817,5618916525,6760293113,7001570744.9004,7557297490.9402,10006134216.3902,8812015764.4136,10954908027.9909,10779957104.9136,13082410892.0628,15825749717.9888,12806472617.7794,23500087784.7764,19697880253.9823,18936235987.4811,19508793986.1486,17513429163.4978,20462857906.4086,22571867090.797,25017365607.1345,27624087271.0338,34506821976.0681,26998423739.1919,29945989173.6608
"Space Systems","Products (All)",870648000,604167000,383787864,347908293,249118389,262005028,321493244,392746576,439513666,313296174,266733768,414212178,909008016,826341309,1194108799,1174917874,1477929696,1612576369.4044,2930660649.3006,3870303117.0769,3187840055.2305,3297423372.5833,3953911174.6041,1678877823.2501,2099220070.6584,1008265757.749,1131256627.8225,409163889.8859,537632041.1166,1045878749.8417,638338748.2632,965171477.9357,1344583226.3012
