"EntityID","fiscal_year","EntityText","EntityCategory","EntitySizeCode","EntitySizeText","AnyEntitySizeGlitch","UnknownCompany","IsEntityAbove2018constant10ThousandThreshold","AnyEntityUSplaceOfPerformance","AnyEntityForeignPlaceOfPerformance","Action_Obligation_Then_Year","ObligatedAmountIsSmall","MajorityNotSmall","ObligatedAmount_OMB20_GDP20","NumberOfActions","first_year_2018T","last_year_2018T","active_2007_to_2016","first_year","first_graduate","AnyMajorityNotSmallNA"
342038,2007,"194601399","PDuns-1","S","Always Small Vendor",FALSE,NA,1,1,0,54470,54470,0,67689.8222940226,1,2007,2007,1,2007,NA,FALSE
572576,2007,"796585995","PDuns-1","S","Always Small Vendor",FALSE,NA,1,1,0,47670,47670,0,59239.468124767,4,2007,2007,1,2007,NA,FALSE
574359,2007,"805342206","PDuns-1","S","Always Small Vendor",FALSE,NA,1,1,0,114230,114230,0,141953.523052069,3,2007,2007,1,2007,NA,FALSE
563137,2007,"788303886","PDuns-1","S","Always Small Vendor",FALSE,NA,1,1,0,10000,10000,0,12426.9914253759,1,2007,2007,1,2007,NA,FALSE
353989,2007,"159596910","PDuns-1","S","Always Small Vendor",FALSE,NA,1,1,0,16425,16425,0,20411.3334161799,3,2007,2007,1,2007,NA,FALSE
33323,2007,"049947120","PDuns-1","S","Always Small Vendor",FALSE,NA,1,1,0,23260,23260,0,28905.1820554244,1,2007,2007,1,2007,NA,FALSE
217396,2007,"112290598","PDuns-1","S","Always Small Vendor",FALSE,NA,1,1,0,6000,6000,0,7456.19485522555,1,2007,2014,8,2004,NA,FALSE
584227,2007,"941848962","PDuns-1","S","Always Small Vendor",FALSE,NA,1,1,0,9655,9655,0,11998.2602212004,1,2007,2007,1,2006,NA,FALSE
518535,2007,"785305926","PDuns-1","S","Always Small Vendor",FALSE,NA,1,1,0,71320,71320,0,88629.302845781,2,2007,2010,4,2007,NA,FALSE
103830,2007,"014214212","PDuns-1","S","Always Small Vendor",FALSE,NA,1,1,0,58000,58000,0,72076.5502671803,2,2007,2016,3,2007,2017,FALSE
372968,2007,"364060863","PDuns-1","S","Always Small Vendor",FALSE,NA,1,1,0,58468,58468,0,72658.1334658879,5,2007,2007,1,2007,NA,FALSE
687682,2007,"965955768","PDuns-1","S","Always Small Vendor",FALSE,NA,1,1,0,45835,45835,0,56959.1151982105,1,2007,2008,2,2006,NA,FALSE
407768,2007,"605612501","PDuns-1","S","Always Small Vendor",FALSE,NA,1,1,0,334660.5938,334660.5938,0,415882.432956381,2,2007,2020,10,2007,NA,FALSE
314958,2007,"168924285","PDuns-1","S","Always Small Vendor",FALSE,NA,1,1,0,45183.61,45183.61,0,56149.633403753,10,2007,2009,3,2007,NA,FALSE
419679,2007,"618558311","PDuns-1","S","Always Small Vendor",FALSE,NA,1,1,0,99940,99940,0,124195.352305207,2,2007,2013,7,2007,NA,FALSE
440094,2007,"780027194","PDuns-1","S","Always Small Vendor",FALSE,NA,1,1,0,0,0,0,0,1,2007,2015,8,2007,2009,FALSE
496963,2007,"784237476","PDuns-1","S","Always Small Vendor",FALSE,NA,1,1,0,320000,320000,0,397663.725612029,1,2007,2020,10,2007,NA,FALSE
10392,2007,"031251981","PDuns-1","S","Always Small Vendor",FALSE,NA,1,1,0,10000,10000,0,12426.9914253759,1,2007,2007,1,2007,NA,FALSE
679277,2007,"957675309","PDuns-1","S","Always Small Vendor",FALSE,NA,1,1,0,12462,12462,0,15486.5167143035,1,2007,2007,1,2007,NA,FALSE
236230,2007,"129848136","PDuns-1","S","Always Small Vendor",FALSE,NA,1,1,0,20000,20000,0,24853.9828507518,1,2007,2009,2,2007,NA,FALSE
120031,2007,"037648946","PDuns-1","S","Always Small Vendor",FALSE,NA,1,1,0,37468,37468,0,46561.4514725985,4,2007,2012,3,2007,NA,FALSE
688331,2007,"966325847","PDuns-1","S","Always Small Vendor",FALSE,NA,1,1,0,9317,9317,0,11578.2279110227,2,2007,2007,1,2007,NA,FALSE
502234,2007,"800151800","PDuns-1","S","Always Small Vendor",FALSE,NA,1,1,0,0,0,0,0,1,2007,2020,10,2007,NA,FALSE
1156709,2007,"PROVIDE IT SUPPLIES","Name","S","Always Small Vendor",FALSE,NA,1,1,1,8002,8002,0,9944.07853858581,1,2007,2007,1,2007,NA,FALSE
32860,2007,"041331315","PDuns-1","S","Always Small Vendor",FALSE,NA,1,NA,NA,0,0,0,0,0,2007,2008,2,2007,NA,FALSE
287459,2007,"085018526","PDuns-1","S","Always Small Vendor",FALSE,NA,1,1,0,26220,26220,0,32583.5715173357,1,2007,2007,1,2007,NA,FALSE
510379,2007,"800579554","PDuns-1","S","Always Small Vendor",FALSE,NA,1,1,0,2501,2501,0,3107.99055548652,1,2007,2020,8,2007,NA,FALSE
505793,2007,"800316585","PDuns-1","S","Always Small Vendor",FALSE,NA,1,1,0,31010,31010,0,38536.1004100907,3,2007,2007,1,2007,NA,FALSE
292234,2007,"145862426","PDuns-1","S","Always Small Vendor",FALSE,NA,1,NA,NA,14000,14000,0,17397.7879955263,0,2007,2008,2,2007,NA,FALSE
67755,2007,"006143747","PDuns-1","S","Always Small Vendor",FALSE,NA,1,1,0,30826,30826,0,38307.4437678638,1,2007,2020,5,2007,NA,FALSE
576465,2007,"805479750","PDuns-1","S","Always Small Vendor",FALSE,NA,1,1,0,10812,10812,0,13436.0631291164,1,2007,2011,5,2007,NA,FALSE
521472,2007,"801202628","PDuns-1","S","Always Small Vendor",FALSE,NA,1,1,0,15444.2803,15444.2803,0,19192.5938859202,1,2007,2011,4,2007,NA,FALSE
546492,2007,"802864558","PDuns-1","S","Always Small Vendor",FALSE,NA,1,1,0,52184,52184,0,64849.0120541817,17,2007,2011,5,2007,NA,FALSE
373958,2007,"161290288","PDuns-2+","S","Always Small Vendor",FALSE,NA,1,1,0,260680,260680,0,323946.812476699,1,2007,2013,7,2007,2009,FALSE
354680,2007,"159659890","PDuns-1","S","Always Small Vendor",FALSE,NA,1,1,0,81022.4766,81022.4766,0,100686.562197092,1,2007,2007,1,2007,NA,FALSE
278889,2007,"145456930","PDuns-1","S","Always Small Vendor",FALSE,NA,1,1,0,157590.8438,157590.8438,0,195838.006462036,3,2007,2017,8,2007,NA,FALSE
512929,2007,"800749744","PDuns-1","S","Always Small Vendor",FALSE,NA,1,1,0,29300,29300,0,36411.0848763514,1,2007,2013,6,2007,NA,FALSE
426221,2007,"619075265","PDuns-1","S","Always Small Vendor",FALSE,NA,1,1,0,135019.5487,135019.5487,0,167788.677395303,1,2007,2011,5,2007,2013,FALSE
259324,2007,"122640811","PDuns-1","S","Always Small Vendor",FALSE,NA,1,1,0,1248,1248,0,1550.88852988691,5,2007,2018,10,2007,NA,FALSE
528705,2007,"627235620","PDuns-1","S","Always Small Vendor",FALSE,NA,1,1,0,24000,24000,0,29824.7794209022,1,2007,2008,2,2006,NA,FALSE
491036,2007,"623879827","PDuns-1","S","Always Small Vendor",FALSE,NA,1,1,0,0,0,0,0,1,2007,2011,5,2007,NA,FALSE
492998,2007,"784088937","PDuns-1","S","Always Small Vendor",FALSE,NA,1,1,0,20000,20000,0,24853.9828507518,1,2007,2012,6,2007,NA,FALSE
564939,2007,"804529097","PDuns-1","S","Always Small Vendor",FALSE,NA,1,1,0,28163.6106,28163.6106,0,34998.8947433826,4,2007,2007,1,2005,NA,FALSE
285588,2007,"084595532","PDuns-1","S","Always Small Vendor",FALSE,NA,1,1,0,92263,92263,0,114655.150987946,3,2007,2009,3,2007,NA,FALSE
638643,2007,"967973728","PDuns-1","S","Always Small Vendor",FALSE,NA,1,1,0,15639,15639,0,19434.5718901454,1,2007,2007,1,2007,NA,FALSE
404159,2007,"185826203","PDuns-1","S","Always Small Vendor",FALSE,NA,1,1,0,30600,30600,0,38026.5937616503,3,2007,2007,1,2007,NA,FALSE
605448,2007,"798831660","PDuns-1","S","Always Small Vendor",FALSE,NA,1,1,0,40000,40000,0,49707.9657015037,1,2007,2007,1,2007,NA,FALSE
479950,2007,"783265155","PDuns-1","S","Always Small Vendor",FALSE,NA,1,1,0,16500,16500,0,20504.5358518703,1,2007,2013,5,2007,NA,FALSE
295877,2007,"167293153","PDuns-1","S","Always Small Vendor",FALSE,NA,1,1,0,13641459,13641459,0,16952229.4022617,5,2007,2020,10,2007,NA,FALSE
534947,2007,"801952164","PDuns-1","S","Always Small Vendor",FALSE,NA,1,1,0,154000,154000,0,191375.667950789,2,2007,2016,7,2007,NA,FALSE
447662,2007,"621277180","PDuns-1","S","Always Small Vendor",FALSE,NA,1,1,0,35156,35156,0,43688.3310550516,1,2007,2008,2,2007,NA,FALSE
323551,2007,"179382130","PDuns-1","S","Always Small Vendor",FALSE,NA,1,1,0,87400,87400,0,108611.905057786,1,2007,2010,4,2007,NA,FALSE
431283,2007,"565610516","PDuns-1","S","Always Small Vendor",FALSE,NA,1,1,1,33506,33506,0,41637.8774698646,1,2007,2014,5,2007,2009,FALSE
527836,2007,"827129586","PDuns-1","S","Always Small Vendor",FALSE,NA,1,1,0,33539.25,33539.25,0,41679.1972163539,2,2007,2007,1,2007,NA,FALSE
608791,2007,"945494326","PDuns-1","S","Always Small Vendor",FALSE,NA,1,1,0,10537,10537,0,13094.3208649186,2,2007,2007,1,2007,NA,FALSE
325676,2007,"128602042","PDuns-1","S","Always Small Vendor",FALSE,NA,1,1,0,7241,7241,0,8998.3844911147,2,2007,2016,10,2007,NA,FALSE
450561,2007,"601164630","PDuns-1","S","Always Small Vendor",FALSE,NA,1,1,0,45989.9609,45989.9609,0,57151.6849757674,1,2007,2007,1,2007,NA,FALSE
533038,2007,"830965856","PDuns-1","S","Always Small Vendor",FALSE,NA,1,1,0,59970,59970,0,74524.6675779794,2,2007,2007,1,2004,NA,FALSE
151387,2007,"058945007","PDuns-1","S","Always Small Vendor",FALSE,NA,1,1,0,640072,640072,0,795416.925562321,3,2007,2010,3,2007,NA,FALSE
551920,2007,"794762257","PDuns-1","S","Always Small Vendor",FALSE,NA,1,1,0,46000,46000,0,57164.1605567292,3,2007,2009,3,2007,NA,FALSE
261411,2007,"107122608","PDuns-1","S","Always Small Vendor",FALSE,NA,1,1,0,136776,136776,0,169971.417919722,4,2007,2008,2,2007,NA,FALSE
663826,2007,"954525981","PDuns-1","S","Always Small Vendor",FALSE,NA,1,1,1,1119834,1119834,0,1391616.75158444,1,2007,2011,5,2007,2011,FALSE
