"Competition.sum","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"1 Offer",4175252000,5739630631,5218843172,4821958607,4366687497,4959545200,5361028157,5062548779,5892086521,6865826295,10681870346.9427,11866552410.9541,13107224800.8591,20650747797.5419,18817934695.7659,28976869980.9648,34046564778.7128,35385068970.0902,43127208678.9006,40133010596.0293,40624643005.5797,36591199960.7919,29652470304.0346,22554146945.4353,21294711232.3705,20036117232.3128,20235626148.5693,21258429492.0962,27527199758.4164,33127695051.4425,34312847244.8916,33494611244.2406,36655998916.7795
"2 Offers",43605980197,65649982349,61626337789,58104427407,58505178407,57817762885,60976178301,33227268260,31263397589,31636933183,33798521452.2701,30640719969.7086,35861245630.2895,39654741446.7375,39564318893.8213,49946637858.989,53380429496.1859,54176654394.0814,55640805121.9986,56194408887.8684,51985285550.1013,55190111590.2194,52514785814.7268,48439012632.7117,47616190518.4121,41198333832.9982,48076676452.9742,48072650811.7632,51947268969.2602,47420409620.0905,44909351605.2084,43402146878.5942,47440968653.3455
"3+ Offers",409475,,,,,3318913,253276428,26453199889,27540633620,30726836699,32937399076.4913,38813734717.6851,45150243181.1557,56839365478.9444,70560319921.0377,84166586063.4232,93556137740.6021,109116528213.6,127457339092.209,136972066733.894,127017036902.793,123383951961.081,123229695501.489,99599633740.13,95825513775.5899,90442803864.8174,88899443113.7775,96859001579.8368,113713239036.149,126295970847.861,129034169777.582,119650213122.491,137044298267.322
"No Comp.",43372990733,60339829236,53145429903,56918853409,53022765869,52351162090,51079955336,48721333528,47623383110,47509690026,49109178901.7729,55938254012.3038,64048801250.9886,80315196105.0307,85767797425.0751,93283353592.4421,107124160014.687,127800929411.852,148672270193.883,145822912713.978,138370631758.916,148991339904.13,148684180880.638,132599452238.06,116366196987.226,120703792180.375,139394923883.852,152537017271.508,163946755141.595,175592638593.689,209871446271.267,185848364131.972,174371796002.909
"Unlabeled",29195497000,4424751628,3416049686,1528142719,1267270952,1460225780,778340876,2517801423,4646381327,5445750285,5651516728.9104,6755105108.3093,11629047743.4617,14166196187.8395,15037734243.1515,9345812803.4838,7117723948.0764,1661625122.9464,3061088215.5094,2408833985.5093,4406271623.6174,4409312187.9391,3555298154.6983,3388806786.3445,2181749465.9009,1803444656.1213,1755116744.0592,1895291247.1343,1821467900.9411,1418781048.863,3692925344.3764,4667284962.5503,18868617341.9166
