"TopProject","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"CVN 21",,,,,,,,,,,,,,,,,168306228,609170639,654516219,831789115.6211,2551440895.1563,2490854652.1377,767227263.1692,817655058.2351,1006989502.9744,640168664.9294,1293837691.2202,1404005908.234,1165471109.1283,1233292361.7636,1494000025.9266,1873090114.598,2058614313.7305,1488032306.0787,1447916677.2671,1916942835.0782
"DD(X)",,,,,,,,,,,,,,,,,1089800,185499760,1483041760,2405161321.7945,2286886347.8635,1707481680.0137,468819761.4258,4290156702.3711,512418799.4375,703164296.0492,327626030.94,252006287.2086,704782225.7641,323385846.5538,372554547.9729,404519090.0352,297073821.4268,241754898.0356,157251771.4038,90204488.1685
"DDG 51",,,,,,,,,,,,,,20376460,1224827,-26492,197023353,314254997.9006,435409420.8555,338422492.1084,328967009.6473,313576047.0245,703283178.8159,2415498483.0455,1011634819.587,1726500687.7114,1672151721.0201,1414280797.5816,1606933343.2715,2050710430.1875,2076491465.1311,3149392381.0223,3826482425.6815,1730147315.375,2245320071.1841,322181271.8004
"DESTROYER DDG-51",,,1295016000,1020251000,1889580256,1457937183,1321098055,1205976724,1321075040,2207890006,386281127,651971186,105041959,85892792,47894151,478760818,,,,,,,,,,,,,,,,0,,,,
"LCS",,,,,,,,,,,,,,,,,2591384,6249474,28164204,37644599.375,67272593.7559,886600388.3037,129234583.1241,1903734510.3088,1737958356.1516,1840967614.82,1659903287.31,1641127325.4464,1589903596.1289,1016839253.8222,3081050641.4419,2036956556.9494,2868031027.4206,558515197.0979,435069417.8358,144446370.3211
"LPD 17",,,,,,,,,,,,,,,,,23740497,22067259,2556355074,1325317784.9063,1190987692.5,489834497.25,257657101.8755,1736821585.649,1701228895.7251,1600609663.63,105729417.6094,152543994.5812,412315356.3418,1619292612.3359,1421990575.3915,192793496.3437,80995767.7725,39992566.8213,52581649.4336,7519409
"Other Labeled Project",,137519000,6655044000,5619765434,4031622589,5766138133,3666731327,5577930699,3497488583,3442088169,4594302053,3450123791,1477027827,1395202921,1927491884,2713058186,2372162939,2306250314.3125,2783345374.5837,3390107298.4368,2445708075.3767,2022381510.2102,2026874374.101,1971399735.8904,2936860148.6247,1788305593.0308,1700625496.05,450082871.9564,1621625338.8895,1467887989.4611,818386205.897,14507310.5232,1964368141.207,755853059.2085,868305393.9962,833431989.7915
"SSN 774",,,,,,,,,,,,,,,,,21923679,52808525,264510756.625,118828072.7608,528320531.721,3065727748.5034,2725073206.2548,3696675076.4201,3170239312.6382,3320477792.21,6080579078.82,4237183816.3412,4188587647.3904,3662263189.1562,4094100678.9788,2746126388.6599,9627898165.9981,5768512253.7366,5033945702.0625,3990432901.5771
"Unlabeled",1152000,47365000,2730597493,2872754278,2678879181,2278695156,2401197264,2870449317,3151064725,2690543467,4388650053,4218037050,7773751977,10902855120,10718940526.9302,9480846496.0506,12055983827.1636,10546042991.9175,8613861072.4256,8805224272.1062,9953502347.6886,10525037991.9492,10484020464.2783,11557630111.6133,11746187700.7793,11431084214.8801,10986973650.0998,11926978071.5592,13363040606.8502,15834245681.82,17951157164.8781,22888416319.0053,19359839043.0697,21378336645.2601,24143083817.9365,15355078130.1452
