"IsFMSplaceIntl","VendorSize_Intl","CrisisProductOrServiceArea","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Includes FMS
Performed Domestically","U.S. Small","ICT",26063593.848892,23218926.2261811,21208768.2400442,19274995.9252459,23078916.0108284,33045822.4316103,37403645.0538205,42150518.3872054,49128946.9479
"Includes FMS
Performed Domestically","U.S. Small","ERS",34043968.1344586,25076552.0351787,28521147.6659292,28890088.9891803,62325787.1737953,125719005.129547,125627530.286384,51142276.2906846,85265731.4921
"Includes FMS
Performed Domestically","U.S. Small","FRS",10873546.1488116,5361077.05491036,2442727.24557522,21025415.3140984,6887796.53795344,1785004.62816422,1158533.34915678,6438516.10039792,5540529.1669
"Includes FMS
Performed Domestically","U.S. Small","Construction",NA,NA,NA,320925.683060109,35797.7590687601,NA,15761815.5319592,815222.936435058,800155.25
"Includes FMS
Performed Domestically","U.S. Small","MED",12904.960270984,NA,14934.7345132743,167758.469945355,258098.436599892,19081.0465858328,59526.1502186134,20226.5074992348,22485
"Includes FMS
Performed Domestically","U.S. Medium","PAMS",2064861931.14548,215327879.40354,189357313.596239,210962572.047978,241600212.166216,257874018.414486,320609320.669582,780049298.517702,1004522514.1148
"Includes FMS
Performed Domestically","U.S. Medium","ICT",7247039.59065335,15612822.1561619,15216111.050885,13019607.2530055,47132190.4870601,31804346.2814295,20598973.0470539,31884382.5513723,24864051.4952
"Includes FMS
Performed Domestically","U.S. Medium","ERS",174285586.764152,203198074.619461,102667112.643473,175353345.18,384540078.255008,374023429.627952,184734646.72309,301509807.199469,367765352.4323
"Includes FMS
Performed Domestically","U.S. Medium","FRS",421796.25720519,46273444.097418,186265003.803208,142730760.611366,376697808.238008,263083990.314082,116624594.200396,3555094.38975615,11171565.6445
"Includes FMS
Performed Domestically","U.S. Medium","Construction",NA,-50431.0068778893,403166.689712389,319606.557377049,NA,18509341.6294405,2339837.34946908,1083883.56024895,7233834
"Includes FMS
Performed Domestically","U.S. Medium","MED",NA,NA,NA,NA,85410.9366540336,NA,39032.2698313554,NA,NA
"Includes FMS
Performed Domestically","U.S. Large","PAMS",279112652.033069,226095319.749577,193029521.125221,374433969.394754,293064626.368489,193084029.13529,338421704.386217,278151407.167738,267760503.7101
"Includes FMS
Performed Domestically","U.S. Large","ICT",65607337.1543231,14767324.0511895,38068075.6891593,13818491.4612022,40349310.4149432,7805535.59912784,4976928.02342286,10455443.5464748,17159121.9299
"Includes FMS
Performed Domestically","U.S. Large","ERS",229871068.760248,299721048.85455,168026316.272124,471384713.997814,259953583.150298,436082663.439906,252138693.432646,139290243.630548,239636766.0463
"Includes FMS
Performed Domestically","U.S. Large","FRS",122420.934205994,-2868182.56849701,-24001.3716814159,-1065.60655737705,371589.712615051,19493.7247394171,12273660.7125755,-3333051.39465361,3930697.75
"Includes FMS
Performed Domestically","U.S. Large","Construction",NA,NA,26189.1592920354,0,375744.450460206,1858201.93671559,56560122.8398917,0,379398.625
"Includes FMS
Performed Domestically","U.S. Large","MED",NA,NA,NA,NA,9003.16177585274,NA,NA,NA,NA
"Includes FMS
Performed Domestically","U.S. Big Five","PAMS",815492337.803651,755233798.126621,953360524.889712,949552650.802186,1150089406.75918,999486914.018613,1139769348.27285,1748963266.76217,1596574502.3855
"Includes FMS
Performed Domestically","U.S. Big Five","ICT",11254854.233896,373828737.073176,26548228.119469,6154885.7736612,47491578.5056849,54276608.5087215,354955385.171455,61883992.500153,92588155.5333
"Includes FMS
Performed Domestically","U.S. Big Five","ERS",2221939257.75049,6302863.6226181,282412653.39292,737651764.597596,1080828051.55106,1207003788.41332,900833794.933895,717197893.346189,1082786062.4099
"Includes FMS
Performed Domestically","U.S. Big Five","FRS",-5106.21196463429,NA,-51158.1082964602,NA,0,8515777.62710062,10549862.30533,10418737.5650444,2000
"Includes FMS
Performed Domestically","International","PAMS",NA,NA,NA,22702.7103825137,NA,NA,NA,NA,NA
"Includes FMS
Performed Domestically","International","ICT",NA,NA,NA,91910.0327868852,NA,133169.970538183,NA,NA,NA
"Includes FMS
Performed Domestically","International","ERS",NA,NA,NA,NA,NA,NA,371376.906412659,-145142.280685644,-94830.7969
"Includes FMS
Performed Domestically","International","FRS",NA,NA,0,49450293.989071,59556037.8992962,44591229.259732,25454.3079325422,NA,2020487.875
"Includes FMS
Performed Domestically","Unlabeled","PAMS",NA,1691.28424850603,8295.96216814159,NA,NA,NA,NA,NA,NA
"Includes FMS
Performed Domestically","Unlabeled","ERS",NA,NA,NA,7934.4262295082,1310.2328099621,NA,NA,NA,NA
"Includes FMS
Performed Domestically","Unlabeled","MED",1805.63784590653,NA,NA,NA,NA,NA,NA,NA,NA
"No FMS
Performed Internationally","U.S. Small","PAMS",484370100.334596,391032044.492502,379435818.342588,263464757.639454,377439097.277315,581110182.470113,490672681.925255,457983532.892256,596144159.6871
"No FMS
Performed Internationally","U.S. Small","ICT",179549246.698702,48593310.1332732,56412321.8702434,82456869.4940984,96132803.7118571,154970826.991066,221761680.57006,154418769.355474,105292107.7322
"No FMS
Performed Internationally","U.S. Small","ERS",770941280.703525,450770747.9275,600809967.725442,329861682.600109,273725868.708392,388509909.811849,417369579.138976,399928045.733905,272687224.6791
"No FMS
Performed Internationally","U.S. Small","FRS",115277550.347227,98542374.9698951,81633679.3159292,112410193.684699,92402600.5096914,98141581.5786003,53052914.7679575,93200333.899296,76347446.6237
"No FMS
Performed Internationally","U.S. Small","Construction",62067636.0245723,40045060.5254256,-28960360.0221239,46343115.0244809,17748900.1610179,41505189.363646,29894879.2310015,72963650.6554433,20562121.957
"No FMS
Performed Internationally","U.S. Small","MED",37513588.9259387,21539114.2934942,12627334.374115,11333284.5733333,17274222.7260422,7414057.66379494,11265717.9309806,13566412.6937047,9859991.5645
"No FMS
Performed Internationally","U.S. Medium","PAMS",1772095456.62877,1853676367.84192,1024888887.70299,880394219.427213,828816533.586356,795099570.03127,728605752.151884,736826995.480257,986341284.2378
"No FMS
Performed Internationally","U.S. Medium","ICT",226824157.070387,121873846.271508,113255454.358075,291373629.319235,322438312.825014,285539435.432674,303206896.611909,457165327.507091,483512020.2508
"No FMS
Performed Internationally","U.S. Medium","ERS",1482588272.69066,1026651632.84124,643834022.649557,481139675.434863,504432691.857174,675829693.21889,570292261.547783,549384653.064279,346264732.1406
"No FMS
Performed Internationally","U.S. Medium","FRS",796468627.569755,580270133.307475,611534665.208407,991475458.019672,1171321072.67981,1072917689.16433,1145799832.5431,1025998500.01979,1462556085.9338
"No FMS
Performed Internationally","U.S. Medium","Construction",1438898314.15731,941367584.936295,-16131880.5199115,66496483.5947541,356176111.126259,144306964.775154,115248318.583177,420222198.847873,186207710.7775
"No FMS
Performed Internationally","U.S. Medium","MED",31393546.0101045,29058058.8454166,27051521.3058628,8803277.02240437,37560875.8476448,27901231.7583493,30896589.4965646,32172095.8828691,40840792.0813
"No FMS
Performed Internationally","U.S. Large","PAMS",7313836317.06763,7339181775.03777,2479954937.68706,2320231070.56,1525028586.54326,2013858024.21804,2910457818.10316,3368931381.06091,2750683874.8929
"No FMS
Performed Internationally","U.S. Large","ICT",229680355.655873,516709770.799639,290316263.268142,88544971.6678689,108659723.194478,159132551.712402,63843759.7024776,111731963.741149,82533644.4587
"No FMS
Performed Internationally","U.S. Large","ERS",4382509234.70387,1824024503.97948,1555752651.90498,1134563353.58087,950866811.832377,1045768070.13795,1180334991.28513,1024616257.13274,748076382.2858
"No FMS
Performed Internationally","U.S. Large","FRS",1218083459.50718,2166477124.06495,1456108197.12544,677706058.718361,591550927.064537,510247209.36705,413142473.404435,390644088.87991,553018389.4798
"No FMS
Performed Internationally","U.S. Large","Construction",428027505.925824,247145584.99222,130372557.088053,36737111.5602186,145401644.875907,160918713.178685,36212253.3622736,43125149.281706,42414899.2421
"No FMS
Performed Internationally","U.S. Large","MED",6011273.32701803,2941175.13812155,1025561.65929204,-2186973.90972678,634145.113914456,235368.06083812,143253.164792838,15540.3419038874,165369.6016
"No FMS
Performed Internationally","U.S. Big Five","PAMS",254559270.904926,290887378.00203,248723061.758518,185572137.481202,271899536.769572,186010084.816847,146708423.5203,112353421.915213,150442289.8288
"No FMS
Performed Internationally","U.S. Big Five","ICT",174963972.177747,281693155.95986,137740558.943031,139563687.294426,183468789.568056,144756969.19783,155526390.542578,190417988.126722,149352277.8492
"No FMS
Performed Internationally","U.S. Big Five","ERS",526931710.544839,391230588.510542,203659921.603982,61415123.0643716,34235317.1218192,48423096.7155924,57270496.3267749,91609742.9078666,32763738.9322
"No FMS
Performed Internationally","U.S. Big Five","FRS",151241306.99644,153542296.188973,58895713.75,19433329.708306,5996799.31987006,-588953.729844714,-7347561.94045388,0,-1468351.875
"No FMS
Performed Internationally","U.S. Big Five","Construction",2295417.53519348,-136572.251663096,-598519.469026549,NA,NA,3821995.85194639,-341036.85196752,NA,-5720000
"No FMS
Performed Internationally","International","PAMS",972384282.507177,826423236.933363,668415060.873009,406326617.828852,647188446.275907,669819202.584237,681410319.96294,745121460.16784,606282595.3018
"No FMS
Performed Internationally","International","ICT",314780988.480193,285538573.563423,113813946.426438,78653633.8617486,228390955.19242,151534438.083493,132509281.693317,231635811.261606,107602407.6663
"No FMS
Performed Internationally","International","ERS",970635519.544724,869376476.608299,749168402.638606,812230266.051913,794797705.314239,982417373.58679,955123318.003644,773836448.530864,863651989.9498
"No FMS
Performed Internationally","International","FRS",2108493627.87335,1903372072.33566,1911294077.56471,1968749233.16361,2072466285.38235,1815392237.41087,1957719240.04539,1825506692.22518,1954339241.629
"No FMS
Performed Internationally","International","Construction",1687304737.40774,1078406606.02199,882697573.949004,815835622.394754,714972680.979534,938956389.325782,998797527.05736,1166800613.20957,1121912971.6954
"No FMS
Performed Internationally","International","MED",17145427.7229303,12999336.4101928,14939284.7167035,11821984.6630601,11878282.7079589,10359649.001489,10258713.1308557,10699707.1770228,31695677.2743
"No FMS
Performed Internationally","Unlabeled","PAMS",676791748.427604,299553883.209719,128328406.768142,21605761.9179235,101819891.436167,92513927.3988513,43002209.7095565,15941521.3880216,2840962.2619
"No FMS
Performed Internationally","Unlabeled","ICT",64122021.0804914,49821349.0235652,2811675.19911504,52893114.7784699,43327437.4780725,15920335.5148904,11136243.2871122,8742619.73247628,56287.3238
"No FMS
Performed Internationally","Unlabeled","ERS",108646485.149271,102173792.19788,77733919.0493363,33678960.3024044,52113535.5995669,36284090.8748139,13473837.8949615,9067839.53076217,6091555.8203
"No FMS
Performed Internationally","Unlabeled","FRS",281075397.478585,133366835.825572,59665314.860177,27881226.8372678,24038308.6021657,47932778.6177409,11675428.0948366,18289582.6227936,6967368.2587
"No FMS
Performed Internationally","Unlabeled","Construction",883411456.220002,190802071.390912,12200280.2880531,234807902.469945,274294760.972604,97458768.6150819,115805193.925151,263780638.642077,5708426.4744
"No FMS
Performed Internationally","Unlabeled","MED",4027144.72384889,2833015.06370504,2584987.65519912,-779789.844371585,1410297.01353546,3123634.49298022,371606.652821153,904243.296908479,451750.8224
