"SubCustomer","PlatformPortfolio","2015","2016","2017","2018","2019","2020"
"Army","Other Knowledge Based",121649611.86,323152747.08,526365927.27,608640488.45,1552036088.84,9867131879.57
"Army","Other Products",,,57335,25981140.04,133545334.94,114414520.72
"Army","Facilities & Construction",,,,,1997044.4,1910244
"Army","Electronics, Comms, & Sensors",1118000,1772800,79603195.4,117738023.2,325779295.18,337864515.9
"Army","Ordnance & Missiles",500789364.98,578938636.43,946511490.65,2178170946.34,2795011060.48,2449338686.2
"Army","Space Systems",,,,7860000,9625152,15320477
"Army","Land Vehicles",,300874,987980,31883117.71,95938894.91,133554084.36
"Army","Aircraft",,,3165000,15320968,60188551,303957791.47
