"PlatformPortfolio","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Other Knowledge Based",159981206.71,83239040.5,40307917.72,78194129.7,192366656.86,610931727.07,914995576.6,1123521977.2,2451411532.83,11315020869.02,6254839746.6
"Other Services",,,,,,,,,,,649277495.87
"Other Products",,,,,,,57335,25981140.04,134112178.94,131800025.2,416507166.73
"Facilities & Construction",,,,,,,,38076,3250215.47,6382357.43,5850351.98
"Electronics, Comms, & Sensors",1890000,728000,2358098,1136000,1118000,2131800,89720565.07,292938883.24,737243183.68,774908757.69,740518144.78
"Ordnance & Missiles",106379019.72,269774135.22,285893757.01,446685336.9,501648660.82,579220498.39,946511490.71,2178324865.64,2807329764.13,2587029337.66,1680607892.5
"Air & Missile Defense",,,,,,,,,,79948980,157220374
"Space Systems",,,,,,,,63645648.71,1091256138.56,726864400.05,884121237.42
"Land Vehicles",3600000,49336316,,,,242871013,172456428,310034438.71,95938894.91,157498288.3,167790076.87
"Ships & Submarines",,,,,,,,,,3e+05,261356942.31
"Aircraft",121184342.4,70928104.64,1.2e+07,-2456382,,,3165000,21674996,137718005.39,438795507.39,941688779.22
