"ProductOrServiceArea","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Aircraft",0.891407544363867,0.566780765798519,0.56013802834932,0.719936731830962,0.954292494518602,0.727719731683838,0.909871631865379,0.92161537466619,0.693529883763917,1.03280955120711,0.726303266287199,1.56910567092644,2.37002688440645,1.16872409862567,1.7163854526495,1.14799849961704,0.885870545073266,0.939823488518659,1.02649110834249,0.514132907335125,0.599863753775201,0.364163218194391,0.5337806652365
"Clothing & Subsistence",0.00213801640408711,0.00220843644617823,0.00709597457945246,0.0085912268189598,0.0118944038424566,0.0134867789012053,0.00318441949398356,0.0074849565224974,0.00115687927389767,0.0143077714292985,0.0139678489590191,0.00363524503049667,0.0102128604809844,0.00165023454125497,0.0145112505159581,0.0157009682998674,0.0356813494896963,0.00875844165543653,0.00387525681478251,0.00213515931407775,0.0291333231870196,0.0163597089275557,0.0269231118633
"Electronics & Communications",16.3212115659804,15.2911822480935,18.7542551089721,23.4240895062726,24.99849221776,28.9427950630005,31.1501573359442,34.5955222157215,37.1924840345141,33.787883948596,36.081816187493,30.0941021991965,29.3989409255945,25.3262420367815,24.4358229617838,24.5412653395625,26.9846001739319,28.2265343448279,31.2377636184622,32.0248677549215,32.4358148929379,26.9758878101408,27.5866032429819
"Engines & Power Plants",0.356276910084962,0.457431102644784,0.492758105301511,1.19781786560667,1.15490701956058,0.714725280948451,0.616153656007462,0.813935714937079,0.979103061745407,0.979554558220966,0.97699094184974,0.796431842173891,0.66427650296712,0.570216291207808,0.606178413746291,0.578177217915289,0.338398152091093,0.454501074652026,0.645229728720801,0.702508223892923,0.687122193935595,0.466574444609671,0.507931851235
"ERS",0.586206683832506,0.456651490915921,0.440813070049986,0.620875989728732,0.546429498723482,0.582121260946113,0.680189004949782,1.1417025001167,1.40171829473115,1.25303211044482,1.33710096488401,1.0601747876178,1.13100953194469,0.823443156779601,1.20499560926626,1.15519474627728,1.70627865633056,1.70908885124401,1.94052907477252,2.52708686949091,2.29686714558901,2.81274451878656,2.4700705995447
"FRS&C",0.0915093014266719,0.113156378930756,0.112345283778705,0.0949017166331428,0.0734228052149538,0.0373582208548387,0.0343933714037046,0.032971575366446,0.0350435886069067,0.0295627223444224,0.0270314363205958,0.0327495330913782,0.0381041993582416,0.0291445588568655,0.0138981697507284,0.00370396673922781,0.00141815791760953,-0.00423380084934485,0.000249043350110994,0.00209896496157346,0.0059913289540124,0.00990069149641854,0.0068294157317
"Fuels",,6.30990855920292e-05,1.42872857318482e-05,,4.36143813963935e-05,0.00025546047486859,5.18875780792739e-05,0.000718020091471502,6.66854469926672e-05,0.000122303063000947,5.02715025811784e-05,,0.00124494146116247,0.00115431825650146,,-0.000499065795869012,7.59255833592458e-06,6.75230232355331e-05,,0.000298254688485954,,,
"Ground Vehicles",0.0070774114201448,0.0146596559628365,0.00473995457329548,0.0166389614571181,0.0277219678012787,0.0443651076625059,0.0115372137571569,0.0923788948307812,0.0759498896843469,0.0456833242692897,0.240402862664673,0.0199740754003002,0.0973991439107337,0.0747355223100218,0.0730162287864212,0.10906530481146,0.0697886801826283,0.0648150486313845,0.0243405620271886,0.015938817281209,0.0159210602042948,0.0161103395488968,0.0265455044352
"ICT",11.6340706599806,11.8765231819522,12.841994163092,15.5206512929919,18.7031939290856,19.0643808547449,19.8132737245417,20.4748153395681,20.7005358724694,21.6688885715217,21.9440086751994,23.1236784088611,21.3097087058565,18.5983502713668,17.3796345033194,16.2166648509938,17.8919117542296,17.9982763608706,20.3151745861567,21.1849409933526,23.7466309041509,20.5564722874519,20.1088001227605
"Launchers & Munitions",0.197228987418585,0.253047184196365,0.071992117418716,0.33804591767428,0.217830857981795,0.504602373368626,0.260380311725055,0.32899415591135,0.276022210383665,0.219651517846115,0.120108481797458,0.203505964208173,0.126900356745964,0.0740663503738232,0.0388404518794234,0.0271555752274419,0.0973519265123767,0.0590957962715889,0.228440374906947,0.181378239304732,0.170588435809521,0.0692811691269991,0.0522948357598
"MED",0.00863388133887858,0.000374609806297039,0.00153886025168976,0.00120108175698658,2.90058469093712e-06,1.12431828513432e-05,0.000277588476153675,4.1178320722933e-05,8.04064490657853e-05,-1.48162721876754e-06,1.68489521731139e-05,0.000193117506035705,2.32970499955549e-05,5.71660366297957e-05,,-1.39165304246161e-05,,0.000119612111477345,7.94843824013172e-05,,1.53507171390777e-05,4.59396212687701e-05,7.09685801e-05
"Missiles & Space",0.0266168372287858,0.0284362812372181,0.0390786274167947,0.0570703285769706,0.0321773521603592,0.0758266468264045,0.0741168110153447,0.0332042102940043,0.0289078367966556,0.0480963381937866,-0.00167583424271839,0.00780128584096518,0.000743074649027171,0.0010031567595177,0.0150478543099088,0.00752224591317748,0.0047316871133083,0.0211278234316524,0.00829137896523358,0.0067791730695223,0.0149013672792838,0.00173261338584511,0.1899253168505
"Other",0.449456435288792,0.460677995447048,0.647626603004923,0.815950449239123,1.1132944107457,1.08817388697431,0.764856747804832,0.767630186199385,0.783218546390797,0.741425915245827,1.22194291719856,0.906140657383787,0.575566947565705,0.376093647157365,0.406568482805429,0.677052932749575,0.593929018464488,0.523103858019414,0.506791700863005,0.614630266493315,0.552310316390847,0.59746293885124,0.5391670532106
"PAMS",2.33933266018788,2.84694491453614,3.64324352590244,3.99759969785455,5.08975497767703,5.79120262210513,6.01843306115955,8.34812901583558,10.2531424498319,9.64336667098719,7.8064711807327,5.68941928968347,4.02252770351674,3.03280849798778,2.02200334551692,1.67091575397651,1.74955604044575,1.89034069354544,1.68643046644496,1.88814502435691,1.95774120177687,1.9240044011562,1.9809428823743
"R&D",5.08503474473978,5.8051256106556,6.70846715971168,6.70781771110805,7.33793966329046,8.39980853790184,7.44599657219533,9.18283311993755,8.90166490935771,8.95370086827976,9.87939598350556,9.85726112178821,8.96364712865143,6.64844691141798,6.9818269655297,6.53974375674084,6.88236771277719,7.08157309106628,7.88116019853417,8.15838718009831,7.83648383456815,6.18092891219429,5.7886352106663
"Ships",0.0228406951407096,0.0134814745690935,0.0870843159058207,0.0696698368965123,0.0332299252578824,0.0557551819628372,0.0504069673250658,0.0115340744817789,0.05859159751704,0.0567042879027787,0.102443050138179,0.0678266631672233,0.0685070532695334,0.0662890507980683,0.0794119490712632,0.0758310518274529,0.0844281773562957,0.0913034384752336,0.0883353033114318,0.0934380145012024,0.0177245318202995,0.00299093949646152,0.0016507917627
