"PlatformPortfolio","Competition.effective.only","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Facilities &
Construction","Effective Comp.",0.753319175637413,0.758246746391655,0.780749276981706,0.81666341622445,0.809133661969516,0.801423338848146,0.768940439781155,0.760260328114808,0.753918582601999,0.743423283825831,0.727971091965682,0.704417428853356,0.635003864135424,0.656910487740519,0.677402792554397,0.70635184841401,0.722471244642939,0.741725984826142,0.732932739588315,0.734641436884027,0.732525845248976,0.755497817614893,0.757461314586692,0.753801760389849,0.747906769907904,0.730340325878045,0.745520285104974,0.748570436294463,0.753387767006124,0.739551681512552,0.726481512695136,0.73493012230319
"Facilities &
Construction","Unlabeled",0.0033994689732444,0.00426128931749882,0.00239046735865964,0.00561044133032663,0.00369202626078845,0.00312286332127643,0.0291568005953347,0.0456977884475886,0.0413272435054592,0.0394168625451288,0.0495852826372772,0.0628039324063131,0.0653370272780159,0.0714427822996974,0.0359888641547608,0.0335684708818703,0.00798434141921866,0.0156618466135083,0.011985110089521,0.0154045123133911,0.0128425877176267,0.0102048627991725,0.0101695400670451,0.00944588805441699,0.0111183543983278,0.00999769260788961,0.00786441121342527,0.0137926675667089,0.00586783769590725,0.0124507977807251,0.0152452881796747,0.034752105428714
"Other
Products","Not Effective Comp.",0.330380695647208,0.455898635151945,0.400270823971231,0.291900404375648,0.378230050627804,0.38640119117259,0.33630984569909,0.319163751090171,0.24610773065584,0.194078663153021,0.20681356077015,0.24635443157028,0.221176766656758,0.194735213456692,0.16259369221753,0.225230503705072,0.233171763091729,0.331157820447522,0.203872306494504,0.280804832022429,0.196237798160748,0.164107910039284,0.204646979076282,0.147838520498204,0.133620387094422,0.160384436826461,0.156558449139104,0.171153578463975,0.187359227721436,0.291251499641335,0.64669053800832,0.300219206012016
"Other
Products","Effective Comp.",0.66896120040893,0.544102027450778,0.599732391810109,0.708086554253511,0.621645828171816,0.61323617934242,0.650988010792586,0.657748546957936,0.721627800220648,0.790890981732237,0.762794072433527,0.652718007274188,0.704999219495904,0.723110662036085,0.80796067073888,0.766736476193252,0.764605047900236,0.666254856188586,0.794529940704926,0.717319642692867,0.801187506987868,0.834593518494116,0.794322233147719,0.849446068191993,0.868803885743503,0.839098824914092,0.841731399214261,0.824409174130441,0.809043284139682,0.650447549647703,0.307438702581945,0.486604200634394
"Other
Products","Unlabeled",0.000658103943861556,-6.62602723836418e-07,-3.21578134024002e-06,1.30413708411147e-05,0.000124121200379816,0.000362629484990353,0.0127021435083247,0.0230877019518925,0.0322644691235125,0.0150303551147422,0.0303923667963234,0.100927561155532,0.0738240138473383,0.0821541245072225,0.0294456370435904,0.00803302010167573,0.00222318900803474,0.0025873233638922,0.00159775280057081,0.00187552528470493,0.00257469485138451,0.00129857146659998,0.00103078777599882,0.00271541130980365,-0.00242427283792481,0.000516738259446641,0.0017101516466347,0.00443724740558342,0.00359748813888271,0.0583009507109618,0.0458707594097349,0.213176593353591
"Other
Services","Not Effective Comp.",0.11754793302567,0.150206500547906,0.21512895752707,0.204780229677205,0.154352832428156,0.133571960407268,0.183765487207539,0.112553284080279,0.188861422875728,0.158735364875126,0.179052693487832,0.159640602827303,0.131936127609303,0.0954932770992239,0.115405834223519,0.142971631028645,0.163100692315126,0.166251311007542,0.163305623550711,0.167514289971425,0.140361908564709,0.133422490003509,0.120031957187494,0.144100346332888,0.160571260531721,0.184409406248733,0.177473664523704,0.20280431799656,0.183867794203294,0.181119071384749,0.199942398254481,0.213248771176451
"Other
Services","Effective Comp.",0.881168083004764,0.849719050539918,0.784633128631084,0.794308317190752,0.773725523171782,0.866102276664992,0.806597697159061,0.834449181372142,0.793584354226913,0.825111781968723,0.805823316891955,0.732508220236762,0.707399779581256,0.770000278986272,0.703739498355825,0.730731332015699,0.83314457526034,0.820341360069153,0.821282090296498,0.777752992987852,0.784083361245316,0.807706239965846,0.809402236875742,0.821151558193954,0.809624985003044,0.784712280796832,0.796905109079333,0.794948888374807,0.814386497932518,0.815098841132514,0.792895582077956,0.780983712195544
"Other
Services","Unlabeled",0.00128398396956649,7.44489121764923e-05,0.000237913841845987,0.00091145313204236,0.0719216444000617,0.000325762927739884,0.00963681563339931,0.0529975345475789,0.0175542228973593,0.0161528531561503,0.0151239896202128,0.107851176935934,0.160664092809441,0.134506443914504,0.180854667420655,0.126297036955656,0.00375473242453416,0.0134073289233053,0.0154122861527909,0.0547327170407223,0.0755547301899748,0.0588712700306452,0.0705658059367641,0.0347480954731576,0.0298037544652346,0.0308783129544348,0.0256212263969626,0.00224679362863267,0.00174570786418857,0.00378208748273717,0.00716201966756358,0.00576751662800548
"Other Knowledge
Based","Not Effective Comp.",0.437888289013345,0.418845150138109,0.406788680898247,0.384266245467012,0.402821182326683,0.406557408576108,0.422679126206183,0.44484187670432,0.396577950796681,0.407019391052129,0.410167143070163,0.399008298007133,0.410411374699134,0.430329812257677,0.505791066839392,0.504502657817885,0.459156428030606,0.418131124071332,0.431789147011737,0.415648568159409,0.390521997644509,0.364831539151821,0.370330723599462,0.39302098862622,0.405407178738662,0.422066955136152,0.420623288010657,0.429049298317818,0.452979513260407,0.452430096657922,0.456845498829452,0.443252174131923
"Other Knowledge
Based","Effective Comp.",0.550810216185758,0.57729845366559,0.592396841604239,0.614824076522172,0.591827050818357,0.582679222385343,0.564279165900487,0.512299635969229,0.532492401208868,0.54393442655981,0.518206775613699,0.507586374404348,0.496794775714649,0.478299290315848,0.448906513214137,0.471156106081211,0.531756052183749,0.569580285781443,0.559899149371891,0.576683032292172,0.600371248885478,0.623554373691275,0.619944124997243,0.599457777590001,0.589118307299371,0.574009871064389,0.574404779059579,0.565153576889313,0.538600371581986,0.537146309207807,0.535277306830103,0.538629894479007
"Other Knowledge
Based","Unlabeled",0.0113014948008973,0.00385639619630097,0.000814477497513897,0.00090967801081598,0.0053517668549597,0.0107633690385496,0.0130417078933302,0.0428584873264506,0.0709296479944511,0.0490461823880613,0.0716260813161372,0.093405327588519,0.0927938495862174,0.091370897426475,0.0453024199464708,0.0243412361009042,0.00908751978564485,0.0122885901472253,0.00831170361637147,0.00766839954841915,0.00910675347001289,0.011614087156904,0.00972515140329529,0.00752123378377849,0.00547451396196728,0.00392317379945842,0.00497193292976381,0.00579712479286827,0.00842011515760661,0.0104235941342705,0.00787719434044547,0.0181179313890697
