"PlatformPortfolio","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Aircraft",6975,5839,5628,6125,5754,5611,5401,5315,5281,5224,5707,5527,5382,5015,4995,4528
"Electronics,
Comms, & Sensors",15232,15200,15709,16125,15796,15802,14990,14165,12913,12750,12933,12247,11924,11313,11032,10940
"Facilities &
Construction",28901,29345,30559,30695,31357,30864,30209,28576,25337,24800,24304,23614,22895,21296,20581,19122
"Land Vehicles",5152,4878,5153,5152,5458,4782,4532,4007,3730,3811,3865,3825,3741,3496,3434,3088
"Air & Missile
Defense",621,534,660,647,646,606,634,565,547,521,486,553,516,485,556,538
"Ordnance &
Missiles",2875,3111,2901,2990,2885,2834,2694,2528,2342,2208,2306,2327,2166,2217,2457,2068
"Other
Products",13298,11418,12147,12541,11785,11183,11020,10442,9411,9303,9785,9319,8937,8117,7575,6906
"Other Knowledge
Based",12306,11766,12633,12694,12772,13192,12760,11925,12147,12136,11630,11747,11530,9636,11715,9091
"Other
Services",7389,7513,8110,8516,8731,8581,8309,7980,7212,6977,6776,6829,6969,6147,6358,5302
"Ships &
Submarines",4566,4807,4658,4952,4705,4767,4878,4765,4691,4845,5083,5031,4757,4383,4161,3847
"Space Systems",464,459,593,588,587,668,660,681,656,658,581,574,577,530,523,390
"Unlabeled",88,278,24,89,22,25,26,6,9,,2,7,5,3,2,4
