"SubCustomer.sum","SubCustomer.JPO","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Air Force","Air Force",41032316000,43625084000,38602723036,39452449414,43554730825,37076749369,39081089944,34943056076,33653688998,35246060466,37958902443.9792,40652410691.7346,47402011725.1348,55569365806.9876,55057876944.7642,55588401988.5775,63179997795.8687,69881067570.0592,63649573519.9206,67810299809.7781,64905685744.4933,65471462897.9409,71493344398.3045,55062490676.1911,55808455701.0382,52960856012.5237,65088113435.2407,61010388194.2284,71342539140.1534,75846470664.5702,77810214531.6961,79053794909.6714,78976636643.7426
"Army","Army",22813033000,34893842000,31113808998,30657778464,20628301908,29493441926,31662201213,31185929950,31088689272,33772526734,36832486828.7767,40556166140.2398,46177130530.6339,64206590852.8469,76043919626.5376,95628521265.8561,101683014598,118362289501.257,153084362581.388,147186612627.222,141178071592.035,125510926898.914,108978279791.35,87124574688.8817,75443210895.2841,72720775332.7645,74367578128.5055,78607240078.1273,91560642871.7663,95142996840.7498,100584821041.018,109889463479.067,112656925401.181
"Navy","F-35 JPO",,,,,,,,82828871,650715792,693041844,178031456,268635741,6554622,239927692,196180517.0938,297828366,634208169,1065862766.7227,2725377126.3311,3681464062.0067,1874856013.4357,4877655064.5174,4691798600.1306,12181364143.38,3796342018.2,11389818543.0914,10143588537.0827,24140285523.0243,15993414967.9989,17244736490.1055,35815025520.6929,9846932233.464,20737931632.3383
"Navy","Navy",43985137405,41939949844,40644252613,37382740962,40131281740,38631559907,35472291538,36232822383,37261611868,36778132656,40298543522.9593,41942422259.8412,47787645866.0858,56700529162.4723,60622667305.0003,65314707921.8766,74325008344.3887,84718050533.3072,93702115548.172,92072594328.8854,86214798268.911,99171229641.2132,89920486396.6545,81817021262.7172,80331823372.8819,73495343308.9281,82830967699.4871,85325840512.4266,92253373947.6702,104751998616.071,114137055135.915,101808589907.344,103132819795.962
"Other DoD","DLA",9188590000,11683472000,6901945039,7925523004,6684428944,6635930451,7225251729,7958666470,7294689216,7746287061,9580614163.6178,11426063429.7901,14591296027.8973,17678992692.3094,19619614418.4317,27932430142.7928,32613003554.8359,30627306588.9314,35724232129.3528,38001522311.5918,34948183114.0006,36156678383.9385,43190009229.5849,33769600615.4319,32283076369.6749,30860856931.4905,30241626915.5193,35336966924.9736,45474303890.7881,44192617917.4269,41850410685.1565,39146214890.1219,48175769725.7546
"Other DoD","MDA",,,,,343747860,251594273,300305090,388928264,552081489,925862742,1373879916,1673010902,2485964870.8281,2671495105.0938,3382922949.586,3841746302.1563,3492627123.4842,4929029582.7202,5760262871.0691,5673422750.5378,5356951767.0357,5382146532.3794,6877002433.8232,7703008831.9635,6050847486.8789,4688499792.4277,6589081606.021,5413263859.5578,8293301636.4348,8812739694.283,12326711111.823,8816866025.2676,9841067323.8948
"Other DoD","Other DoD",3331053000,4011846000,6143930864,5954890298,5819411448,4502738942,4707639584,5189919865,6464405532,7023124985,5956028175.0544,7495657054.3552,11345958964.1747,14559345704.384,14824923417.4379,17115624312.0436,19297156392.6873,18557199569.5732,23312787526.2666,27105317027.2567,27925322341.0966,31995816542.2591,32485509805.7394,28922992124.116,29570606135.541,28068291845.3985,29100830021.3758,30788405310.0002,34038355570.6401,37863874636.7387,39295847920.5538,38502107620.2811,40861840747.514
