"","Fiscal.Year","NAICS_Code","Action.Obligation","Obligation.2016","vendor_count","hh_index","pct_sum_check","top4","top8","top12","top20","top50","GEO.id2","NAICS.id","NAICS.display-label","OPTAX.id","OPTAX.display-label","ESTAB","RCPTOT","PAYANN","EMP"
"1",2007,"11",20063873.1304,23024871.62084,329,279.845607690939,NA,0.27179417552221,0.383131841325321,0.447754666633387,0.545293693610445,0.749989999367628,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2007,"21",81911078.9443,93999402.0476245,418,569.423696658024,NA,0.409172951411804,0.546094887163435,0.626798416714367,0.716509604555885,0.869500178393812,NA,"21","Mining, quarrying, and oil and gas extraction","99","Total","22667","413524731","40687472","730433"
"3",2007,"22",1779762191.3536,2042417020.14414,1369,301.913169939342,NA,0.275302439194143,0.411229582116147,0.496792725480432,0.618308355449782,0.836746783176379,NA,"22","Utilities","99","Total","16578","584192658","51653618","637247"
"4",2007,"23",23084941180.69,26491784692.0932,12724,31.215229973786,NA,0.0539022190606934,0.0952549009026748,0.128172215477499,0.18263207646867,0.31969911503582,NA,"23","Construction","99","Total","729345","1731841830","331002718","7316240"
"5",2007,"31-33",149635144237.999,171718090702.317,76290,192.158095165509,NA,0.220593019425317,0.30401740571619,0.358264000223429,0.441358539504344,0.590176898417731,NA,"31-33","Manufacturing","99","Total","332536","5319456312","613768568","13395670"
"6",2007,"42",11836783746.5345,13583639828.4766,15703,484.166080796456,NA,0.381002420391582,0.507886203429283,0.564623217059885,0.634473677284967,0.761646807602046,NA,"42","Wholesale trade","00","Wholesale Trade","434983","6515708554","336206776","6227389"
"7",2007,"44-45",1949531590.9635,2237240751.6221,5827,288.976031682952,NA,0.286699616099564,0.407747227085867,0.480605112828446,0.573526838561981,0.735208923465183,NA,"44-45","Retail trade","99","Total","1128112","3917663456","362818687","15515396"
"8",2007,"48-49",7427581112.4386,8523733202.24765,3234,676.950631380331,NA,0.464334155600047,0.549662455773035,0.597777573398389,0.675048690154798,0.805730722049793,NA,"48-49(105)","Transportation and warehousing(105)","99","Total","219706","639916407","173183073","4454383"
"9",2007,"51",5816697256.0387,6675117346.84267,4754,230.069969815462,NA,0.240637035473374,0.345589742646648,0.41184807077019,0.513471813078052,0.725600269632922,NA,"51","Information","99","Total","141566","1072342856","228836587","3496773"
"10",2007,"52",8253831618.2123,9471920608.46029,104,3056.33335521977,NA,0.965069189546316,0.995698848630426,0.999121790494074,0.999762224418066,0.999970568674657,NA,"52","Finance and insurance","99","Total","501713","3669302691","502416670","6607511"
"11",2007,"53",848371543.4444,973573035.855405,2714,244.556744702025,NA,0.235794356218757,0.391415274404562,0.47031605308436,0.569955511229507,0.726452900995394,NA,"53","Real estate and rental and leasing","99","Total","384297","485058597","84764864","2188479"
"12",2007,"54",84543167719.9739,97019930823.9315,20305,146.742620576409,NA,0.188591892506022,0.291418068100119,0.358421664404532,0.439179412051979,0.584452442744868,NA,"54","Professional, scientific, and technical services","A","All establishments","847492","1251003504","502074331","7870414"
"13",2007,"55",160854,184592.609593757,3,4466.55343393322,1,1,1,1,1,1,NA,"55","Management of companies and enterprises","99","Total","51451","104442966","249510832","2664203"
"14",2007,"56",17427968137.9227,19999963435.7617,10381,753.92366273023,NA,0.340163272596856,0.389079001491724,0.425240637394025,0.486214865061417,0.624492979383202,NA,"56","Administrative and support and waste management and remediation services","99","Total","395292","630771091","301450047","10250955"
"15",2007,"61",1555460152.3703,1785012798.2216,3089,222.195498864532,NA,0.249269514222211,0.328506987756105,0.377244346054452,0.444186693076031,0.604147651444362,NA,"61","Educational services","A","All establishments","61385","44980656","14259109","539951"
"16",2007,"62",2298119947.0519,2637273292.46259,3044,258.683934733276,NA,0.267512440676676,0.391981134920956,0.443679669107028,0.528949936490773,0.698110258007516,NA,"62","Health care and social assistance","A","All establishments","784626","1668276808","662719938","16792074"
"17",2007,"71",31430393.5932,36068847.3642415,1208,170.151373677658,NA,0.196125356301336,0.317234379100852,0.378074840082133,0.452645877557788,0.599030078912796,NA,"71","Arts, entertainment, and recreation","A","All establishments","124620","189416942","58359104","2061348"
