"fiscal_quarter","2015","2016","2017","2018","2019","2020","2021","2022"
"4",0.341700630972678,0.623308596296697,1.21373870003191,1.72983766428274,2.48313476557494,9.64933306705,,
"3",0.146475919868852,0.288923153134813,0.380304174143799,1.1744247855507,1.66123377192123,3.14553171713,2.95915121538386,2.46738084209515
"2",0.191924931530055,0.525087951705468,0.481908754913848,0.543021892629607,1.62072818035915,2.49361539669,3.65203087915482,1.95398561170591
"1",0.0793338374972678,0.114555047428262,0.17206828355669,0.668408176983135,1.80187160965208,1.02920531171,4.98445320356898,2.05534887485824
