"PlaceIsForeign","IsFMS","PlaceOfManufacture_Sum","2018","2020","2019","2022","2023","2024","2012","2013","2014","2015","2016","2017","2021"
"International","Includes FMS","Manufactured in U.S.",1653816.71945227,,0,,,,,,,,,845934.044969471,
"International","Includes FMS","Manufactured Outside U.S.",,,,,,7493784.95150346,,,,,,,
"International","Includes FMS","Not Manufactured End Product",,2010922.44582709,1928597.11880022,3867575.375,73662.5268990577,,,,,,,,2066281.5911824
"International","No FMS","Manufactured in U.S.",511933.409650248,,0,150000,,,,,,,,,0
"International","No FMS","Manufactured Outside U.S.",413993.055092962,,2304.33756443686,1560148,34989947.6184326,,,,,,,,
"International","No FMS","Not Manufactured End Product",953211.76477296,11052.3082384345,0,,,,629649.999879863,432834.135131156,,,,1795291.97388844,0
"Domestic","Includes FMS","Manufactured in U.S.",3618497721.98648,4879568482.01102,4267467415.82249,11543837498.2098,27366663637.0609,516561492.241448,-86923.261189665,90420695.598612,181200774.275388,2134722677.80834,5959191747.04695,6848901650.62523,-3049072257.92263
"Domestic","Includes FMS","Not Manufactured End Product",236696381.104896,37920410.9888353,28447397.7291799,1439658039.6406,2378613816.26464,-16536328.1382582,7850949.79365337,9538345.65344789,96166154.3228475,163244671.477333,124877655.971478,73576915.1279554,366107220.529583
"Domestic","Includes FMS","Unlabeled",0,,,,,,,,,,,-30389.496686739,
"Domestic","No FMS","Manufactured in U.S.",13994504425.8905,33856339031.5938,14104185805.7619,6800480677.0231,4013462043.04324,80073018.7354825,5755544779.21723,14826358622.0341,4326544468.0971,11328830325.5371,5855092497.95578,20966855652.9029,12513097730.1006
"Domestic","No FMS","Manufactured Outside U.S.",202974.857932764,24202.2344995339,,,,,,,,,,,
"Domestic","No FMS","Not Manufactured End Product",410468593.349191,960841785.056579,815946738.5843,964600161.9582,972375892.863468,-29840722.422142,159303795.387395,146139571.529501,18335688.5923374,35485785.350241,154213131.946742,324356590.454166,652366693.134422
"Domestic","No FMS","Unlabeled",-73847.6797789749,0,-111997.509802568,,,,72832.7579230635,-28907.1368819736,-1255616.72973984,0,,-56971.3733072171,
